inventory_row_id,best_name,extracted_url,source_batch,inventory_pmid,match_type,confidence,baseline_resource_id,baseline_short_name,baseline_full_name,is_gcbr,recommendation,user_decision
953,BacDive,https://bacdive.dsmz.de,2022-2025,"34718743, 39470737",NAME_EXACT,0.95,3908,BacDive,Bacterial Diversity Metadatabase,1,LIKELY_IN_BASELINE,
954,canSAR,https://cansar.ai,2022-2025,"36624665, 39535036",NAME_EXACT,0.95,4593,canSAR,,0,LIKELY_IN_BASELINE,
955,KEGG,https://www.kegg.jp,2022-2025,"36300620, 37881892, 39417505",NAME_EXACT,0.95,7621,KEGG,Kyoto Encyclopedia of Genes and Genomes,0,LIKELY_IN_BASELINE,
956,UniProt,https://www.uniprot.org/,2022-2025,"36408920, 39552041",NAME_EXACT,0.95,6502,UniProt,,1,LIKELY_IN_BASELINE,
957,CRISPR-surfaceome,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,2022-2025,35891797,PMID,1.0,4816,CRISPR-Surfaceome,,0,IN_BASELINE,
958,m7GHub,http://www.rnamd.org/m7GHub2,2022-2025,37811871,NO_MATCH,0.0,,,,,NEW_RESOURCE,
959,G-DIRT,http://webtools.nbpgr.ernet.in/gdirt/,2022-2025,36040109,NO_MATCH,0.0,,,,,NEW_RESOURCE,
960,OpenPIP,http://openpip.baderlab.org/,2022-2025,35662469,NO_MATCH,0.0,,,,,NEW_RESOURCE,
961,Cell Taxonomy,https://ngdc.cncb.ac.cn/celltaxonomy,2022-2025,36161321,PMID,1.0,6148,Cell Taxonomy,,0,IN_BASELINE,
962,Genome Nexus,https://www.genomenexus.org,2022-2025,35148171,NO_MATCH,0.0,,,,,NEW_RESOURCE,
963,BakRep,https://bakrep.computational.bio,2022-2025,39475723,NO_MATCH,0.0,,,,,NEW_RESOURCE,
964,Diseases,https://diseases.jensenlab.org,2022-2025,35348648,PMID,1.0,4801,DISEASES,,0,IN_BASELINE,
965,Reproductive chemical database,https://yu.life.sjtu.edu.cn/ChenLab/RCDB,2022-2025,38845051,NO_MATCH,0.0,,,,,NEW_RESOURCE,
966,IDLaS-NL,http://www.mpi.nl/idlas-nl,2022-2025,37749421,NO_MATCH,0.0,,,,,NEW_RESOURCE,
967,PhageTailFinder,http://www.microbiome-bigdata.com/PHISDetector/index/tools/PhageTailFinder,2022-2025,36755570,NO_MATCH,0.0,,,,,NEW_RESOURCE,
968,Small molecule antiviral compound collection,https://smacc.mml.unc.edu,2022-2025,37169224,PMID,1.0,6621,SMACC,Small Molecule Antiviral Compound Collection,0,IN_BASELINE,
969,Protist.guru,http://protist.guru/,2022-2025,35389344,PMID,1.0,6383,protist.guru,,0,IN_BASELINE,
970,Plant Metabolic Network,https://plantcyc.org,2022-2025,39558185,NAME_EXACT,0.95,6362,Plant Metabolic Network,Plant Metabolic Network,0,LIKELY_IN_BASELINE,
971,Inxight Drugs,https://drugs.ncats.io,2022-2025,34648031,NO_MATCH,0.0,,,,,NEW_RESOURCE,
972,Playbook workflow builder,https://playbook-workflow-builder.cloud/,2022-2025,40179105,NO_MATCH,0.0,,,,,NEW_RESOURCE,
973,Gene Loss DB,https://geneloss.org/,2022-2025,40996709,NO_MATCH,0.0,,,,,NEW_RESOURCE,
974,Curcumin Chalcone Derivatives Database,https://srampogu-ccdd-ccdd-8uldk8.streamlit.app/,2022-2025,37605747,PMID,1.0,6630,Curcumin Chalcone Derivatives Database,Curcumin Chalcone Derivatives Database,0,IN_BASELINE,
975,sORFdb,https://sorfdb.computational.bio,2022-2025,39910485,NO_MATCH,0.0,,,,,NEW_RESOURCE,
976,Kinase-associated neural phospho-signaling,https://kanphos.jp,2022-2025,38628370,NO_MATCH,0.0,,,,,NEW_RESOURCE,
977,Yeast mitochondrial posttranslational modification,http://compbio.fmph.uniba.sk/y-mtptm/,2022-2025,37183478,PMID,1.0,4601,yeast mitochondrial posttranslational modification,yeast mitochondrial posttranslational modification,0,IN_BASELINE,
978,Mare-MAGE,http://mare-mage.weebly.com/,2022-2025,36932341,PMID,1.0,5772,Mare-MAGE,,0,IN_BASELINE,
979,Circadian ontogenetic metabolomics atlas,https://coma.metabolomics.fgu.cas.cz,2022-2025,40580317,NO_MATCH,0.0,,,,,NEW_RESOURCE,
980,eDAVE,https://edave.pum.edu.pl/,2022-2025,38022697,NO_MATCH,0.0,,,,,NEW_RESOURCE,
981,Goose multi-omics database,http://goosedb.com/,2022-2025,39874782,NO_MATCH,0.0,,,,,NEW_RESOURCE,
982,IsoVis,https://isomix.org/isovis/,2022-2025,38709877,NO_MATCH,0.0,,,,,NEW_RESOURCE,
983,MHC Motif Atlas,http://mhcmotifatlas.org/,2022-2025,36318236,PMID,1.0,5754,MHC Motif,MHC Motif Atlas,0,IN_BASELINE,
984,exRNAdisease,http://www.origin-gene.cn/database/exRNAdisease/,2022-2025,35690280,PMID,1.0,7854,exRNADisease,,0,IN_BASELINE,
985,OSADHI,https://neist.res.in/osadhi/,2022-2025,36512929,NO_MATCH,0.0,,,,,NEW_RESOURCE,
986,Sarcoma_CellminerCDB,https://discover.nci.nih.gov/SarcomaCellMinerCDB,2022-2025,38868205,NO_MATCH,0.0,,,,,NEW_RESOURCE,
987,A3D,http://biocomp.chem.uw.edu.pl/A3D2/yeast,2022-2025,"37716955, 37897355",NAME_EXACT,0.95,4154,A3D,,0,LIKELY_IN_BASELINE,
988,Tumor-specific Neoantigen Database,https://pgx.zju.edu.cn/tsnadb/,2022-2025,36209954,PMID,1.0,8221,TSNAdb,tumor-specific neoantigen database,0,IN_BASELINE,
989,Protein interaction explorer,https://ippidb.pasteur.fr/targetcentric/,2022-2025,38917415,NO_MATCH,0.0,,,,,NEW_RESOURCE,
990,Conserved unique peptide patterns,https://cupp.info/,2022-2025,37216585,NO_MATCH,0.0,,,,,NEW_RESOURCE,
991,CUCUME,http://cucume.cn/,2022-2025,36698975,PMID,1.0,4846,Cucume,Cucurbit RNA methylation,0,IN_BASELINE,
992,Global Jukebox,https://theglobaljukebox.org/?songsofearth,2022-2025,36322519,NO_MATCH,0.0,,,,,NEW_RESOURCE,
993,Wolfberry genome database,https://cosbi7.ee.ncku.edu.tw/Wolfberry/,2022-2025,38444537,NO_MATCH,0.0,,,,,NEW_RESOURCE,
994,CORDAX,https://cordax.switchlab.org/,2022-2025,38662570,NO_MATCH,0.0,,,,,NEW_RESOURCE,
995,MASH Native,https://labs.wisc.edu/gelab/MASH_Explorer/MASHSoftware.php,2022-2025,37294807,NO_MATCH,0.0,,,,,NEW_RESOURCE,
996,Pocketome,https://eliot.moldiscovery.com,2022-2025,35857806,NO_MATCH,0.0,,,,,NEW_RESOURCE,
997,MANE,https://texmst.ibms.sinica.edu.tw/,2022-2025,36170113,PMID,1.0,6833,MANE,expression profiles of MANE select transcripts,0,IN_BASELINE,
998,MicroScope,https://mage.genoscope.cns.fr/microscope,2022-2025,36520398,NAME_EXACT,0.95,7405,MicroScope,,0,LIKELY_IN_BASELINE,
999,Vivarium,https://vivarium-collective.github.io,2022-2025,35134830,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1000,Atomevo-odor,http://cslodordatabase.7fx.cn/,2022-2025,39977983,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1001,Be-dataHIVE,https://be-datahive.com/,2022-2025,39407093,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1002,B-Chrom,http://www.bchrom.csic.es,2022-2025,37646949,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1003,REME,https://reme.biodesign.ac.cn/,2022-2025,38769057,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1004,Therapeutic Target Database,https://idrblab.org/ttd/,2022-2025,37713619,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1005,Methylmap,https://methylmap.bioinf.be,2022-2025,40140766,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1006,READRetro web,https://readretro.net,2022-2025,40466944,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1007,mOTUs,https://motus-db.org,2022-2025,39526369,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1008,PathDIP 5,https://ophid.utoronto.ca/pathDIP,2022-2025,37994706,NAME_FUZZY,0.875,5932,PathDIP,,0,REVIEW,
1009,ColabFit exchange,https://colabfit.org,2022-2025,37861121,PMID,1.0,4615,ColabFit,,0,IN_BASELINE,
1010,Interactive Tree of Life,https://itol.embl.de,2022-2025,38613393,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1011,Semla,https://ludvigla.github.io/semla/,2022-2025,37846051,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1012,Haptools,https://haptools.readthedocs.io,2022-2025,36847450,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1013,hGSuite HyperBrowser,https://hyperbrowser.uio.no/hgsuite,2022-2025,37467208,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1014,BioExcel Building Blocks Workflows,https://mmb.irbbarcelona.org/biobb-wfs,2022-2025,35639735,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1015,Immunosenescence Inventory,https://ngdc.cncb.ac.cn/iaa/home,2022-2025,39673270,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1016,Pesticide,https://dpai.ccnu.edu.cn/digpesticide/,2022-2025,40433754,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1017,VISTA Enhancer browser,https://enhancer.lbl.gov,2022-2025,39470740,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1018,Microsatellites explorer,https://www.microsatellitesexplorer.com,2022-2025,39525087,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1019,MobiDB,https://mobidb.org/,2022-2025,"36416266, 39470701",NAME_EXACT,0.95,5762,MobiDB,,0,LIKELY_IN_BASELINE,
1020,Brain Catalog,https://ngdc.cncb.ac.cn/braincatalog,2022-2025,36243988,PMID,1.0,6152,Brain Catalog,,0,IN_BASELINE,
1021,huARdb,https://huarc.net/database,2022-2025,34606616,PMID,1.0,5269,huARdb,human Antigen Receptor database,0,IN_BASELINE,
1022,Oligogenic Diseases Database,https://olida.ibsquare.be,2022-2025,35411390,PMID,1.0,6140,OLIDA,OLIgogenic diseases DAtabase,0,IN_BASELINE,
1023,Clc-db,https://compbio.sjtu.edu.cn/services/clc-db,2022-2025,40181386,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1024,An interactive online platform for photosensory and bio-functional proteins in optogenetic systems,https://idrblab.org/optics/,2022-2025,38870722,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1025,Kincore,http://dunbrack.fccc.edu/kincore,2022-2025,34643709,PMID,1.0,5063,Kincore,,0,IN_BASELINE,
1026,cidalsDB,https://cidalsdb.streamlit.app/,2022-2025,39609715,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1027,MultifacetedProtDB,https://multifacetedprotdb.biocomp.unibo.it/,2022-2025,37791887,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1028,Pear Genomics Database,http://pyrusgdb.sdau.edu.cn,2022-2025,37710163,PMID,1.0,6406,PGDB,Pear Genomics Database,0,IN_BASELINE,
1029,Database of Therapeutic Antibody Developability,http://i.uestc.edu.cn/DOTAD/,2022-2025,38530613,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1030,Insect Cytochrome P450 Database,http://www.insectp450.net/,2022-2025,39776220,NAME_FUZZY,0.885,5953,PCPD,Plant cytochrome P450 database,0,REVIEW,
1031,Canis MitoSNP,https://canismitosnp.pl,2022-2025,37351774,PMID,1.0,4606,Canis MitoSNP,,0,IN_BASELINE,
1032,TFinder,https://tfinder-ipmc.streamlit.app,2022-2025,39842990,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1033,eccDNA,http://www.eccdnadb.org,2022-2025,35388171,PMID,1.0,7304,eccDNAdb,,0,IN_BASELINE,
1034,TYGS,https://lpsn.dsmz.de,2022-2025,34634793,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1035,Exome Database Of Interspersed Repeats,https://osf.io/m3gvx/,2022-2025,36453866,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1036,MirDIP,https://ophid.utoronto.ca/mirDIP,2022-2025,36453996,PMID,1.0,6158,mirDIP,,0,IN_BASELINE,
1037,HybridDBRpred,http://biomine.cs.vcu.edu/servers/hybridDBRpred/,2022-2025,38048333,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1038,Open Targets Platform,https://platform.opentargets.org,2022-2025,39657122,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1039,IPD-MHC,http://www.ebi.ac.uk/ipd/mhc/,2022-2025,39436012,NAME_EXACT,0.95,7213,IPD-MHC,,0,LIKELY_IN_BASELINE,
1040,e-RNA,http://www.e-rna.org,2022-2025,37099369,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1041,CPLM 4.0,http://cplm.biocuckoo.cn/,2022-2025,34581824,PMID,1.0,8177,CPLM,Compendium of Protein Lysine Modifications,0,IN_BASELINE,
1042,PmP,https://apps.thesgc.org/pmp/,2022-2025,39657145,NAME_EXACT,0.95,7690,PMP,Protein Model Portal,0,LIKELY_IN_BASELINE,
1043,PDB-BRE,http://bliulab.net/PDB-BRE,2022-2025,37750380,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1044,BV-BRC,https://www.bv-brc.org/,2022-2025,36350631,PMID,1.0,7312,BV-BRC,Bacterial and Viral Bioinformatics Resource Center,0,IN_BASELINE,
1045,EV-COMM,http://sdc.iue.ac.cn/evs/list/,2022-2025,38644519,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1046,AIA,https://amiactive.ccen.ufpb.br/,2022-2025,40133788,NAME_FUZZY,0.857,5080,GAIA,,0,REVIEW,
1047,CMSSD,http://tcmssd.ratcm.cn,2022-2025,38471316,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1048,PLAbDab-nano,https://opig.stats.ox.ac.uk/webapps/plabdab-nano/,2022-2025,39385626,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1049,Uni-GBSA,https://hermite.dp.tech,2022-2025,37328705,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1050,SCoV2-MD,http://www.scov2-md.org,2022-2025,34761257,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1051,C4S,https://c4s.site,2022-2025,37244568,PMID,1.0,4382,C4S,Comprehensive Collection and Comparison for ChIP-Seq Database,0,IN_BASELINE,
1052,ChiTaRS 8.0,http://biosrv.org/chitars,2022-2025,39676654,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1053,META-BOA,https://complimet.ca/meta-boa,2022-2025,36222566,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1054,ProsmORF-pred,http://www.nii.ac.in/prosmorfpred.html,2022-2025,36988160,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1055,DIANA-miTED,http://www.microrna.gr/mited,2022-2025,34469540,PMID,1.0,7840,miTED,,0,IN_BASELINE,
1056,AMHRED,https://camhred.org/,2022-2025,37337236,PMID,1.0,4605,CAMHRED,Cameroon Health Research and Evidence Database,0,IN_BASELINE,
1057,ncRNADrug,http://www.jianglab.cn/ncRNADrug,2022-2025,37953323,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1058,NAIRDB,https://nairdb.genesilico.pl,2022-2025,39413200,NO_MATCH,0.0,,,,,NEW_RESOURCE,
1059,sBGC-hm,https://www.wzubio.com/sbgc,2022-2025,36929933,PMID,1.0,8086,sBGC-hm,,0,IN_BASELINE,
1060,IPAD-DB,http://www.lamee.cn/ipad-db/,2022-2025,38865432,NO_MATCH,0.0,,,,,NEW_RESOURCE,
