inventory_row_id,best_name,extracted_url,source_batch,inventory_pmid,match_type,confidence,baseline_resource_id,baseline_short_name,baseline_full_name,is_gcbr,recommendation,user_decision
0,GenBank,http://www.ncbi.nlm.nih.gov,2010-2022,"23193264, 24259429, 29688360, 23193287, 25414350, 33196830",NAME_EXACT,0.95,8128,GenBank,,0,LIKELY_IN_BASELINE,
1,UCSC,http://genome.ucsc.edu,2010-2022,"22075998, 23193274, 23448259",NO_MATCH,0.0,,,,,NEW_RESOURCE,
2,FANTOM,http://fantom.gsc.riken.jp,2010-2022,"27794045, 33211864, 30407557",NAME_FUZZY,0.923,4956,FANTOM5,Functional ANnoTation Of the Mammalian genome,0,REVIEW,
3,EMAGE,http://www.emouseatlas.org/emage/,2010-2022,"24265223, 24318814",NO_MATCH,0.0,,,,,NEW_RESOURCE,
4,Human Protein Atlas,http://www.proteinatlas.org,2010-2022,"21752111, 33146890, 22688270",NAME_EXACT,0.95,8378,HPA,Human Protein Atlas,1,LIKELY_IN_BASELINE,
5,MINTbase,http://cm.jefferson.edu/MINTbase/,2010-2022,"27153631, 29186503",NO_MATCH,0.0,,,,,NEW_RESOURCE,
6,NCBI,http://www.ncbi.nlm.nih.gov/,2010-2022,"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870",NO_MATCH,0.0,,,,,NEW_RESOURCE,
7,DEG,http://www.essentialgene.org,2010-2022,"24243843, 25636622, 33095861",NO_MATCH,0.0,,,,,NEW_RESOURCE,
8,PICKLE,http://www.pickle.gr,2010-2022,"29023571, 33367505",NAME_FUZZY,0.923,6154,PICKLES,CRISPR Knockout,0,REVIEW,
9,pHLA3D,http://www.phla3d.com.br,2010-2022,"31239187, 33129577",NO_MATCH,0.0,,,,,NEW_RESOURCE,
10,zfRegeneration,http://www.zfregeneration.org,2010-2022,"30052798, 30052798",NO_MATCH,0.0,,,,,NEW_RESOURCE,
11,EMBL-EBI,http://www.ebi.ac.uk,2010-2022,"24271396, 30976793",NO_MATCH,0.0,,,,,NEW_RESOURCE,
12,GWAS,http://www.ebi.ac.uk/gwas/,2010-2022,"27899670, 30445434",NO_MATCH,0.0,,,,,NEW_RESOURCE,
