inventory_row_id,best_name,extracted_url,source_batch,inventory_pmid,match_type,confidence,baseline_resource_id,baseline_short_name,baseline_full_name,is_gcbr,recommendation,user_decision
0,GenBank,http://www.ncbi.nlm.nih.gov,2010-2022,"23193264, 24259429, 29688360, 23193287, 25414350, 33196830",NAME_EXACT,0.95,8128.0,GenBank,,0.0,LIKELY_IN_BASELINE,
4,Human Protein Atlas,http://www.proteinatlas.org,2010-2022,"21752111, 33146890, 22688270",NAME_EXACT,0.95,8378.0,HPA,Human Protein Atlas,1.0,LIKELY_IN_BASELINE,
15,HMDB,http://www.hmdb.ca,2010-2022,"23161693, 29140435",NAME_EXACT,0.95,8344.0,HMDB,,0.0,LIKELY_IN_BASELINE,
16,canSAR,http://cansar.icr.ac.uk,2010-2022,"22013161, 24304894, 26673713, 30496479, 33219674",NAME_EXACT,0.95,4593.0,canSAR,,0.0,LIKELY_IN_BASELINE,
17,BioStudies,http://www.ebi.ac.uk/biostudies,2010-2022,29069414,PMID,1.0,8384.0,BioStudies,,0.0,IN_BASELINE,
18,Planteome,http://www.planteome.org,2010-2022,29186578,PMID,1.0,8382.0,Planteome,,1.0,IN_BASELINE,
19,OncoKB,http://oncokb.org/,2010-2022,28890946,PMID,1.0,8393.0,OncoKB,Oncology Knowledge Base,0.0,IN_BASELINE,
20,UALCAN,http://ualcan.path.uab.edu,2010-2022,28732212,NAME_EXACT,0.95,6822.0,UALCAN,,0.0,LIKELY_IN_BASELINE,
21,GlycoStore,http://www.glycostore.org,2010-2022,29897488,NAME_EXACT,0.95,7575.0,GlycoStore,,0.0,LIKELY_IN_BASELINE,
22,UniProt,http://www.ebi.ac.uk/GOA,2010-2022,22123736,PMID,1.0,7096.0,GOA,Gene Ontology Annotation,0.0,IN_BASELINE,
23,PDB,http://www.eppic-web.org/ewui/\#downloads,2010-2022,25326082,NAME_EXACT,0.95,8357.0,PDB,Worldwide Protein Data Bank organization,1.0,LIKELY_IN_BASELINE,
24,EpiFactors,http://epifactors.autosome.ru,2010-2022,26153137,NAME_EXACT,0.95,5090.0,EpiFactors,,0.0,LIKELY_IN_BASELINE,
