pmid,source,ling_score
33396976,linguistic,
29316735,linguistic,
25593347,linguistic,
26740669,linguistic,
28053160,linguistic,
24316579,linguistic,
22144685,linguistic,
21177655,linguistic,
23203983,linguistic,
22262417,linguistic,
31432473,linguistic,
26050789,linguistic,
33031482,linguistic,
22682155,linguistic,
31937381,linguistic,
24267415,linguistic,
21675400,linguistic,
26249149,linguistic,
26524889,linguistic,
33349237,linguistic,5.0
29648583,linguistic,6.0
30197419,linguistic,3.0
31797632,linguistic,5.0
34325669,linguistic,3.0
28726811,linguistic,3.0
27016700,linguistic,6.0
27587660,linguistic,3.0
27278815,linguistic,3.0
33247935,linguistic,5.0
26601758,linguistic,3.0
25964630,linguistic,5.0
24393765,linguistic,4.0
30200874,linguistic,3.0
33020484,linguistic,5.0
32895427,linguistic,3.0
34484220,linguistic,5.0
29297411,linguistic,3.0
34387941,linguistic,5.0
34838100,linguistic,4.0
32399560,linguistic,5.0
34220930,linguistic,3.0
27283952,linguistic,3.0
26173699,linguistic,4.0
34154643,linguistic,4.0
25471253,linguistic,4.0
33978761,linguistic,6.0
34895295,linguistic,5.0
32571209,linguistic,5.0
33539279,linguistic,3.0
30364969,linguistic,3.0
30678631,linguistic,4.0
31419935,linguistic,5.0
33226064,linguistic,4.0
23244467,linguistic,4.0
33258919,linguistic,6.0
33905618,linguistic,3.0
34404349,linguistic,3.0
26258475,linguistic,3.0
31665416,linguistic,4.0
33320930,linguistic,3.0
33942874,linguistic,3.0
32883210,linguistic,3.0
33231642,linguistic,3.0
32508008,linguistic,3.0
31562822,linguistic,4.0
34196689,linguistic,4.0
33165574,linguistic,10.0
34244710,linguistic,5.0
26871594,linguistic,3.0
23824865,linguistic,3.0
31991337,linguistic,5.0
32496513,linguistic,5.0
30854545,linguistic,6.0
34639237,linguistic,6.0
34517763,linguistic,6.0
34614039,linguistic,3.0
33237286,linguistic,5.0
33095866,linguistic,5.0
32717064,linguistic,7.0
30487811,linguistic,5.0
31069394,linguistic,4.0
32681912,linguistic,3.0
33740463,linguistic,3.0
33502860,linguistic,4.0
34050762,linguistic,6.0
33119753,linguistic,5.0
32338561,linguistic,3.0
32911083,linguistic,5.0
31584086,linguistic,4.0
33084862,linguistic,5.0
27074804,linguistic,5.0
33483739,linguistic,6.0
34809571,linguistic,7.0
33083503,linguistic,3.0
31535335,linguistic,4.0
31070714,linguistic,4.0
31906603,linguistic,3.0
34060634,linguistic,3.0
31691815,linguistic,6.0
34019636,linguistic,5.0
22449239,linguistic,3.0
32406917,linguistic,3.0
32591816,linguistic,5.0
29145629,linguistic,3.0
33511767,linguistic,5.0
33863373,linguistic,4.0
32486891,linguistic,3.0
33849445,linguistic,4.0
31580061,linguistic,3.0
33515030,linguistic,4.0
33662628,linguistic,5.0
33079988,linguistic,4.0
31834354,linguistic,7.0
34075103,linguistic,5.0
33950197,linguistic,3.0
33970229,linguistic,5.0
34819397,linguistic,4.0
34111777,linguistic,3.0
26230850,linguistic,3.0
34464437,linguistic,3.0
32976578,linguistic,5.0
34527188,linguistic,3.0
34736471,linguistic,4.0
34076241,linguistic,6.0
31103066,linguistic,4.0
34449214,linguistic,3.0
33045741,linguistic,8.0
33084893,linguistic,4.0
30864657,linguistic,6.0
32108858,linguistic,4.0
25220766,linguistic,5.0
34931882,linguistic,4.0
33909569,linguistic,3.0
34922446,linguistic,4.0
32777102,linguistic,4.0
33259604,linguistic,4.0
31492098,linguistic,4.0
32510176,linguistic,3.0
31724716,linguistic,6.0
31428785,linguistic,6.0
27789702,linguistic,3.0
34755873,linguistic,6.0
31691824,linguistic,3.0
23071556,linguistic,4.0
31609421,linguistic,5.0
31686107,linguistic,4.0
31210272,linguistic,3.0
34601567,linguistic,4.0
34032471,linguistic,5.0
31328773,linguistic,4.0
34296749,linguistic,4.0
33076821,linguistic,7.0
25466819,linguistic,4.0
29718162,linguistic,7.0
33119759,linguistic,4.0
32941621,linguistic,3.0
30118475,linguistic,6.0
33270901,linguistic,4.0
34739369,linguistic,7.0
34726489,linguistic,3.0
31665503,linguistic,4.0
30365027,linguistic,4.0
34642750,linguistic,5.0
32572450,linguistic,4.0
34023906,linguistic,5.0
33211864,linguistic,4.0
34001247,linguistic,5.0
34107016,linguistic,5.0
34782688,linguistic,4.0
31714620,linguistic,5.0
34082700,linguistic,5.0
34623430,linguistic,7.0
33137082,linguistic,6.0
30407583,linguistic,3.0
32034905,linguistic,4.0
29697364,linguistic,5.0
31350781,linguistic,4.0
33713107,linguistic,6.0
35121907,linguistic,3.0
31504165,linguistic,7.0
33858848,linguistic,4.0
31099383,linguistic,3.0
31598693,linguistic,4.0
32507889,linguistic,3.0
31727118,linguistic,4.0
33546584,linguistic,5.0
34554823,linguistic,3.0
34019098,linguistic,7.0
31566222,linguistic,4.0
33080021,linguistic,6.0
32463818,linguistic,6.0
34589189,linguistic,3.0
34245304,linguistic,5.0
34478489,linguistic,5.0
31943015,linguistic,4.0
31120982,linguistic,4.0
32009518,linguistic,3.0
23703206,linguistic,4.0
31642488,linguistic,3.0
33553941,linguistic,4.0
28397319,linguistic,4.0
27256313,linguistic,3.0
34014674,linguistic,5.0
33835460,linguistic,7.0
32122231,linguistic,6.0
32765587,linguistic,4.0
32421310,linguistic,3.0
30874795,linguistic,6.0
24602877,linguistic,4.0
26476456,linguistic,5.0
32976581,linguistic,6.0
30854455,linguistic,5.0
28961249,linguistic,3.0
33162997,linguistic,4.0
33275647,linguistic,3.0
32770988,linguistic,4.0
25347823,linguistic,5.0
29715310,linguistic,5.0
33852582,linguistic,4.0
31504167,linguistic,7.0
33407081,linguistic,3.0
28365735,linguistic,4.0
34600479,linguistic,7.0
33929018,linguistic,4.0
31701147,linguistic,5.0
33581338,linguistic,5.0
34500471,linguistic,4.0
27073839,linguistic,3.0
34086715,linguistic,3.0
30520940,linguistic,4.0
30462313,linguistic,4.0
32426808,linguistic,5.0
28413726,linguistic,5.0
33685493,linguistic,3.0
33135044,linguistic,4.0
25431330,linguistic,4.0
32427338,linguistic,4.0
30204897,linguistic,3.0
32386298,linguistic,5.0
31617559,linguistic,4.0
32481589,linguistic,7.0
30611878,linguistic,3.0
28985418,linguistic,4.0
33507980,linguistic,3.0
34798231,linguistic,3.0
31680153,linguistic,3.0
34023895,linguistic,6.0
32608479,linguistic,3.0
33037820,linguistic,3.0
32941613,linguistic,3.0
30266410,linguistic,3.0
33068412,linguistic,6.0
27766951,linguistic,3.0
30407520,linguistic,6.0
31559014,linguistic,3.0
32209622,linguistic,4.0
33455583,linguistic,3.0
31584171,linguistic,4.0
33756618,linguistic,3.0
21696594,linguistic,5.0
33219674,linguistic,7.0
32436933,linguistic,7.0
33630831,linguistic,5.0
33423696,linguistic,5.0
31942978,linguistic,3.0
27899642,linguistic,4.0
33757430,linguistic,6.0
30130366,linguistic,3.0
34019657,linguistic,10.0
31353404,linguistic,5.0
34037798,linguistic,6.0
30865258,linguistic,3.0
34081107,linguistic,5.0
34599234,linguistic,4.0
31642487,linguistic,4.0
33471060,linguistic,9.0
27899622,linguistic,3.0
34029094,linguistic,4.0
33101613,linguistic,7.0
34042771,linguistic,3.0
31656398,linguistic,5.0
34270693,linguistic,5.0
32871007,linguistic,5.0
31679514,linguistic,4.0
32065211,linguistic,3.0
33098418,linguistic,5.0
31557052,linguistic,3.0
26305368,linguistic,4.0
34783553,linguistic,4.0
31794006,linguistic,6.0
33997112,linguistic,6.0
33270889,linguistic,7.0
32986829,linguistic,5.0
34113986,linguistic,7.0
28578176,linguistic,3.0
