pmid,source,setfit_confidence
23982150,setfit,0.7310673
32212690,setfit,0.7305348
22769057,setfit,0.73001975
27404214,setfit,0.7300041
30582189,setfit,0.73000175
32764659,setfit,0.7299941
29172865,setfit,0.7297543
33002112,setfit,0.72967446
35516285,setfit,0.72967446
23894104,setfit,0.72961706
23635042,setfit,0.7291917
22563069,setfit,0.7290554
30476243,setfit,0.7290383
23203871,setfit,0.7289527
26810894,setfit,0.7289059
27123583,setfit,0.7288553
29186950,setfit,0.72881323
29746666,setfit,0.72880846
31807684,setfit,0.72871774
24387194,setfit,0.72861075
33392435,setfit,0.728545
22669905,setfit,0.7285408
23813641,setfit,0.7284627
24107223,setfit,0.72842354
21595881,setfit,0.72831964
28636001,setfit,0.72831935
22139938,setfit,0.728289
26519402,setfit,0.72826326
21824409,setfit,0.7281636
29135934,setfit,0.72812104
27919219,setfit,0.72807854
28375654,setfit,0.7279985
28981707,setfit,0.72799045
32024829,setfit,0.7279754
29024463,setfit,0.727956
25313161,setfit,0.72793084
23157388,setfit,0.72792655
21877292,setfit,0.72789526
26772592,setfit,0.72786087
28969593,setfit,0.7278313
26519404,setfit,0.7278147
21619703,setfit,0.72780824
24792167,setfit,0.7278081
32194971,setfit,0.727769
24090164,setfit,0.72775376
33709443,setfit,0.72771776
24203340,setfit,0.72770643
31249294,setfit,0.7276874
28090217,setfit,0.72767335
33384860,setfit,0.72763216
30395211,setfit,0.7276313
32529012,setfit,0.72762007
28795237,setfit,0.72756886
23104376,setfit,0.727558
23180789,setfit,0.72754335
29258817,setfit,0.7275268
31319812,setfit,0.727466
27899676,setfit,0.72745854
31175305,setfit,0.7273458
28799219,setfit,0.7273136
23658422,setfit,0.72729295
29186578,setfit,0.72721446
29992320,setfit,0.72718924
31612957,setfit,0.72716546
22009673,setfit,0.727139
24855494,setfit,0.7271054
26298580,setfit,0.72709924
28387841,setfit,0.72709495
31836898,setfit,0.72708
33552037,setfit,0.72704166
31024751,setfit,0.72696346
22908879,setfit,0.7269616
28337675,setfit,0.72694826
22693223,setfit,0.72694457
22096236,setfit,0.72693604
21558151,setfit,0.7269265
24194592,setfit,0.72690773
20931385,setfit,0.7268369
29096505,setfit,0.7268218
29718468,setfit,0.7268067
27493549,setfit,0.7267869
25348405,setfit,0.72677416
26192091,setfit,0.726772
34493728,setfit,0.7267664
33118813,setfit,0.7267655
22693220,setfit,0.7267604
27110921,setfit,0.72673315
34885724,setfit,0.72671574
22459120,setfit,0.7266932
21536137,setfit,0.7266897
26519400,setfit,0.72668856
22973285,setfit,0.7266882
26615197,setfit,0.72667915
23193262,setfit,0.7266546
29761458,setfit,0.72655314
22508994,setfit,0.7265319
26376976,setfit,0.7265163
21994220,setfit,0.72650164
32423472,setfit,0.7264683
28481528,setfit,0.72646683
24288371,setfit,0.7264596
22645317,setfit,0.7264518
31603259,setfit,0.72643876
21976737,setfit,0.72642034
28317029,setfit,0.7263643
32629608,setfit,0.7263368
33335686,setfit,0.72631526
28076807,setfit,0.7263072
22285564,setfit,0.72630054
33404523,setfit,0.7262654
27676312,setfit,0.72625875
26030757,setfit,0.72620595
34723958,setfit,0.72620565
29642842,setfit,0.72619045
22233419,setfit,0.72616816
26909892,setfit,0.7261646
32286817,setfit,0.72616166
26519403,setfit,0.72615266
34727496,setfit,0.7261481
24735413,setfit,0.7261407
23705910,setfit,0.7261012
31584078,setfit,0.7260873
29676773,setfit,0.7260806
29023519,setfit,0.7260698
28654726,setfit,0.7260682
21873637,setfit,0.7260442
23427990,setfit,0.72603625
28011777,setfit,0.7260234
29140469,setfit,0.726019
26088053,setfit,0.72601
26175801,setfit,0.7259938
32306309,setfit,0.7259527
30508159,setfit,0.7259516
27870245,setfit,0.7259499
21729256,setfit,0.7259482
27899649,setfit,0.7259446
30357390,setfit,0.72592455
33712066,setfit,0.7259202
21627789,setfit,0.72589946
31549018,setfit,0.72589946
23323856,setfit,0.7258895
31642678,setfit,0.7258798
21947200,setfit,0.7258528
21785142,setfit,0.7258507
27785876,setfit,0.72584605
31614716,setfit,0.7258407
26578574,setfit,0.7258197
30496475,setfit,0.7258091
23145044,setfit,0.7258081
33431043,setfit,0.7258072
33319644,setfit,0.7258003
27042287,setfit,0.72576183
29132360,setfit,0.72576106
33208742,setfit,0.725744
21898825,setfit,0.72570884
30500839,setfit,0.72569746
33313778,setfit,0.72565395
30787451,setfit,0.7256226
31605615,setfit,0.7256193
24512305,setfit,0.7256185
25392406,setfit,0.7255974
26884807,setfit,0.7255815
22292078,setfit,0.72557265
32986834,setfit,0.72555935
26980515,setfit,0.7255442
34911434,setfit,0.7255345
23087378,setfit,0.725528
32463383,setfit,0.72552395
22607449,setfit,0.7255108
21930507,setfit,0.725474
21751369,setfit,0.72545815
28797229,setfit,0.7254555
22646023,setfit,0.7254436
22127867,setfit,0.7254403
30286773,setfit,0.72543675
28849560,setfit,0.7254347
21864715,setfit,0.72543424
32524530,setfit,0.7254138
25170026,setfit,0.72541016
21736739,setfit,0.7254088
28559010,setfit,0.72539485
34158935,setfit,0.7253842
30846976,setfit,0.7253515
33045728,setfit,0.7253503
33315308,setfit,0.7253502
32269478,setfit,0.72533715
25881313,setfit,0.7253317
25931459,setfit,0.72529995
25468931,setfit,0.72527677
24498877,setfit,0.7252764
22529851,setfit,0.72525144
27789697,setfit,0.7252309
25776023,setfit,0.72522235
26198886,setfit,0.72522026
