pmid,entity_count,entities,spacy_count,v2_count
24316579,27,"['cazy', 'pfam', 'ribosomal database project', 'pdbsum', 'mirbase', 'drugbank', 'gene3d', 'rdp', 'pdbe', 'prokaryotic names', 'list of prokaryotic names with standing in nomenclature', 'seed', 'scope', 'mmdb', 's', 'tcdb', 'kegg', 'dbgap', 'uniprot', 'scop', 'ipfam', 'archdb', 'reactome', 'dgv', 'lpsn', '2014 nucleic acids research database issue and an updated nar online molecular biology database collection', 'structural classification of proteins']",25,2
33396976,25,"['smart', 'klifs', 'rfam', 'pfam', 'cncdatabase', 'dkk', 'mobidb', 'pina', 'kinasemd', 'noncode', '2021 nucleic acids research database issue contains 189 papers spanning a wide range of biological fields and investigation', 'img/vr', 'kegg', 'pdb', 'flybase', 'greenphyldb', 'gramene', 'cog', '2021 nucleic acids research database issue and the online molecular biology database collection', 'rnacentral', 'string', 'wikipathways', 'ensembl', 'ucsc genome browser', 'cansar']",25,0
30626175,21,"['pfam', 'mirbase', 'uniprotkb', 'ar', 'vmh', 'http://www.oxfordjournals.org/nar/database/c', 'omim', 'lncrna2target', '2019 nucleic acids research', 'cosmic', 'kegg', 'interpro', 'human', 'rnacentral', 'iprox', 'gencode', 'string', 'ensembl', 'wwpdb', 'ucsc genome browser', 'pophumanscan']",19,2
26615191,19,"['conserved domain architecture retrieval tool', 'dbsnp', 'sequence read archive', 'cdd', 'ncbi', 'pubchem', 'conserved domain database', 'mmdb', 'bookshelf', 'clinvar', 'dbgap', 'bioproject', 'cdart', 'testing registry', 'gene expression omnibus', 'genbank', 'dbmhc', 'geo', 'refseq']",18,1
31906604,18,"['afnd', 'ogrdb', 'disprot', 'ipd', 'nucleic acids research', 'scop', 'reactome', 'nucleic acids', 'mirdb', 'alliance of genome', 'ensembl', 'patric', 'mirtarbase', 'microscope', 'elm', 'cdd', 'ucsc genome browser', 'abcd']",16,2
25398906,18,"['clinvar', 'bioproject', 'cdart', 'conserved domain architecture retrieval tool', 'ncbi', 'refseq', 'pubchem', 'testing registry', 'domain architecture', 'sequence read archive', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'mmdb', 'genbank', 'bookshelf', 'geo', 'cdd']",16,2
29316735,16,"['smart', 'drugbank', 'merops', 'nucleic acids research database', 'proteomicsdb', 'hmdb', 'puldb', '3div', 'rnarchitecture', 'ensembl', 'encode', 'elm', 'gpcrdb', 'stcrdab', 'ucsc genome browser', 'reactome']",14,2
22140104,15,"['cdart', 'bioproject', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'domain architecture', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'mmdb', 'genbank', 'mendelian inheritance in', 'geo', 'sequence read archive', 'cdd']",14,2
31702008,15,"['bioproject', 'gvm', 'gwas atlas', 'sso', 'ngdc', 'noncode', 'elmsg', 'pgg.han', 'lncbook', 'gsa', 'national genomics data center', 'gwh', 'pgg.snv', 'ewas', 'egps']",14,1
21177655,15,"['pdb', 'cath', 'combrex', 'insdc', 'pdbe', 'geo', 'acids research', 'ddbj', 'biodbcore', 'ena', 'arrayexpress', 'genbank', 'international nucleotide sequence database collaboration', 'superfamily', 'sequence read archive']",13,4
24259429,14,"['clinvar', 'bioproject', 'ncbi', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'testing registry', 'medgen', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'genbank', 'mendelian inheritance in', 'sequence read archive']",13,2
30365034,13,"['bioproject', 'ewas', 'bhbd', 'gvm', 'genome variation map', 'idog', 'information commons for rice', 'genome warehouse', 'gsa', 'gwh', 'ic4r', 'open biodiversity and health big data', 'genome sequence archive']",13,2
33175170,12,"['bioproject', '2019ncovr', 'gvm', 'brainbase', 'transcirc', 'gtdb', 'genome variation map', 'genome warehouse', 'gene expression nebulas', 'gwh', 'gen', 'lncexpdb']",12,1
30445541,12,"['uniprot', 'pdb', 'sifts', 'cath', 'pdbe', 'pfam', 'structure integration with function', 'scop', 'ensembl', 'uniprotkb', 'taxonomy and sequences resource', 'interpro']",11,3
27130330,12,"['immport', 'g-doc plus - an integrative bioinformatics platform for precision medicine', 'oc', 'the cancer genome atlas', 'repository for molecular brain neoplasia data', 'gene expression omnibus', 'doc plus', 'g-doc plus', 'tcga', 'caarray', 'oc plus', 'geo']",8,5
23193264,12,"['bioproject', 'ncbi', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'testing registry', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'genbank', 'mendelian inheritance in', 'sequence read archive']",11,2
25765346,12,"['uniprot', 'pi', 'appris', 'structure-ppi system for the comprehensive analysis of coding snvs based on 3d protein structures of protein complexes', 'dbnsfp', 'http://structureppi.bioinfo.cnio.es/structure', 'structure-ppi', 'ppi', 'interactome3d', 'cosmic', 'uniprotkb', 'interpro']",9,3
32508008,12,"['clinvar', 'omim', 'lncrnadisease', 'gencode', 'gwas catalog', 'cnvd', 'diseases', 'genecards', 'ensembl', 'gtr', 'cosmic', 'hgmd']",12,0
29699484,11,"['pdb', 'a comprehensive pdz-protein database', 'http://www.actrec.gov.in:8080/pdzscape', 'intact', 'pfam', 'string', 'kegg', 'uniprotkb', 'pdzscape', 'pdzbase', 'pdz-blast']",11,2
29761469,11,"['uniprot', 'hgd', 'flybase', 'hymenoptera genome database', 'refseq', 'hymenopteramine', 'interpro', 'dbsnp', 'kegg', 'orthodb', 'reactome']",11,3
33059369,11,"['0.6284', 'liangjiuxing@m.scnu.edu.cn', 'visdb', 'hic1', '0.7175', 'sox10', '0.7985', 'deephpv', 'tcga', 'aupr', '0.6102']",11,1
26228432,11,"['drugbank', 'ocd database', 'pubchem', 'ocdb', 'dbsnp', 'world health organization ranks', 'chebi', 'mirbase', 'hgnc', 'in.sql', 'ocd']",10,2
24813212,11,"['tcga', 'modencode', 'ncrnator', 'kegg', 'lncrnadb', 'lncrnator', 'hgnc', 'encode', 'a comprehensive resource for functional investigation of long non-coding rnas', 'geo', 'mgi']",10,2
30813377,11,"['expression atlas', 'human cancer cell lines', 'line', 'the cancer genome atlas', 'reactome', 'pharmacogenomic', 'integrated pharmacogenomic database of cancer cell lines', 'tcga', 'cancer therapeutics response portal', 'cbioportal', 'ipct']",9,3
31665454,11,"['a comparative genomics database of the phylum chlamydiae and other members of the planctomycetes-verrucomicrobiae-chlamydiae superphylum', 'uniprot', 'pfam', 'refseq', 't3ss', 'chlamdb', 'string', 'cog', 'tcdb', 'kegg', 'interpro']",11,1
26578601,10,"['pid', 'ttd', 'therapeutic target database', 'pathway interaction database', 'metacyc', 'wikipathways', 'netpath', 'kegg', 'panther', 'reactome']",9,2
25890833,10,"['clinvar', 'whatif׳', 'whatif׳s', 'conclusions', 'acmg', 'american college of medical genetics and genomics', 'whatif', 'http://tinyurl.com/whatif-software', 'wisconsin hierarchical analysis tool for incidental findings', 'an open']",8,3
32883210,10,"['dna data bank of japan', 'international nucleotides sequencing database', 'insdc', 'sra', 'ddbj', 'metagenote', 'etagenote', 'mixs', 'international nucleotides sequencing database collaboration', 'sequence read archive']",7,3
26920848,10,"['cudampf', 'gpu', 'hmmer', 'gcups', 'ssv', 'cuda', 'hmmsearch', 'simt', 'single instruction multiple threads', 'udampf']",7,4
21082426,10,"['gene3d', 'smart', 'pdb', 'cath', 'pfam', 'tigrfams', 'scop', 'superfamily', 'interpro', 'panther']",10,1
25414345,10,"['uniprot', 'pdb', 'refseq', 'tol', 'scop', 'superfamily 1', 'ensembl', 'superfamily', 'phylogenetic tree of life', 'phytozome']",7,4
21785143,10,"['gene3d', 'smart', 'uniprot', 'interpro biomart', 'pfam', 'uniparc', 'tigrfams', 'superfamily', 'interpro', 'panther']",9,1
22408426,10,"['expocastdb', 'actor', 'ggregated computational toxicology resource', 'toxicity reference database', 'u.s. environmental protection agency', 'aggregated computational toxicology resource', 'toxcastdb', 'distributed structure-searchable toxicity', 'toxrefdb', 'dsstox']",9,6
24178989,10,"['pdb', 'omim', 'pfam', 'online mendelian inheritance in man', 'hgnc', 'a database of hypoxia-regulated proteins', 'hypoxiadb', 'ensembl', 'kegg', 'kyoto encyclopedia of genes and genomes']",10,1
27910033,10,"['tcga', 'refseq', 'h', 'human gene nomenclature database', 'uniprotkb', 'hgnc', 'ensembl', 'genbank', 'cosmic', 'mitelman database of chromosome aberrations and gene fusions in cancer']",9,1
29539190,10,"['clinvar', 'mseqdr mtdna variant tool set', 'mvtool', 'hmtdb', 'mvtools', 'dbnsfp', 'mseqdr', 'mseqdr mvtool', 'mitochondrial dna web', 'mitomap']",7,5
31062021,10,"['pdb', 'dash', 'integrated protein sequence and structural alignment', 'oxfam', 'of aligned structural homologs', 'mafft-dash', 'database of aligned structural homologs', 'balibase', 'ash', 'homfam']",7,4
34370723,10,"['protein interactions domain miner', 'protein-protein interactions domain miner', 'inferring domain-domain interactions from multiple sources of protein-protein interactions', 'string', 'ddi', 'codac', 'imex', '3did', 'ppidm', 'ppidomainminer']",8,3
31978081,10,"['dna databank of japan', 'of gene expression', 'sequence read archive', 'sra', 'genomic expression archive', 'arrayexpress', 'gene expression omnibus', 'aoe', 'geo', 'all of gene expression']",9,3
27230105,10,"['pubchem', 'procardb', 'a database of bacterial carotenoids', 'carotenoid', 'chebi', 'procardb- prokaryotic', 'prokaryotic carotenoid database', 'kegg', 'prokaryotes', 'lpsn']",9,2
28888135,10,"['bioproject', 'strider', 'strseq', 'european nucleotide archive', 'ddbj', 'databank of japan', 'ena', 'the str sequencing project', 'genbank', 'isfg']",9,2
23794918,9,"['publicly', 'belgian ants atlas', 'ormidabel', 'belgian biodiversity platform', 'http://www.formicidae', 'formidabel', 'belgian ants database', 'gbif', 'through']",8,3
32715037,9,"['spectral archive', 'pangaea', 'mineralogical database', 'esa pangaea', 'efb', 'lanetary analogue geological', 'european space agency', 'planetary analogue geological and astrobiological exercise for astronauts', 'esa']",8,2
31991337,9,"['frogancestrycalc', 'allele frequency database', 'frog-kb', 'resource/reference on genetics', 'alfred', 'base', 'frog', 'a standalone batch likelihood computation tool for ancestry inference panels catalogued in frog-kb', 'forensic resource/reference on genetics-knowledge base']",6,5
29590301,9,"['clinvar', 'dbgap', 'genease', 'http://research.cchmc.org/mershalab/genease/login.html.<h4>supplementary', 'gwas catalog', 'enease', 'encode', 'kegg', 'reactome']",8,2
30668479,9,"['pdb', 'pseppdbs', 'pseudo predicted relative solvent accessibility', 'targetdbp', 'pseudo position-specific scoring matrix', 'pseudo predicted probabilities of dna-binding sites', 'support vector machine recursive feature elimination with correlation bias reduction', 'psepssm', 'pseprsa']",9,1
30219840,9,"['drugbank', 'uniprot', 'small molecule modulators database', 'pubchem', 'smmdb', 'string', 'sar', 'genbank', 'kegg']",8,2
32122231,9,"['omim', 'online mendelian inheritance in man', 'hpo', 'the cancer genome atlas', 'efo', 'ncrpheno', 'tcga', 'eco', 'experimental factor ontology']",9,3
27630201,9,"['silvercid', 'named entity recognition', 'toxicogenomics', 'comparative toxicogenomics database', 'silvercid-t', 'disease named entity recognition and normalization', 'uet', 'https://zenodo.org/record/34530', 'ctd']",6,3
27153700,9,"['clinvar', 'http://bioinfo.ahu.edu.cn:8080/dbdsm/index.jsp', 'gwasdb', 'gwas catalog', 'polymirts', 'bdsm', 'database of deleterious synonymous mutation', 'grasp', 'dbdsm']",8,3
31032842,9,"['database', 'refseq', 'metacyc', 'microcyc', 'ijsem', 'metabolic pathways database for microbial taxonomic groups for mining potential metabolic capacities of archaeal and bacterial taxonomic groups', 'metabolic pathways database for microbial taxonomic groups', 'pgdb', 'macadam']",8,3
27733501,9,"['hipsci', 'human induced pluripotent stem cell initiative', 'european collection of authenticated cell cultures', 'european nucleotide archive', 'ega', 'pride', 'ena', 'arrayexpress', 'european genome-phenome archive']",9,2
24499703,9,"['pid', 'pathway interaction database', 'bioportal', 'http://bioportal.bioontology.org/ontologies/pw', 'rgd', 'rat genome database', 'kegg', 'kyoto encyclopedia of genes and genomes', 'pw']",8,3
21496247,9,"['comparative data analysis ontology', 'treebase', 'comparative data analysis', 'phylip', 'cdao', 'cdao-store', 'cdao-explorer', 'dao-store', 'mega']",6,4
22434831,9,"['mouse genome informatics', 'genome', 'omim', 'online mendelian inheritance in man', 'comparative toxicogenomics database', 'mim', 'ctd', 'gi', 'mgi']",6,5
27742822,9,"['pfam', 'mirna pathway dictionary database', 'kegg-', 'wikipathways-', 'smpdb-', 'reactome', 'mirpathdb', 'kegg', 'pid-']",9,2
32895427,9,"['pcoskb<s', 'omim', 'polycystic ovary syndrome knowledgebase', 'pcoskb', 'string', 'dbsnp', 'disgenet', 'kegg', 'reactome']",8,3
32487193,9,"['clinvar', 'dgv', 'omim', 'hmdd', 'scdb', 'dbsnp', 'the cancer genome atlas', 'tcga', 'an integrated database of stomach cancer']",9,1
34585726,9,"['metadata-driven search server for analyzing amino acid changes within epitopes of sars-cov-2 and other viral species', 'virusurf', 'gisaid', 'cog', 'immune epitope database', 'virusviz', 'genbank', 'episurf', 'covid-19 genomics uk']",9,2
