pmid,entity_count,entities,spacy_count,v2_count
23819467,18,"['mint', 'dbgap', 'pharmgkb', 'of knowledge integration', 'ucsc genome browser', 'loki', 'pfam', 'biobin', 'dbsnp', 'oreganno', 'biological general repository for interaction datasets', 'netpath', 'regulatory annotation database', 'kegg', 'kyoto encyclopedia of genes and genomes', 'pharmacogenomics', 'library of knowledge integration', 'reactome']",16,3
26094768,16,"['pdb', 'mouse genome informatics', 'omim', 'tair', 'online mendelian inheritance in man', 'metacyc', 'wormbase', 'mendelian inheritance in man', 'arabidopsis information resource', 'ensembl', 'genbank', 'importance of biological databases in biological discovery', 'kegg', 'kyoto encyclopedia of genes and genomes', 'ucsc genome browser', 'mgi']",15,1
21633941,15,"['pdb', 'mouse genome informatics', 'omim', 'tair', 'online mendelian inheritance in man', 'metacyc', 'wormbase', 'mendelian inheritance in man', 'arabidopsis information resource', 'ensembl', 'genbank', 'kegg', 'kyoto encyclopedia of genes and genomes', 'ucsc genome browser', 'mgi']",14,1
26615188,14,"['oma', 'unicarbkb', 'epd', 'swiss-model repository', 'arraymap', 'string', 'bgee', 'sugarbinddb', 'expasy', 'swissregulon', 'uniprotkb', 'nextprot', 'orthodb', 'www.isb-sib.ch']",14,0
34111608,14,"['xconnector', 'blood exposome database', 'ymdb', 'human metabolome database', 'hmdb', 'lmdb', 'livestock metabolome database', 'small molecule pathway database', 'respectdb', 'kegg', 'yeast metabolome database', 'smpdb', 'respect phytochemicals database', 'kyoto encyclopedia of genes and genomes']",14,1
30465537,13,"['gvm', 'genome variation map', 'methylation bank', 'bigd', 'genome warehouse', 'biocode', 'center', 'gsa', 'gwh', 'gene expression nebulas', 'gen', 'methbank', 'genome sequence archive']",12,2
29036542,13,"['bioproject', 'gen', 'gvm', 'sso', 'genome variation map', 'g', 'genome warehouse', 'gsa', 'gwh', 'gene expression nebulas', 'biocode', 'methbank', 'genome sequence archive']",12,2
23203869,12,"['uniprot', 'pdb', 'sifts', 'cath', 'pdbe', 'pfam', 'structure integration with function', 'scop', 'taxonomy and sequences resource', 'bank', 'resource', 'interpro']",9,5
30371822,12,"['expression atlas', 'pdb', 'litemol', 'http://matrixdb.univ-lyon1.fr/', 'glytoucan', 'interaction database', 'gag', 'symbol nomenclature for glycans', 'matrixdb', 'imex', 'nomenclature', 'snfg']",11,2
28053166,11,"['ccinfo', 'world data centre for microorganisms', 'gcm', 'reference strain catalogue', 'culture collections information worldwide', 'catalogue of microorganism', 'data centre', 'rsc', 'mircen', 'wdcm', 'global catalogue of microorganism']",5,9
25158685,11,"['model organism protein expression database', 'human proteinpedia', 'proteomexchange', 'proteome machine', 'proteomicsdb', 'maxqb', 'pride', 'peptideatlas', 'mass spectrometry interactive virtual environment', 'global proteome machine database', 'gpmdb']",10,1
25591449,11,"['mint', 'an integrated dataset of human pathways and protein-protein interactions', 'pid', 'intact', 'pathppi', 'biogrid', 'inoh', 'netpath', 'kegg', 'http://proteomeview.hupo.org.cn/pathppi/pathppi.html', 'reactome']",11,1
25313161,11,"['uniprot', 'intact', 'pdbe', 'interaction database', 'chembl', 'portal', 'uniprotkb', 'chebi', 'matrixdb', 'complex portal', 'reactome']",10,2
30016815,11,"['smith market place', 'help', 'smith', 'phenotype pipeline', 'mith', 'phep', 'dic', 'electronic medical records', 'medical information technology', 'storage.<h4', 'medical information technology for']",6,5
23500333,11,"['caos', 'ecoprimers', 'otubase', 'dna barcode sequence identification incorporating taxonomic hierarchy', 'jmotu', 'mmdbd', 'paup', 'character based dna barcoding', 'materials dna barcode database', 'biobarcode', 'mega']",10,3
34911434,10,"['plantgenie.org', 'genome', 'eqtl', 'eucalyptus genome integrative explorer', 'genome integrative explorer', 'plantgenie', 'qtlxplorer', 'plant genome integrative explorer', 'popgenie', 'eucgenie']",8,4
30586411,10,"['clinvar', 'bic', 'leiden open variation database', 'global alliance for genomics and health', 'interpretation of germline', 'brca exchange', 'network for', 'brca challenge', 'brca', 'germline mutant alleles']",6,5
31902976,10,"['lamp', 'dramp', 'thpdb', 'biopepdb', 'avpdb', 'biodadpep', 'ahtpdb', 'cancerppd', 'satpdb', 'cppsite']",10,1
22110025,10,"['dor', 'bioproject', 'dna data bank of japan', 'insdc', 'dbj omics archive', 'ddbj', 'arrayexpress', 'ddbj omics archive', 'international nucleotide sequence database collaboration', 'http://trace.ddbj.nig.ac.jp/bioproject']",8,6
27867804,10,"['dfast', 'ddbj fast annotation', 'sra', 'ddbj', 'ena', 'daga', 'genbank', 'sequence read archive', 'tool', 'dfast archive of genome annotation']",6,6
21474551,10,"['tricacyc', 'pathologic', 'cyc annotation database system', 'cyc annotation database system (cycads', 'acypicyc', 'biocyc', 'cycads', 'genbank', 'phylomedb', 'dromecyc']",8,4
30739313,10,"['r', 'ule input network generator', 'o-glycovis', 'o-glycan', 'o', 'rule input network generator', 't47d', 'ring', 'lycovis', 'glycovis']",4,6
26529777,10,"['the encyclopedia of dna elements', 'encyclopedia of dna elements', 's.o', 'gem', 'the', 'encode', 's.o.s.', 'semantic knowledge base by starting with concepts extracted from', 'semantic knowledge base', 's']",5,6
24667251,10,"['clinvar', 'refseq', 'uniprotkb', 'the cancer genome atlas', 'biomuta', 'csr', 'cosmic', 'tcga', 'http://hive.biochemistry.gwu.edu/tools/biomuta/index.php', 'cdd']",10,2
28158609,10,"['uniprot', 'enzyme portal', 'intenz', 'pdbe', 'chembl', 'uniprotkb', 'chebi', 'enzyme', 'rhea', 'reactome']",7,3
28812536,10,"['clinvar', 'pdb', 'dgar', 'edgar', 'omim', 'trrust', 'a database of disease-gene associations with annotated relationships among genes', 'string', 'kegg', 'reactome']",9,2
33104772,9,"['mouse genome informatics', 'gene expression database', 'gxd', 'arrayexpress', 'morpheus heat map', 'mouse gene expression database', 'expression atlas', 'geo', 'mgi']",8,3
29106569,9,"['pdb', 'mechanism and', 'mechanism and catalytic site atlas', 'csa', 'mechanism, annotation and classification in enzymes', 'uniprotkb', 'macie', 'm-csa', 'catalytic site atlas']",7,3
33094747,9,"['structural', 'oxpi', 'toxicological', 't', 'connectivity and omic phenotype evaluations', 'scope', 'and omic phenotype evaluations', 'toxicological prioritization index', 'toxpi']",2,7
30576490,9,"['uniprot', 'fuzdb', 'disprot', 'mfib', 'mobidb', 'dibs', 'elm', 'an open', 'ideal']",9,2
24089456,9,"['funcgen', 'nencki genomics', 'uncgen', 'ensembl funcgen', 'database.nencki-genomics.org', 'encode', 'ensembl', 'nencki genomics database', 'wsdl']",5,5
30652568,9,"['changes', 'afe mocha', 'hnscc).<h4', 'the cancer genome atlas', 'cafe', 'mocha', 'clinical association of functionally established molecular changes', 'install4j', 'cafe mocha']",5,4
29956454,9,"['mlc', 'doar', 'mobius3d', 'oar', 'd-db', 'm3doar', 'db', 'm3d-db', 'mobius3d.']",5,4
30325669,9,"['plant genetic resources network', 'colbase', 'renargen', 'embrapa', 'resources', 'cenargen', 'regen', 'alelo', 'embrapa network for brazilian plant genetic resources conservation']",5,4
24885296,9,"['structure function linkage database', 'interpro', 'mechanism, annotation and classification in enzymes database', 'sfld', 'ezcatdb', 'database of enzyme catalytic mechanisms', 'macie', 'annotation and classification in enzymes', 'catalytic site atlas']",8,2
30722483,9,"['mrs central', 'rs', 'microbial rosetta stone', 'microbial rosetta stone central agricultural database', 'agdb', 'mrs central database', 'microbial rosetta stone central', 'mrs) central', 'database']",5,5
22181660,9,"['line', 'z', 'egfp', 'killerred', 'zebrafish enhancer trap lines', 'zetrap', 'zebrafish enhancer trap lines database', 'etrap', 'zebrafish enhancer trap']",4,7
24021981,9,"['ppr16', 'pprdb', 'http://giavap-genomes.ibpc.fr/ppr', 'cbs', 'mrl1', 'mca1', 'ppr29', 'ppr18', 'rap']",9,1
