pmid,entity_count,entities,spacy_count,v2_count
24316579,27,"['cazy', 'pfam', 'ribosomal database project', 'pdbsum', 'mirbase', 'drugbank', 'gene3d', 'rdp', 'pdbe', 'prokaryotic names', 'list of prokaryotic names with standing in nomenclature', 'seed', 'scope', 'mmdb', 's', 'tcdb', 'kegg', 'dbgap', 'uniprot', 'scop', 'ipfam', 'archdb', 'reactome', 'dgv', 'lpsn', '2014 nucleic acids research database issue and an updated nar online molecular biology database collection', 'structural classification of proteins']",25,2
33396976,25,"['smart', 'klifs', 'rfam', 'pfam', 'cncdatabase', 'dkk', 'mobidb', 'pina', 'kinasemd', 'noncode', '2021 nucleic acids research database issue contains 189 papers spanning a wide range of biological fields and investigation', 'img/vr', 'kegg', 'pdb', 'flybase', 'greenphyldb', 'gramene', 'cog', '2021 nucleic acids research database issue and the online molecular biology database collection', 'rnacentral', 'string', 'wikipathways', 'ensembl', 'ucsc genome browser', 'cansar']",25,0
30626175,21,"['pfam', 'mirbase', 'uniprotkb', 'ar', 'vmh', 'http://www.oxfordjournals.org/nar/database/c', 'omim', 'lncrna2target', '2019 nucleic acids research', 'cosmic', 'kegg', 'interpro', 'human', 'rnacentral', 'iprox', 'gencode', 'string', 'ensembl', 'wwpdb', 'ucsc genome browser', 'pophumanscan']",19,2
26615191,19,"['conserved domain architecture retrieval tool', 'dbsnp', 'sequence read archive', 'cdd', 'ncbi', 'pubchem', 'conserved domain database', 'mmdb', 'bookshelf', 'clinvar', 'dbgap', 'bioproject', 'cdart', 'testing registry', 'gene expression omnibus', 'genbank', 'dbmhc', 'geo', 'refseq']",18,1
23819467,18,"['mint', 'dbgap', 'pharmgkb', 'of knowledge integration', 'ucsc genome browser', 'loki', 'pfam', 'biobin', 'dbsnp', 'oreganno', 'biological general repository for interaction datasets', 'netpath', 'regulatory annotation database', 'kegg', 'kyoto encyclopedia of genes and genomes', 'pharmacogenomics', 'library of knowledge integration', 'reactome']",16,3
31906604,18,"['afnd', 'ogrdb', 'disprot', 'ipd', 'nucleic acids research', 'scop', 'reactome', 'nucleic acids', 'mirdb', 'alliance of genome', 'ensembl', 'patric', 'mirtarbase', 'microscope', 'elm', 'cdd', 'ucsc genome browser', 'abcd']",16,2
25398906,18,"['clinvar', 'bioproject', 'cdart', 'conserved domain architecture retrieval tool', 'ncbi', 'refseq', 'pubchem', 'testing registry', 'domain architecture', 'sequence read archive', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'mmdb', 'genbank', 'bookshelf', 'geo', 'cdd']",16,2
29316735,16,"['smart', 'drugbank', 'merops', 'nucleic acids research database', 'proteomicsdb', 'hmdb', 'puldb', '3div', 'rnarchitecture', 'ensembl', 'encode', 'elm', 'gpcrdb', 'stcrdab', 'ucsc genome browser', 'reactome']",14,2
26094768,16,"['pdb', 'mouse genome informatics', 'omim', 'tair', 'online mendelian inheritance in man', 'metacyc', 'wormbase', 'mendelian inheritance in man', 'arabidopsis information resource', 'ensembl', 'genbank', 'importance of biological databases in biological discovery', 'kegg', 'kyoto encyclopedia of genes and genomes', 'ucsc genome browser', 'mgi']",15,1
21177655,15,"['pdb', 'cath', 'combrex', 'insdc', 'pdbe', 'geo', 'acids research', 'ddbj', 'biodbcore', 'ena', 'arrayexpress', 'genbank', 'international nucleotide sequence database collaboration', 'superfamily', 'sequence read archive']",13,4
31702008,15,"['bioproject', 'gvm', 'gwas atlas', 'sso', 'ngdc', 'noncode', 'elmsg', 'pgg.han', 'lncbook', 'gsa', 'national genomics data center', 'gwh', 'pgg.snv', 'ewas', 'egps']",14,1
22140104,15,"['cdart', 'bioproject', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'domain architecture', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'mmdb', 'genbank', 'mendelian inheritance in', 'geo', 'sequence read archive', 'cdd']",14,2
21633941,15,"['pdb', 'mouse genome informatics', 'omim', 'tair', 'online mendelian inheritance in man', 'metacyc', 'wormbase', 'mendelian inheritance in man', 'arabidopsis information resource', 'ensembl', 'genbank', 'kegg', 'kyoto encyclopedia of genes and genomes', 'ucsc genome browser', 'mgi']",14,1
34111608,14,"['xconnector', 'blood exposome database', 'ymdb', 'human metabolome database', 'hmdb', 'lmdb', 'livestock metabolome database', 'small molecule pathway database', 'respectdb', 'kegg', 'yeast metabolome database', 'smpdb', 'respect phytochemicals database', 'kyoto encyclopedia of genes and genomes']",14,1
26615188,14,"['oma', 'unicarbkb', 'epd', 'swiss-model repository', 'arraymap', 'string', 'bgee', 'sugarbinddb', 'expasy', 'swissregulon', 'uniprotkb', 'nextprot', 'orthodb', 'www.isb-sib.ch']",14,0
24259429,14,"['clinvar', 'bioproject', 'ncbi', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'testing registry', 'medgen', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'genbank', 'mendelian inheritance in', 'sequence read archive']",13,2
30465537,13,"['gvm', 'genome variation map', 'methylation bank', 'bigd', 'genome warehouse', 'biocode', 'center', 'gsa', 'gwh', 'gene expression nebulas', 'gen', 'methbank', 'genome sequence archive']",12,2
29036542,13,"['bioproject', 'gen', 'gvm', 'sso', 'genome variation map', 'g', 'genome warehouse', 'gsa', 'gwh', 'gene expression nebulas', 'biocode', 'methbank', 'genome sequence archive']",12,2
30365034,13,"['bioproject', 'ewas', 'bhbd', 'gvm', 'genome variation map', 'idog', 'information commons for rice', 'genome warehouse', 'gsa', 'gwh', 'ic4r', 'open biodiversity and health big data', 'genome sequence archive']",13,2
30445541,12,"['uniprot', 'pdb', 'sifts', 'cath', 'pdbe', 'pfam', 'structure integration with function', 'scop', 'ensembl', 'uniprotkb', 'taxonomy and sequences resource', 'interpro']",11,3
23203869,12,"['uniprot', 'pdb', 'sifts', 'cath', 'pdbe', 'pfam', 'structure integration with function', 'scop', 'taxonomy and sequences resource', 'bank', 'resource', 'interpro']",9,5
33175170,12,"['bioproject', '2019ncovr', 'gvm', 'brainbase', 'transcirc', 'gtdb', 'genome variation map', 'genome warehouse', 'gene expression nebulas', 'gwh', 'gen', 'lncexpdb']",12,1
25765346,12,"['uniprot', 'pi', 'appris', 'structure-ppi system for the comprehensive analysis of coding snvs based on 3d protein structures of protein complexes', 'dbnsfp', 'http://structureppi.bioinfo.cnio.es/structure', 'structure-ppi', 'ppi', 'interactome3d', 'cosmic', 'uniprotkb', 'interpro']",9,3
32508008,12,"['clinvar', 'omim', 'lncrnadisease', 'gencode', 'gwas catalog', 'cnvd', 'diseases', 'genecards', 'ensembl', 'gtr', 'cosmic', 'hgmd']",12,0
27130330,12,"['immport', 'g-doc plus - an integrative bioinformatics platform for precision medicine', 'oc', 'the cancer genome atlas', 'repository for molecular brain neoplasia data', 'gene expression omnibus', 'doc plus', 'g-doc plus', 'tcga', 'caarray', 'oc plus', 'geo']",8,5
23193264,12,"['bioproject', 'ncbi', 'conserved domain architecture retrieval tool', 'refseq', 'pubchem', 'testing registry', 'dbsnp', 'conserved domain database', 'gene expression omnibus', 'genbank', 'mendelian inheritance in', 'sequence read archive']",11,2
30371822,12,"['expression atlas', 'pdb', 'litemol', 'http://matrixdb.univ-lyon1.fr/', 'glytoucan', 'interaction database', 'gag', 'symbol nomenclature for glycans', 'matrixdb', 'imex', 'nomenclature', 'snfg']",11,2
26228432,11,"['drugbank', 'ocd database', 'pubchem', 'ocdb', 'dbsnp', 'world health organization ranks', 'chebi', 'mirbase', 'hgnc', 'in.sql', 'ocd']",10,2
30813377,11,"['expression atlas', 'human cancer cell lines', 'line', 'the cancer genome atlas', 'reactome', 'pharmacogenomic', 'integrated pharmacogenomic database of cancer cell lines', 'tcga', 'cancer therapeutics response portal', 'cbioportal', 'ipct']",9,3
25158685,11,"['model organism protein expression database', 'human proteinpedia', 'proteomexchange', 'proteome machine', 'proteomicsdb', 'maxqb', 'pride', 'peptideatlas', 'mass spectrometry interactive virtual environment', 'global proteome machine database', 'gpmdb']",10,1
25313161,11,"['uniprot', 'intact', 'pdbe', 'interaction database', 'chembl', 'portal', 'uniprotkb', 'chebi', 'matrixdb', 'complex portal', 'reactome']",10,2
31665454,11,"['a comparative genomics database of the phylum chlamydiae and other members of the planctomycetes-verrucomicrobiae-chlamydiae superphylum', 'uniprot', 'pfam', 'refseq', 't3ss', 'chlamdb', 'string', 'cog', 'tcdb', 'kegg', 'interpro']",11,1
28053166,11,"['ccinfo', 'world data centre for microorganisms', 'gcm', 'reference strain catalogue', 'culture collections information worldwide', 'catalogue of microorganism', 'data centre', 'rsc', 'mircen', 'wdcm', 'global catalogue of microorganism']",5,9
29699484,11,"['pdb', 'a comprehensive pdz-protein database', 'http://www.actrec.gov.in:8080/pdzscape', 'intact', 'pfam', 'string', 'kegg', 'uniprotkb', 'pdzscape', 'pdzbase', 'pdz-blast']",11,2
23500333,11,"['caos', 'ecoprimers', 'otubase', 'dna barcode sequence identification incorporating taxonomic hierarchy', 'jmotu', 'mmdbd', 'paup', 'character based dna barcoding', 'materials dna barcode database', 'biobarcode', 'mega']",10,3
30016815,11,"['smith market place', 'help', 'smith', 'phenotype pipeline', 'mith', 'phep', 'dic', 'electronic medical records', 'medical information technology', 'storage.<h4', 'medical information technology for']",6,5
33059369,11,"['0.6284', 'liangjiuxing@m.scnu.edu.cn', 'visdb', 'hic1', '0.7175', 'sox10', '0.7985', 'deephpv', 'tcga', 'aupr', '0.6102']",11,1
29761469,11,"['uniprot', 'hgd', 'flybase', 'hymenoptera genome database', 'refseq', 'hymenopteramine', 'interpro', 'dbsnp', 'kegg', 'orthodb', 'reactome']",11,3
25591449,11,"['mint', 'an integrated dataset of human pathways and protein-protein interactions', 'pid', 'intact', 'pathppi', 'biogrid', 'inoh', 'netpath', 'kegg', 'http://proteomeview.hupo.org.cn/pathppi/pathppi.html', 'reactome']",11,1
24813212,11,"['tcga', 'modencode', 'ncrnator', 'kegg', 'lncrnadb', 'lncrnator', 'hgnc', 'encode', 'a comprehensive resource for functional investigation of long non-coding rnas', 'geo', 'mgi']",10,2
31902976,10,"['lamp', 'dramp', 'thpdb', 'biopepdb', 'avpdb', 'biodadpep', 'ahtpdb', 'cancerppd', 'satpdb', 'cppsite']",10,1
21474551,10,"['tricacyc', 'pathologic', 'cyc annotation database system', 'cyc annotation database system (cycads', 'acypicyc', 'biocyc', 'cycads', 'genbank', 'phylomedb', 'dromecyc']",8,4
24667251,10,"['clinvar', 'refseq', 'uniprotkb', 'the cancer genome atlas', 'biomuta', 'csr', 'cosmic', 'tcga', 'http://hive.biochemistry.gwu.edu/tools/biomuta/index.php', 'cdd']",10,2
28888135,10,"['bioproject', 'strider', 'strseq', 'european nucleotide archive', 'ddbj', 'databank of japan', 'ena', 'the str sequencing project', 'genbank', 'isfg']",9,2
26529777,10,"['the encyclopedia of dna elements', 'encyclopedia of dna elements', 's.o', 'gem', 'the', 'encode', 's.o.s.', 'semantic knowledge base by starting with concepts extracted from', 'semantic knowledge base', 's']",5,6
26920848,10,"['cudampf', 'gpu', 'hmmer', 'gcups', 'ssv', 'cuda', 'hmmsearch', 'simt', 'single instruction multiple threads', 'udampf']",7,4
25414345,10,"['uniprot', 'pdb', 'refseq', 'tol', 'scop', 'superfamily 1', 'ensembl', 'superfamily', 'phylogenetic tree of life', 'phytozome']",7,4
29539190,10,"['clinvar', 'mseqdr mtdna variant tool set', 'mvtool', 'hmtdb', 'mvtools', 'dbnsfp', 'mseqdr', 'mseqdr mvtool', 'mitochondrial dna web', 'mitomap']",7,5
28812536,10,"['clinvar', 'pdb', 'dgar', 'edgar', 'omim', 'trrust', 'a database of disease-gene associations with annotated relationships among genes', 'string', 'kegg', 'reactome']",9,2
27910033,10,"['tcga', 'refseq', 'h', 'human gene nomenclature database', 'uniprotkb', 'hgnc', 'ensembl', 'genbank', 'cosmic', 'mitelman database of chromosome aberrations and gene fusions in cancer']",9,1
22110025,10,"['dor', 'bioproject', 'dna data bank of japan', 'insdc', 'dbj omics archive', 'ddbj', 'arrayexpress', 'ddbj omics archive', 'international nucleotide sequence database collaboration', 'http://trace.ddbj.nig.ac.jp/bioproject']",8,6
32883210,10,"['dna data bank of japan', 'international nucleotides sequencing database', 'insdc', 'sra', 'ddbj', 'metagenote', 'etagenote', 'mixs', 'international nucleotides sequencing database collaboration', 'sequence read archive']",7,3
31062021,10,"['pdb', 'dash', 'integrated protein sequence and structural alignment', 'oxfam', 'of aligned structural homologs', 'mafft-dash', 'database of aligned structural homologs', 'balibase', 'ash', 'homfam']",7,4
25890833,10,"['clinvar', 'whatif׳', 'whatif׳s', 'conclusions', 'acmg', 'american college of medical genetics and genomics', 'whatif', 'http://tinyurl.com/whatif-software', 'wisconsin hierarchical analysis tool for incidental findings', 'an open']",8,3
27867804,10,"['dfast', 'ddbj fast annotation', 'sra', 'ddbj', 'ena', 'daga', 'genbank', 'sequence read archive', 'tool', 'dfast archive of genome annotation']",6,6
