entity_name,total_papers,spacy_papers,v2_papers,source,pmids
kegg,209,209,5,both,"21245031,21245051,21253872,21385030,21441347,21498403,21602921,21609420,21685098,21700675,21749710,21762488,21791068,21933848,21984760,22002696,22067443,22070889,22098204,22102589,22102771,22123737,22135418,22140115,22144685,22166047,22285826,22397686,22439011,22493539,22495752,22558086,22591066,22712730,22713124,22735743,22857267,22923303,23028852,23046449,23129220,23185330,23193276,23193296,23282057,23292739,23314755,23330685,23375020,23452239,23530693,23613707,23658416,23692364,23717556,23766290,23800136,23846595,23875761,23991755,24016071,24064416,24149052,24163125,24177720,24178989,24180668,24279809,24280345,24316579,24499703,24618044,24651476,24813212,24939193,24949626,24953454,24962434,25190456,25260589,25332395,25347823,25465051,25541727,25604238,25708775,25712693,25879163,25887214,25907774,25974630,25977294,26130661,26169172,26209309,26322066,26322134,26511329,26547981,26561344,26578601,26582926,26585406,26614125,26727469,26822098,26852673,26925206,26980516,27045824,27091357,27151197,27230105,27473391,27485441,27530928,27587660,27587678,27714042,27742822,27801297,27866912,28155707,28172447,28238542,28327601,28336542,28365733,28420402,28451977,28595657,28708831,28768481,28961716,28968630,29036667,29077809,29106664,29166858,29186340,29426939,29470400,29590301,29699484,29718114,29718427,29745830,29761469,29762640,29764375,29800320,29850816,30096176,30115014,30124768,30219840,30278585,30321400,30335785,30349509,30357356,30428831,30626175,30649247,30668638,30837356,31096089,31130993,31307376,31423653,31648227,31665439,31665454,31695723,31742321,31882993,31885041,31887789,31990579,32221612,32228437,32349124,32369596,32421310,32499815,32620074,32632821,32715085,32879224,32895427,33070442,33259604,33320930,33381822,33396976,33407081,33408850,33519912,33584804,34037798,34147352,34183042,34384382,34408730,34527188,34580179,34656056,34716373,34774049"
pdb,189,188,6,both,"21082426,21177655,21255607,21296751,21349870,21398668,21414989,21590420,21636590,21698189,21711533,22009674,22034521,22053089,22102572,22102591,22127861,22135290,22135305,22139937,22139939,22268964,22355226,22600737,22611129,22638586,22661649,22759425,22800569,22827839,22833525,23104379,23185330,23196990,23256889,23259794,23680785,23703210,23715893,23758891,23819482,23929030,23970545,24005040,24130308,24178989,24243844,24253302,24289158,24291661,24319143,24475173,24489849,24573477,24669769,24763918,24857970,24991975,25118648,25183487,25258493,25300483,25301850,25326082,25329307,25378330,25392411,25392418,25414345,25488330,25540181,25547242,25559128,25636267,25656309,25848172,25910698,26013810,26026167,26092861,26131021,26160459,26227548,26476444,26517951,26555596,26578568,26582920,26827237,26873783,27043825,27087309,27153640,27172383,27242032,27284084,27319297,27530928,27565795,27597167,27794042,27794554,27841751,27899574,27899675,27905517,27984824,28031034,28193156,28203707,28206754,28381244,28453653,28472330,28482028,28498994,28891124,28968795,28968848,29040693,29078314,29136215,29168245,29297283,29335563,29520288,29659718,29699484,29718100,29745830,29788317,29982280,30127348,30354114,30357405,30398663,30423083,30445541,30582634,30668479,30689864,30714210,30783007,30873531,31062021,31261733,31263870,31286135,31412589,31560649,31584092,31593887,31598690,31648227,31702846,31724711,31738385,31841142,31863748,31870277,32297936,32337573,32404014,32418327,32427333,32508104,32611389,32678893,32805021,32857502,33135044,33167031,33196841,33216893,33237313,33289894,33396976,33502860,33961119,34015821,34019657,34039967,34104357,34112240,34240464,34244700,34260689,34301175,34303324"
uniprot,180,180,11,both,"21216786,21253872,21300622,21310745,21447597,21569281,21605354,21646335,21707958,21757464,21785143,21993301,22053087,22067098,22102581,22102589,22102590,22110036,22123736,22127870,22144685,22199232,22210871,22310480,22434837,22496884,22544604,22555647,22638578,22702658,22827839,22833525,22945787,22962482,23126227,23161681,23178820,23180791,23193256,23193296,23203986,23327938,23536820,23613707,23667450,23828785,23945046,23958731,24064416,24065691,24143170,24253302,24253303,24270792,24316579,24319146,24453961,24584870,24825613,24829452,24857970,24911789,25052702,25122463,25212755,25300481,25326082,25348399,25378336,25414324,25414345,25428351,25465051,25656309,25712690,25725059,25765346,25789152,25794277,25845596,25921073,25925572,26092861,26316313,26438538,26455268,26582918,26586801,26673716,26743509,26873783,26980520,27045824,27087309,27153729,27284084,27894340,27899574,27899622,27903894,27905517,27910954,27984824,28334741,28365736,28381244,28383659,28708831,28881966,28968795,29036616,29040681,29040693,29098713,29136215,29220476,29472600,29490010,29529024,29745830,29761469,29788290,29931246,29947803,30053269,30092360,30096176,30219840,30272209,30329070,30380112,30395283,30395287,30395289,30407590,30445541,30624648,30873536,31032837,31091262,31173061,31192369,31504173,31629694,31665454,31688925,31701143,31738435,31741225,31843688,32076423,32183712,32337573,32399560,32469073,32470107,32579606,32611314,32941621,33054771,33068406,33104802,33119734,33174598,33176685,33196841,33212503,33237286,33237313,33310018,33445429,33539887,33724838,33995920,34023895,34081107,34352070,34688246,34783553,36700097"
tcga,137,137,5,both,"21845230,21930502,23109555,23219992,23595662,24813212,25010047,25196204,25267794,25392408,25394492,25398901,25592564,25637560,25703262,25841438,25971740,25984700,26169172,26233958,26272984,26507825,26586806,26602693,26635391,26699225,26699919,26773058,26787663,26958160,26967326,27130330,27531214,27549193,27797769,27868129,27899563,27910033,28245795,28334366,28369222,28407145,28415609,28453687,28522612,28549078,28651562,28732212,29036324,29036590,29059374,29077939,29092931,29099951,29126202,29136207,29382254,29605850,29848362,29931238,29950003,29993641,30052770,30089500,30101316,30223042,30266410,30329022,30335161,30400818,30407534,30407583,30423087,30476305,30522456,30561551,30773592,30779739,30813377,30872259,30903160,31114875,31155677,31410488,31511885,31598709,31642488,31666118,31680157,31713618,31735953,31769783,31805986,31811943,31834359,31847917,31848596,31873725,31888480,31917401,31998366,32122231,32360910,32369552,32449936,32487193,32591816,32649057,32681912,32746900,32750074,32765587,33010176,33059369,33137091,33179738,33270889,33299129,33330918,33381822,33519912,33619257,33705981,33729437,33858332,34113986,34117863,34122523,34185062,34210067,34229612,34321100,34375392,34589189,34700680,34814330,34819397"
the cancer genome atlas,109,109,0,spacy,"21930502,23109555,23219992,23595662,23884480,24205039,24319001,24489370,24919878,25010047,25394492,25398901,25637560,25703262,25841438,25971740,26169172,26272984,26377073,26507825,26590405,26635391,26699225,26699919,26773058,26958160,27130330,27185889,27231484,27549193,27797769,27899563,28105316,28245795,28453687,28732212,28961917,29028907,29036324,29036590,29092929,29092931,29092939,29099951,29126202,29136180,29136207,29309507,29382254,29433427,29512401,29605850,29950003,30059974,30089500,30154154,30203047,30223042,30266410,30329022,30329095,30367574,30407583,30497361,30561551,30773592,30779739,30813377,30872259,31002564,31262303,31368353,31392309,31410488,31511885,31598709,31642488,31666118,31691824,31735953,31805986,31811943,31834359,31847917,31848596,31888480,32122231,32392295,32487193,32576192,32618995,33137091,33179738,33299129,33330918,33514395,33705981,33729437,33858332,34122523,34210067,34260718,34296749,34316695,34321100,34375392,34464437,34589189,34700680"
ensembl,95,95,10,both,"21596783,21697123,21854555,22067444,22067447,22075990,22219203,22257667,22345505,22544604,22945789,22965133,23812996,23872200,24163254,24178989,24225318,24270792,24285300,24285305,24608034,24723423,24917120,25161242,25300481,25352552,25414340,25414345,25432969,25789152,25845596,25881165,25887485,26020645,26405458,26635364,26888907,26896847,26980512,27098042,27153597,27337980,27513924,27899586,27903894,27910033,27924024,27987162,28149059,28365736,28572580,28577791,28605766,28605774,29040681,29069475,29091996,29155950,29169277,29316735,30321303,30357393,30395283,30395289,30407521,30445541,30624648,30626175,30689724,30768152,30886642,30945202,30999860,31161195,31210271,31353404,31665499,31691826,31871587,31882993,31906604,32508008,32766766,32926138,32934277,33104802,33137190,33176685,33179748,33270643,33396976,33581338,33813885,33872372,34538772"
uniprotkb,88,88,16,both,"21447597,21556138,22080550,22102589,22123736,22127870,22247277,22434837,22467909,22536960,22544604,22962482,23066107,23193256,23193261,23327938,23517090,23618375,23864220,23958731,24143170,24234447,24270789,24319146,24336809,24705205,24705206,24790154,25122463,25196432,25324309,25348399,25378336,25385275,25522231,25765346,25911152,25987568,26139634,26464438,26578555,26578568,26673716,27087306,27114493,27153729,27574780,27789699,27899574,27899672,27910033,28334741,28383659,28453653,28454901,28784999,28982288,29069475,29098713,29220476,29699484,29762640,30152276,30272209,30445541,30445555,30462190,30626175,30657872,30887928,31081335,31093654,31094220,31584092,31688925,31733063,31843688,32034905,32399560,32508104,32934277,33136065,33216895,33237286,33442735,33445429,33724838,33894373"
genbank,85,85,4,both,"21177655,21339531,21544197,21569281,21622663,21672955,21851592,21880703,21914464,21961731,22080509,22120664,22140104,22554190,22558086,22778902,22802394,22827839,22945945,22970114,23028445,23192551,23193264,23193267,23412913,23452691,23696374,23737449,23800136,23826173,23872200,24040164,24244913,24259429,24502833,24767513,24990605,25228593,25398906,25887214,25925571,26042145,26450949,26615191,26678286,27153674,27899678,27910033,28077566,28187133,28486635,28651548,28865429,28888135,28986915,29069347,29140470,29167738,29228171,29240889,29308007,29474519,29688360,29842948,29899596,30219840,30674273,31029701,31056509,32349659,32422927,32448124,32683454,32691361,32792559,32941621,33031509,33045721,33095870,33119759,33162997,34068790,34406385,34585726,34748542"
pfam,81,81,3,both,"21082426,21498403,21593126,21622656,21757464,21785143,22053084,22067443,22127870,22144685,22174272,22434837,22536960,22548871,23180792,23203984,23618375,23837716,24065691,24178989,24270792,24297255,24316579,25262355,25348214,25356683,25789152,25845596,25880930,25964299,26228684,26561344,26582926,26673716,26727469,26740669,26980516,26980519,27153675,27473391,27490490,27742822,27894340,27899574,27899671,27903896,28185571,28193156,28423505,28545394,28592293,28814324,28970546,29032233,29069412,29659718,29699484,30010777,30115014,30239681,30241466,30295749,30364992,30445541,30626175,30908487,31116477,31665454,31856718,32003788,32499815,33125078,33237313,33396976,33407081,33985559,33995920,34023906,34081107,34081399,34521345"
geo,78,78,6,both,"21177655,21177656,21414985,21685050,22140104,22188791,23193258,23219992,23340253,23388151,24599084,24650281,24813212,25152233,25278960,25347823,25398906,25592564,25765347,25907774,25971742,26581413,26615191,26868054,27008011,27130330,27134731,27303626,27323392,27503226,27797771,27806696,27846806,28529706,28549078,28925997,29059374,29106664,29145608,29485625,29490630,30040079,30137226,30278585,30307528,30371817,30416387,30668638,30668832,30959271,31110304,31231515,31390943,31559014,31665759,31811943,31861980,31917401,31978081,32050905,32276847,32338561,32500289,32510568,33125076,33247935,33270889,33546584,33705981,33879674,34037798,34122523,34147352,34166365,34183042,34487148,34736471,34774049"
