entity_name,total_papers,spacy_papers,v2_papers,source,pmids
kegg,139,139,12,both,"21177657,21283776,21364759,21401935,21478194,21523460,21546552,21633941,21685093,21714896,21715386,21718467,21824409,21904425,21952610,21982513,22046267,22080510,22096236,22126435,22130871,22139914,22233419,22533924,22610856,22700311,22720753,22735708,22736259,22741533,22759918,22760305,22800180,22879875,23019219,23025710,23175606,23192552,23293959,23308364,23324169,23346221,23555215,23778453,23819467,23874618,23889801,23936076,23956306,24214961,24214962,24218215,24302289,24320595,24444128,24838565,24899069,24957044,24987669,25367050,25378310,25591449,25889708,25935546,26053019,26094768,26134183,26204518,26220682,26363020,26400040,26476454,26519400,26527717,26546514,26582928,26695483,26746174,26776205,27252213,27318307,27404214,27673730,27742820,27793108,27899662,27977166,28204845,28338930,28511181,28812536,29049295,29211807,29547800,29554099,29660498,29868062,30030815,30053238,30191166,30202061,30228802,30321428,30476243,30567498,30614735,30701323,30862804,30893420,30910961,31333719,31441146,31506471,31657800,31779604,31923512,31937236,31953307,31971327,32117445,32420879,32451429,32473013,32551569,32614575,33008309,33095861,33125081,33373364,33506264,33577575,33631433,33633781,33816940,34111608,34305880,34530727,34681040,34928054"
pdb,133,133,8,both,"21460450,21472436,21622657,21633941,21769189,21956744,21976737,22084200,22096233,22437851,22449400,22505803,22529851,22685160,22689068,22693223,22942020,22969036,23087378,23091487,23180575,23193259,23203869,23275735,23424109,23633580,23737450,23896518,23941661,23982150,24271397,24304899,24581802,24990767,25048123,25324316,25355688,25361972,25392415,25399423,25425036,25428375,25670880,25728793,25883148,25897329,25917548,25925569,26010663,26094768,26141454,26187044,26253947,26317409,26336137,26481362,26615193,26656949,26745458,26810894,26840827,26908025,26949480,26980515,27001666,27075512,27125735,27131383,27273290,27493549,27509041,27522608,27572735,27589215,27603019,27749924,27789697,27870245,27928059,28296894,28451973,28573593,28685932,28812536,29067736,29077942,29106569,29155427,29161266,29244774,29308120,29331638,29533231,29548284,29718130,29718468,29897235,30052959,30371822,30418645,30499394,30500919,30508159,30665056,30689843,30943284,31032840,31117939,31236561,31239187,31318422,31396911,31584078,31691821,31724231,31738385,31793899,31869345,32006287,32558264,32776019,33313778,33404523,33830752,33932974,34036130,34445259,34604832,34627149,34663179,34732566,34739839,34908533"
uniprot,99,99,10,both,"21063943,21082430,21546552,21712192,21940779,21982513,22075996,22135297,22139914,22533924,22737123,22737589,22821596,22859749,22923302,23028496,23091487,23175606,23203869,23230445,23424109,23537399,23734176,23766369,23815411,24088582,24174544,24201223,24234439,24288371,24330193,24508333,24533037,24581802,24586563,24890864,24957044,25233094,25307260,25313161,25348405,25361972,25393771,25429972,25685613,25888481,25900361,25931458,25935546,26088053,26187044,26284514,26519399,26896845,26989148,27010673,27052996,27153729,27296299,27380722,27472010,27736745,27749924,27902695,28025334,28150232,28158609,28159896,28365737,28573593,28651575,29023571,29036719,30371819,30400856,30481282,30574164,30576490,30698741,30943284,31040227,31130983,31236561,31333719,31581775,31602464,31606900,31944606,32367111,32967423,32998977,33482803,33502607,33677561,33816940,34270056,34871295,34895309,36119373"
a large-scale,88,88,0,spacy,"21622657,21831299,21992002,21998154,22736259,22748121,22901543,22962472,23208789,23497729,23570835,23768135,23828786,23981286,24457510,24635915,24742296,24890864,25277758,25324859,25732065,25840117,25904361,25995041,25998630,26133479,26189819,26277116,26504517,26719774,26818456,27049391,27084939,27113186,27259807,27354556,27493588,27540173,27807468,28129195,28448553,28481528,28606104,28617955,28644833,28902397,28915238,29182600,29391424,29425804,29461473,30128778,30268942,30351302,30353151,30378067,30397019,30689846,30785900,30802849,30815174,31156330,31231133,31283476,31288178,31358873,31428126,31467361,31557529,31613926,31645567,32053108,32071310,32398644,32641758,32737307,32823270,32887922,33110087,33134750,33146890,33323106,34080630,34462444,34561691,34664389,34692956,36417228"
genbank,82,82,6,both,"21474551,21633941,21718467,21781297,21920474,22139910,22140215,22221866,22536971,22737589,22923302,22994154,23193287,23203889,23226495,23256920,23275735,23667475,23768135,24047532,24198709,24237904,24478338,24581802,24773765,25118601,25244735,25355642,25398905,25414350,25685613,25923813,25926546,26072502,26094768,26264559,26463180,27103629,27867804,27899561,28040837,28365737,28437135,28624643,29190397,29220466,29267311,29320804,29526484,29564396,29649581,29727060,29876460,29944056,29970001,30084847,30150867,30152809,30395293,30412219,30669991,30799499,31035936,31346170,31599058,31602479,31636175,32028177,32047649,32230528,32398145,32405169,32620910,33049043,33152092,33166387,33196830,33401773,34061026,34384346,34489462,34627149"
tcga,79,79,10,both,"22629346,22941959,23418540,23893318,24071849,24124232,24467687,24667251,24871328,24913605,25332392,25392415,25398898,25691825,25873244,25884877,25936886,25937882,26110064,26208906,26262133,26317392,26375999,26549805,26852330,26860878,27008012,27035433,27381624,27530686,27645405,27799277,28049410,28164152,28269909,28579401,29145625,29186503,29288495,29382910,29617658,29617727,29625045,29625055,29699486,30662451,30675185,30819096,31114869,31132991,31165883,31208324,31275557,31308241,31416843,31617563,31797616,31820804,32386297,32436932,32561748,32597311,32859146,33019182,33119407,33193699,33289511,33382980,33391340,33517897,33606253,33778495,34034645,34210067,34276764,34380547,34512714,34561023,34715518"
the cancer genome atlas,76,76,0,spacy,"22629346,22941959,23231990,23826350,23893318,24071849,24071850,24124232,24467687,24667251,24871328,24913605,25392415,25691825,25819073,25873244,25936886,25937882,26110064,26146492,26208906,26375999,26852330,26860878,26912804,27008012,27381624,27530686,27669160,27982081,28049410,28109319,28242753,29092928,29092953,29186503,29288495,29336210,29337373,29382910,29617658,29617727,29625045,29625055,29699486,29939219,30042785,30552315,30652568,30659409,30662451,30819096,31015229,31114869,31308241,31416843,31432762,31765387,31797616,32561748,32597311,33119407,33151298,33193699,33382980,33391340,33606253,33743584,33778495,34034645,34045472,34048545,34210067,34245122,34380547,34512714"
ensembl,75,75,7,both,"21063943,21278190,21633941,21715389,21737420,21751369,21785142,21980353,22039153,22086963,22135297,22730454,22941959,22955987,23028496,23197657,23203987,23230445,23252913,23658777,23865691,24089456,24217909,24234439,24316576,24626529,24717071,25307260,25332396,25764973,26084703,26094768,26187010,26229585,26476449,26519403,26553803,26578574,26578585,27098042,27141089,27185890,27472010,27557774,27574198,27736745,27896724,27899596,28053161,28651575,28830358,29092050,29126148,29140524,29165610,29722874,29761458,29761462,29761467,30152809,30293062,30335154,30395211,30576484,31598706,31787936,32703790,32775582,32831172,32967423,33221922,33270111,33676929,33995484,34174938"
uniprotkb,65,65,15,both,"21082430,21622657,22139911,22782549,22848383,22956109,23093603,23161676,23193299,23205526,23230445,23514411,23627461,24088582,24201223,24244550,24288371,24302577,24667251,24792157,24848695,25211293,25233094,25307260,25313161,25324316,25500185,25653249,25819073,25977788,26088053,26220461,26255309,26519399,26578585,26615188,26896845,27153729,27899649,28025334,28096900,28158609,28159896,28207819,28545254,29023571,29106569,29605928,29761462,30064374,30371819,30398656,30585742,31618524,31697362,31913298,31944606,32367111,32462577,32716361,33206958,33930134,34411258,34437766,34627387"
prokaryotes,58,58,0,spacy,"21366926,21559461,21674231,22121212,22417913,23417799,23519487,23599422,23613683,23727957,24175918,24369854,24822057,24828789,25355515,25398905,25841437,25873935,26376976,26488482,26490957,26553804,26563467,27185890,27214907,27227549,27342282,28628218,28985502,29329409,30014593,30543627,30753697,30835791,30845912,31249101,31286860,31294057,31506471,31620779,31863076,32006104,32213253,32284610,32472030,32690973,32727974,32737307,33042102,33095861,33117966,33196830,33306800,33537706,34133710,34155373,34523988,34677568"
