entity_name,total_papers,spacy_papers,v2_papers,source,pmids
kegg,348,348,17,both,"21177657,21245031,21245051,21253872,21283776,21364759,21385030,21401935,21441347,21478194,21498403,21523460,21546552,21602921,21609420,21633941,21685093,21685098,21700675,21714896,21715386,21718467,21749710,21762488,21791068,21824409,21904425,21933848,21952610,21982513,21984760,22002696,22046267,22067443,22070889,22080510,22096236,22098204,22102589,22102771,22123737,22126435,22130871,22135418,22139914,22140115,22144685,22166047,22233419,22285826,22397686,22439011,22493539,22495752,22533924,22558086,22591066,22610856,22700311,22712730,22713124,22720753,22735708,22735743,22736259,22741533,22759918,22760305,22800180,22857267,22879875,22923303,23019219,23025710,23028852,23046449,23129220,23175606,23185330,23192552,23193276,23193296,23282057,23292739,23293959,23308364,23314755,23324169,23330685,23346221,23375020,23452239,23530693,23555215,23613707,23658416,23692364,23717556,23766290,23778453,23800136,23819467,23846595,23874618,23875761,23889801,23936076,23956306,23991755,24016071,24064416,24149052,24163125,24177720,24178989,24180668,24214961,24214962,24218215,24279809,24280345,24302289,24316579,24320595,24444128,24499703,24618044,24651476,24813212,24838565,24899069,24939193,24949626,24953454,24957044,24962434,24987669,25190456,25260589,25332395,25347823,25367050,25378310,25465051,25541727,25591449,25604238,25708775,25712693,25879163,25887214,25889708,25907774,25935546,25974630,25977294,26053019,26094768,26130661,26134183,26169172,26204518,26209309,26220682,26322066,26322134,26363020,26400040,26476454,26511329,26519400,26527717,26546514,26547981,26561344,26578601,26582926,26582928,26585406,26614125,26695483,26727469,26746174,26776205,26822098,26852673,26925206,26980516,27045824,27091357,27151197,27230105,27252213,27318307,27404214,27473391,27485441,27530928,27587660,27587678,27673730,27714042,27742820,27742822,27793108,27801297,27866912,27899662,27977166,28155707,28172447,28204845,28238542,28327601,28336542,28338930,28365733,28420402,28451977,28511181,28595657,28708831,28768481,28812536,28961716,28968630,29036667,29049295,29077809,29106664,29166858,29186340,29211807,29426939,29470400,29547800,29554099,29590301,29660498,29699484,29718114,29718427,29745830,29761469,29762640,29764375,29800320,29850816,29868062,30030815,30053238,30096176,30115014,30124768,30191166,30202061,30219840,30228802,30278585,30321400,30321428,30335785,30349509,30357356,30428831,30476243,30567498,30614735,30626175,30649247,30668638,30701323,30837356,30862804,30893420,30910961,31096089,31130993,31307376,31333719,31423653,31441146,31506471,31648227,31657800,31665439,31665454,31695723,31742321,31779604,31882993,31885041,31887789,31923512,31937236,31953307,31971327,31990579,32117445,32221612,32228437,32349124,32369596,32420879,32421310,32451429,32473013,32499815,32551569,32614575,32620074,32632821,32715085,32879224,32895427,33008309,33070442,33095861,33125081,33259604,33320930,33373364,33381822,33396976,33407081,33408850,33506264,33519912,33577575,33584804,33631433,33633781,33816940,34037798,34111608,34147352,34183042,34305880,34384382,34408730,34527188,34530727,34580179,34656056,34681040,34716373,34774049,34928054"
pdb,321,320,14,both,"21082426,21177655,21255607,21296751,21349870,21398668,21414989,21460450,21472436,21590420,21622657,21633941,21636590,21698189,21711533,21769189,21956744,21976737,22009674,22034521,22053089,22084200,22096233,22102572,22102591,22127861,22135290,22135305,22139937,22139939,22268964,22355226,22437851,22449400,22505803,22529851,22600737,22611129,22638586,22661649,22685160,22689068,22693223,22759425,22800569,22827839,22833525,22942020,22969036,23087378,23091487,23104379,23180575,23185330,23193259,23196990,23203869,23256889,23259794,23275735,23424109,23633580,23680785,23703210,23715893,23737450,23758891,23819482,23896518,23929030,23941661,23970545,23982150,24005040,24130308,24178989,24243844,24253302,24271397,24289158,24291661,24304899,24319143,24475173,24489849,24573477,24581802,24669769,24763918,24857970,24990767,24991975,25048123,25118648,25183487,25258493,25300483,25301850,25324316,25326082,25329307,25355688,25361972,25378330,25392411,25392415,25392418,25399423,25414345,25425036,25428375,25488330,25540181,25547242,25559128,25636267,25656309,25670880,25728793,25848172,25883148,25897329,25910698,25917548,25925569,26010663,26013810,26026167,26092861,26094768,26131021,26141454,26160459,26187044,26227548,26253947,26317409,26336137,26476444,26481362,26517951,26555596,26578568,26582920,26615193,26656949,26745458,26810894,26827237,26840827,26873783,26908025,26949480,26980515,27001666,27043825,27075512,27087309,27125735,27131383,27153640,27172383,27242032,27273290,27284084,27319297,27493549,27509041,27522608,27530928,27565795,27572735,27589215,27597167,27603019,27749924,27789697,27794042,27794554,27841751,27870245,27899574,27899675,27905517,27928059,27984824,28031034,28193156,28203707,28206754,28296894,28381244,28451973,28453653,28472330,28482028,28498994,28573593,28685932,28812536,28891124,28968795,28968848,29040693,29067736,29077942,29078314,29106569,29136215,29155427,29161266,29168245,29244774,29297283,29308120,29331638,29335563,29520288,29533231,29548284,29659718,29699484,29718100,29718130,29718468,29745830,29788317,29897235,29982280,30052959,30127348,30354114,30357405,30371822,30398663,30418645,30423083,30445541,30499394,30500919,30508159,30582634,30665056,30668479,30689843,30689864,30714210,30783007,30873531,30943284,31032840,31062021,31117939,31236561,31239187,31261733,31263870,31286135,31318422,31396911,31412589,31560649,31584078,31584092,31593887,31598690,31648227,31691821,31702846,31724231,31724711,31738385,31793899,31841142,31863748,31869345,31870277,32006287,32297936,32337573,32404014,32418327,32427333,32508104,32558264,32611389,32678893,32776019,32805021,32857502,33135044,33167031,33196841,33216893,33237313,33289894,33313778,33396976,33404523,33502860,33830752,33932974,33961119,34015821,34019657,34036130,34039967,34104357,34112240,34240464,34244700,34260689,34301175,34303324,34445259,34604832,34627149,34663179,34732566,34739839,34908533"
uniprot,278,278,21,both,"21063943,21082430,21216786,21253872,21300622,21310745,21447597,21546552,21569281,21605354,21646335,21707958,21712192,21757464,21785143,21940779,21982513,21993301,22053087,22067098,22075996,22102581,22102589,22102590,22110036,22123736,22127870,22135297,22139914,22144685,22199232,22210871,22310480,22434837,22496884,22533924,22544604,22555647,22638578,22702658,22737123,22737589,22821596,22827839,22833525,22859749,22923302,22945787,22962482,23028496,23091487,23126227,23161681,23175606,23178820,23180791,23193256,23193296,23203869,23203986,23230445,23327938,23424109,23536820,23537399,23613707,23667450,23734176,23766369,23815411,23828785,23945046,23958731,24064416,24065691,24088582,24143170,24174544,24201223,24234439,24253302,24253303,24270792,24288371,24316579,24319146,24330193,24453961,24508333,24533037,24581802,24584870,24586563,24825613,24829452,24857970,24890864,24911789,24957044,25052702,25122463,25212755,25233094,25300481,25307260,25313161,25326082,25348399,25348405,25361972,25378336,25393771,25414324,25414345,25428351,25429972,25465051,25656309,25685613,25712690,25725059,25765346,25789152,25794277,25845596,25888481,25900361,25921073,25925572,25931458,25935546,26088053,26092861,26187044,26284514,26316313,26438538,26455268,26519399,26582918,26586801,26673716,26743509,26873783,26896845,26980520,26989148,27010673,27045824,27052996,27087309,27153729,27284084,27296299,27380722,27472010,27736745,27749924,27894340,27899574,27899622,27902695,27903894,27905517,27910954,27984824,28025334,28150232,28158609,28159896,28334741,28365736,28365737,28381244,28383659,28573593,28651575,28708831,28881966,28968795,29023571,29036616,29036719,29040681,29040693,29098713,29136215,29220476,29472600,29490010,29529024,29745830,29761469,29788290,29931246,29947803,30053269,30092360,30096176,30219840,30272209,30329070,30371819,30380112,30395283,30395287,30395289,30400856,30407590,30445541,30481282,30574164,30576490,30624648,30698741,30873536,30943284,31032837,31040227,31091262,31130983,31173061,31192369,31236561,31333719,31504173,31581775,31602464,31606900,31629694,31665454,31688925,31701143,31738435,31741225,31843688,31944606,32076423,32183712,32337573,32367111,32399560,32469073,32470107,32579606,32611314,32941621,32967423,32998977,33054771,33068406,33104802,33119734,33174598,33176685,33196841,33212503,33237286,33237313,33310018,33445429,33482803,33502607,33539887,33677561,33724838,33816940,33995920,34023895,34081107,34270056,34352070,34688246,34783553,34871295,34895309,36119373,36700097"
tcga,215,215,15,both,"21845230,21930502,22629346,22941959,23109555,23219992,23418540,23595662,23893318,24071849,24124232,24467687,24667251,24813212,24871328,24913605,25010047,25196204,25267794,25332392,25392408,25392415,25394492,25398898,25398901,25592564,25637560,25691825,25703262,25841438,25873244,25884877,25936886,25937882,25971740,25984700,26110064,26169172,26208906,26233958,26262133,26272984,26317392,26375999,26507825,26549805,26586806,26602693,26635391,26699225,26699919,26773058,26787663,26852330,26860878,26958160,26967326,27008012,27035433,27130330,27381624,27530686,27531214,27549193,27645405,27797769,27799277,27868129,27899563,27910033,28049410,28164152,28245795,28269909,28334366,28369222,28407145,28415609,28453687,28522612,28549078,28579401,28651562,28732212,29036324,29036590,29059374,29077939,29092931,29099951,29126202,29136207,29145625,29186503,29288495,29382254,29382910,29605850,29617658,29617727,29625045,29625055,29699486,29848362,29931238,29950003,29993641,30052770,30089500,30101316,30223042,30266410,30329022,30335161,30400818,30407534,30407583,30423087,30476305,30522456,30561551,30662451,30675185,30773592,30779739,30813377,30819096,30872259,30903160,31114869,31114875,31132991,31155677,31165883,31208324,31275557,31308241,31410488,31416843,31511885,31598709,31617563,31642488,31666118,31680157,31713618,31735953,31769783,31797616,31805986,31811943,31820804,31834359,31847917,31848596,31873725,31888480,31917401,31998366,32122231,32360910,32369552,32386297,32436932,32449936,32487193,32561748,32591816,32597311,32649057,32681912,32746900,32750074,32765587,32859146,33010176,33019182,33059369,33119407,33137091,33179738,33193699,33270889,33289511,33299129,33330918,33381822,33382980,33391340,33517897,33519912,33606253,33619257,33705981,33729437,33778495,33858332,34034645,34113986,34117863,34122523,34185062,34210067,34229612,34276764,34321100,34375392,34380547,34512714,34561023,34589189,34700680,34715518,34814330,34819397"
the cancer genome atlas,184,184,0,spacy,"21930502,22629346,22941959,23109555,23219992,23231990,23595662,23826350,23884480,23893318,24071849,24071850,24124232,24205039,24319001,24467687,24489370,24667251,24871328,24913605,24919878,25010047,25392415,25394492,25398901,25637560,25691825,25703262,25819073,25841438,25873244,25936886,25937882,25971740,26110064,26146492,26169172,26208906,26272984,26375999,26377073,26507825,26590405,26635391,26699225,26699919,26773058,26852330,26860878,26912804,26958160,27008012,27130330,27185889,27231484,27381624,27530686,27549193,27669160,27797769,27899563,27982081,28049410,28105316,28109319,28242753,28245795,28453687,28732212,28961917,29028907,29036324,29036590,29092928,29092929,29092931,29092939,29092953,29099951,29126202,29136180,29136207,29186503,29288495,29309507,29336210,29337373,29382254,29382910,29433427,29512401,29605850,29617658,29617727,29625045,29625055,29699486,29939219,29950003,30042785,30059974,30089500,30154154,30203047,30223042,30266410,30329022,30329095,30367574,30407583,30497361,30552315,30561551,30652568,30659409,30662451,30773592,30779739,30813377,30819096,30872259,31002564,31015229,31114869,31262303,31308241,31368353,31392309,31410488,31416843,31432762,31511885,31598709,31642488,31666118,31691824,31735953,31765387,31797616,31805986,31811943,31834359,31847917,31848596,31888480,32122231,32392295,32487193,32561748,32576192,32597311,32618995,33119407,33137091,33151298,33179738,33193699,33299129,33330918,33382980,33391340,33514395,33606253,33705981,33729437,33743584,33778495,33858332,34034645,34045472,34048545,34122523,34210067,34245122,34260718,34296749,34316695,34321100,34375392,34380547,34464437,34512714,34589189,34700680"
ensembl,169,169,17,both,"21063943,21278190,21596783,21633941,21697123,21715389,21737420,21751369,21785142,21854555,21980353,22039153,22067444,22067447,22075990,22086963,22135297,22219203,22257667,22345505,22544604,22730454,22941959,22945789,22955987,22965133,23028496,23197657,23203987,23230445,23252913,23658777,23812996,23865691,23872200,24089456,24163254,24178989,24217909,24225318,24234439,24270792,24285300,24285305,24316576,24608034,24626529,24717071,24723423,24917120,25161242,25300481,25307260,25332396,25352552,25414340,25414345,25432969,25764973,25789152,25845596,25881165,25887485,26020645,26084703,26094768,26187010,26229585,26405458,26476449,26519403,26553803,26578574,26578585,26635364,26888907,26896847,26980512,27098042,27141089,27153597,27185890,27337980,27472010,27513924,27557774,27574198,27736745,27896724,27899586,27899596,27903894,27910033,27924024,27987162,28053161,28149059,28365736,28572580,28577791,28605766,28605774,28651575,28830358,29040681,29069475,29091996,29092050,29126148,29140524,29155950,29165610,29169277,29316735,29722874,29761458,29761462,29761467,30152809,30293062,30321303,30335154,30357393,30395211,30395283,30395289,30407521,30445541,30576484,30624648,30626175,30689724,30768152,30886642,30945202,30999860,31161195,31210271,31353404,31598706,31665499,31691826,31787936,31871587,31882993,31906604,32508008,32703790,32766766,32775582,32831172,32926138,32934277,32967423,33104802,33137190,33176685,33179748,33221922,33270111,33270643,33396976,33581338,33676929,33813885,33872372,33995484,34174938,34538772"
genbank,167,167,10,both,"21177655,21339531,21474551,21544197,21569281,21622663,21633941,21672955,21718467,21781297,21851592,21880703,21914464,21920474,21961731,22080509,22120664,22139910,22140104,22140215,22221866,22536971,22554190,22558086,22737589,22778902,22802394,22827839,22923302,22945945,22970114,22994154,23028445,23192551,23193264,23193267,23193287,23203889,23226495,23256920,23275735,23412913,23452691,23667475,23696374,23737449,23768135,23800136,23826173,23872200,24040164,24047532,24198709,24237904,24244913,24259429,24478338,24502833,24581802,24767513,24773765,24990605,25118601,25228593,25244735,25355642,25398905,25398906,25414350,25685613,25887214,25923813,25925571,25926546,26042145,26072502,26094768,26264559,26450949,26463180,26615191,26678286,27103629,27153674,27867804,27899561,27899678,27910033,28040837,28077566,28187133,28365737,28437135,28486635,28624643,28651548,28865429,28888135,28986915,29069347,29140470,29167738,29190397,29220466,29228171,29240889,29267311,29308007,29320804,29474519,29526484,29564396,29649581,29688360,29727060,29842948,29876460,29899596,29944056,29970001,30084847,30150867,30152809,30219840,30395293,30412219,30669991,30674273,30799499,31029701,31035936,31056509,31346170,31599058,31602479,31636175,32028177,32047649,32230528,32349659,32398145,32405169,32422927,32448124,32620910,32683454,32691361,32792559,32941621,33031509,33045721,33049043,33095870,33119759,33152092,33162997,33166387,33196830,33401773,34061026,34068790,34384346,34406385,34489462,34585726,34627149,34748542"
a large-scale,163,163,0,spacy,"21375730,21622657,21736759,21737439,21831299,21895812,21948594,21992002,21998154,22135290,22174272,22559876,22682155,22689645,22702658,22726705,22736259,22748121,22856375,22901543,22962472,23203872,23208789,23299413,23497729,23570835,23613707,23740839,23768135,23772554,23774715,23828786,23828837,23962616,23981286,24143170,24225386,24267918,24324716,24336805,24457510,24635915,24649511,24742296,24890864,25262355,25277758,25313160,25324859,25521965,25630311,25732065,25840117,25904361,25995041,25998630,26133479,26189819,26277116,26504517,26582922,26719774,26818456,26982336,27049391,27084939,27084943,27113186,27127885,27259807,27279488,27354556,27402679,27493588,27540173,27560970,27650402,27807468,27893392,27894340,28004786,28108657,28129195,28448553,28481528,28591841,28606104,28617955,28640810,28644833,28902397,28915238,29126285,29182600,29237557,29296939,29320579,29391424,29396322,29425804,29426939,29461473,29854243,29934697,30052772,30128778,30266409,30268942,30296227,30351302,30353151,30357342,30364951,30378067,30379882,30397019,30424756,30601935,30689846,30785900,30802849,30815174,31156330,31159731,31231133,31274982,31283476,31288178,31358873,31428126,31467361,31557529,31558550,31613926,31645567,31665499,31701147,31724722,31857203,32053108,32071310,32079733,32195587,32398644,32641758,32737307,32823270,32887922,33110087,33119753,33134750,33146890,33179754,33323106,33576798,33941085,34080630,34462444,34507528,34561691,34664389,34692956,36417228"
uniprotkb,152,152,30,both,"21082430,21447597,21556138,21622657,22080550,22102589,22123736,22127870,22139911,22247277,22434837,22467909,22536960,22544604,22782549,22848383,22956109,22962482,23066107,23093603,23161676,23193256,23193261,23193299,23205526,23230445,23327938,23514411,23517090,23618375,23627461,23864220,23958731,24088582,24143170,24201223,24234447,24244550,24270789,24288371,24302577,24319146,24336809,24667251,24705205,24705206,24790154,24792157,24848695,25122463,25196432,25211293,25233094,25307260,25313161,25324309,25324316,25348399,25378336,25385275,25500185,25522231,25653249,25765346,25819073,25911152,25977788,25987568,26088053,26139634,26220461,26255309,26464438,26519399,26578555,26578568,26578585,26615188,26673716,26896845,27087306,27114493,27153729,27574780,27789699,27899574,27899649,27899672,27910033,28025334,28096900,28158609,28159896,28207819,28334741,28383659,28453653,28454901,28545254,28784999,28982288,29023571,29069475,29098713,29106569,29220476,29605928,29699484,29761462,29762640,30064374,30152276,30272209,30371819,30398656,30445541,30445555,30462190,30585742,30626175,30657872,30887928,31081335,31093654,31094220,31584092,31618524,31688925,31697362,31733063,31843688,31913298,31944606,32034905,32367111,32399560,32462577,32508104,32716361,32934277,33136065,33206958,33216895,33237286,33442735,33445429,33724838,33894373,33930134,34411258,34437766,34627387"
pfam,135,135,6,both,"21082426,21498403,21593126,21622656,21622657,21757464,21785143,21873637,22053084,22067443,22096236,22127870,22144685,22174272,22434837,22467916,22536960,22548871,22736259,22741533,22942020,23180792,23203869,23203984,23283513,23324169,23514411,23618375,23734176,23819467,23837716,24028389,24065691,24178989,24270792,24271397,24288371,24297255,24316579,24467778,24581802,24632601,24931138,25161256,25262355,25306399,25348214,25348407,25356683,25361972,25630330,25789152,25845596,25880930,25889708,25900361,25911153,25964299,25976240,26228684,26561344,26582926,26673716,26727469,26740669,26854601,26892257,26980516,26980519,27115632,27153675,27473391,27490490,27552220,27742820,27742822,27894340,27899574,27899671,27903896,28112271,28185571,28193156,28386247,28423505,28456806,28545394,28592293,28814324,28970546,29032233,29069412,29220461,29293498,29359269,29659718,29699476,29699484,30010777,30115014,30239681,30241466,30295749,30357350,30364992,30418645,30445541,30500919,30626175,30796988,30908487,30943284,31116477,31606900,31665454,31793899,31856718,31923512,32003788,32499815,33125078,33237313,33396976,33407081,33616668,33641184,33711918,33985559,33995920,34023906,34081107,34081399,34521345,34627387,34895309"
