pmid,title,primary_entity_short,category,reason
"27153631, 29186503",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.,,pipeline,Pipeline/workflow tool that uses resources as input
"23088274, 26268340",Computational tools and resources for metabolism-related property predictions. 2. Application to prediction of half-life time in human liver microsomes.,,prediction,Prediction/classification method applied to resource data
"23180763, 25392407, 31740968",The Standard European Vector Architecture (SEVA): a coherent platform for the analysis and deployment of complex prokaryotic phenotypes.,seva,platform,Analysis platform that uses resources
28499008,RiPPMiner: a bioinformatics resource for deciphering chemical structures of RiPPs based on prediction of cleavage and cross-links.,,prediction,Prediction/classification method applied to resource data
23497159,Promzea: a pipeline for discovery of co-regulatory motifs in maize and other plant species and its application to the anthocyanin and phlobaphene biosynthetic pathways and the Maize Development Atlas.,,pipeline,Pipeline/workflow tool that uses resources as input
26635364,Wasabi: An Integrated Platform for Evolutionary Sequence Analysis and Data Visualization.,wasabi,integration,Data integration platform combining multiple resources
27519173,ISOexpresso: a web-based platform for isoform-level expression analysis in human cancer.,,web_tool,Web-based tool for analyzing resource data
30131825,"MARVEL, a Tool for Prediction of Bacteriophage Sequences in Metagenomic Bins.",marvel,prediction,Prediction/classification method applied to resource data
22913485,NetiNeti: discovery of scientific names from text using machine learning methods.,,ml,Machine learning method that uses resource data
32639154,DUBS: A Framework for Developing &lt;u&gt;D&lt;/u&gt;irectory of &lt;u&gt;U&lt;/u&gt;seful &lt;u&gt;B&lt;/u&gt;enchmarking &lt;u&gt;S&lt;/u&gt;ets for Virtual Screening.,dubs,pipeline,Pipeline/workflow tool that uses resources as input
33372147,DeepTFactor: A deep learning-based tool for the prediction of transcription factors.,,prediction,Prediction/classification method applied to resource data
31443733,Variant Interpretation for Cancer (VIC): a computational tool for assessing clinical impacts of somatic variants.,vic,computational,Computational method applied to resource data
"31218353, 32938368",DeepMito: accurate prediction of protein sub-mitochondrial localization using convolutional neural networks.,,prediction,Prediction/classification method applied to resource data
23051646,CloudMap: a cloud-based pipeline for analysis of mutant genome sequences.,,pipeline,Pipeline/workflow tool that uses resources as input
30999845,GenHap: a novel computational method based on genetic algorithms for haplotype assembly.,genhap,computational,Computational method applied to resource data
30241466,ECPred: a tool for the prediction of the enzymatic functions of protein sequences based on the EC nomenclature.,ecpred,prediction,Prediction/classification method applied to resource data
28402545,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,orio,web_tool,Web-based tool for analyzing resource data
32112578,FiRES: A computational method for the de novo identification of internal structure similarity in proteins.,fires,computational,Computational method applied to resource data
33430993,kGCN: a graph-based deep learning framework for chemical structures.,kgcn,pipeline,Pipeline/workflow tool that uses resources as input
25867189,"T346Hunter: a novel web-based tool for the prediction of type III, type IV and type VI secretion systems in bacterial genomes.",,prediction,Prediction/classification method applied to resource data
"23193293, 29121237",Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,,integration,Data integration platform combining multiple resources
21599929,CLOTU: an online pipeline for processing and clustering of 454 amplicon reads into OTUs followed by taxonomic annotation.,clotu,pipeline,Pipeline/workflow tool that uses resources as input
24404173,ClassyFlu: classification of influenza A viruses with Discriminatively trained profile-HMMs.,,prediction,Prediction/classification method applied to resource data
29178837,VISPA2: a scalable pipeline for high-throughput identification and annotation of vector integration sites.,vispa2,pipeline,Pipeline/workflow tool that uses resources as input
28789639,CIPHER: a flexible and extensive workflow platform for integrative next-generation sequencing data analysis and genomic regulatory element prediction.,cipher,platform,Analysis platform that uses resources
25378307,DEEP: a general computational framework for predicting enhancers.,deep,pipeline,Pipeline/workflow tool that uses resources as input
30054214,The DrugPattern tool for drug set enrichment analysis and its prediction for beneficial effects of oxLDL on type 2 diabetes.,,prediction,Prediction/classification method applied to resource data
30815667,CAFU: a Galaxy framework for exploring unmapped RNA-Seq data.,cafu,pipeline,Pipeline/workflow tool that uses resources as input
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,spfy,prediction,Prediction/classification method applied to resource data
26561344,COGNIZER: A Framework for Functional Annotation of Metagenomic Datasets.,cognizer,pipeline,Pipeline/workflow tool that uses resources as input
31086982,multiPhATE: bioinformatics pipeline for functional annotation of phage isolates.,,pipeline,Pipeline/workflow tool that uses resources as input
24555844,PathNER: a tool for systematic identification of biological pathway mentions in the literature.,,systematic,Systematic analysis using resource data
22480273,Tav4SB: integrating tools for analysis of kinetic models of biological systems.,tav4sb,integration,Data integration platform combining multiple resources
32035227,DeepCPI: A Deep Learning-based Framework for Large-scale in silico Drug Screening.,,pipeline,Pipeline/workflow tool that uses resources as input
22219203,PASSion: a pattern growth algorithm-based pipeline for splice junction detection in paired-end RNA-Seq data.,,pipeline,Pipeline/workflow tool that uses resources as input
25637560,Omics Pipe: a community-based framework for reproducible multi-omics data analysis.,,pipeline,Pipeline/workflow tool that uses resources as input
27174940,"PASMet: a web-based platform for prediction, modelling and analyses of metabolic systems.",pasmet,web_tool,Web-based tool for analyzing resource data
