pmid,title,primary_entity_short,primary_entity_long,setfit_confidence,matched_categories,num_categories
"27794045, 33211864, 30407557",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.,fantom,,0.6847962,analysis_studies,1
"23175610, 24285300, 26150326, 26578600","The mouse genome database: genotypes, phenotypes, and models of human disease.",,mouse genome database,0.72216815,clinical_disease,1
"30052798, 30052798",zfRegeneration: a database for gene expression profiling during regeneration.,,zfregeneration,0.71913934,analysis_studies,1
"21948793, 26578601, 29140520",Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.,,therapeutic target database,0.64720863,drug_compound,1
"24574175, 25159016, 26227301, 25407602, 26351202",Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.,,proteomexchange,0.698694,gene_function,1
"23088274, 26268340",Computational tools and resources for metabolism-related property predictions. 2. Application to prediction of half-life time in human liver microsomes.,,,0.6356123,clinical_disease,1
"23161693, 29140435",HMDB 3.0--The Human Metabolome Database in 2013.,hmdb,,0.7043897,analysis_studies,1
"22013161, 24304894, 26673713, 30496479, 33219674",canSAR: an integrated cancer public translational research and drug discovery resource.,cansar,,,"clinical_disease, drug_compound",2
28732212,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses.,ualcan,,,clinical_disease,1
31620162,MPIC: Molecular Prognostic Indicators in Cirrhosis Database for Clinical Context-Specific &lt;i&gt;in Silico&lt;/i&gt; Prognostic Biomarker Validation.,mpic,,0.7041624,clinical_disease,1
25539768,DCDB 2.0: a major update of the drug combination database.,dcdb,,0.65694696,drug_compound,1
28577791,PlanTEnrichment: A tool for enrichment analysis of transposable elements in plants.,,plantenrichment,,analysis_studies,1
31847917,FIREVAT: finding reliable variants without artifacts in human cancer samples using etiologically relevant mutational signatures.,firevat,,,clinical_disease,1
25706687,PathVisio 3: an extendable pathway analysis toolbox.,,pathvisio,,pathway_mechanism,1
23497159,Promzea: a pipeline for discovery of co-regulatory motifs in maize and other plant species and its application to the anthocyanin and phlobaphene biosynthetic pathways and the Maize Development Atlas.,,promzea,,"species_specific, discovery_findings",2
32090262,dbPepNeo: a manually curated database for human tumor neoantigen peptides.,,dbpepneo,0.66555095,clinical_disease,1
32778891,MolAICal: a soft tool for 3D drug design of protein targets by artificial intelligence and classical algorithm.,,molaical,0.7142659,drug_compound,1
34174938,"Advancing clinical genomics and precision medicine with GVViZ: FAIR bioinformatics platform for variable gene-disease annotation, visualization, and expression analysis.",gvviz,,0.70660824,clinical_disease,1
29382910,Lnc2Catlas: an atlas of long noncoding RNAs associated with risk of cancers.,,lnc2catlas,0.6977228,clinical_disease,1
24910945,MOPED 2.5--an integrated multi-omics resource: multi-omics profiling expression database now includes transcriptomics data.,moped,,0.7215223,analysis_studies,1
33324449,Web-Based Genome Analysis of Bacterial Meningitis Pathogens for Public Health Applications Using the Bacterial Meningitis Genomic Analysis Platform (BMGAP).,bmgap,,,analysis_studies,1
34147079,ORFik: a comprehensive R toolkit for the analysis of translation.,orfik,,,analysis_studies,1
33067342,OpenPepXL: An Open-Source Tool for Sensitive Identification of Cross-Linked Peptides in XL-MS.,,openpepxl,,gene_function,1
26042145,FAST: FAST Analysis of Sequences Toolbox.,fast,,,analysis_studies,1
30535139,AStrap: identification of alternative splicing from transcript sequences without a reference genome.,astrap,,,gene_function,1
26016777,SeqGL Identifies Context-Dependent Binding Signals in Genome-Wide Regulatory Element Maps.,seqgl,,,"analysis_studies, discovery_findings",2
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,yagm,,,species_specific,1
26423722,DMAP: a connectivity map database to enable identification of novel drug repositioning candidates.,dmap,,,"gene_function, drug_compound",2
27716338,Rational design of cancer gene panels with OncoPaD.,,oncopad,,clinical_disease,1
34188160,NOD: a web server to predict New use of Old Drugs to facilitate drug repurposing.,nod,,,drug_compound,1
27519173,ISOexpresso: a web-based platform for isoform-level expression analysis in human cancer.,,isoexpresso,,clinical_disease,1
31074377,ODAE: Ontology-based systematic representation and analysis of drug adverse events and its usage in study of adverse events given different patient age and disease conditions.,odae,,0.7049005,"clinical_disease, analysis_studies, drug_compound",3
25114903,miRSeq: a user-friendly standalone toolkit for sequencing quality evaluation and miRNA profiling.,mirseq,,0.66864073,analysis_studies,1
30541431,VarGenius executes cohort-level DNA-seq variant calling and annotation and allows to manage the resulting data through a PostgreSQL database.,,vargenius,,variants_mutations,1
31666118,pTuneos: prioritizing tumor neoantigens from next-generation sequencing data.,,ptuneos,,clinical_disease,1
25647319,PON-P2: prediction method for fast and reliable identification of harmful variants.,pon-p2,,,gene_function,1
31664892,RACS: rapid analysis of ChIP-Seq data for contig based genomes.,racs,,,analysis_studies,1
34194678,WADDAICA: A webserver for aiding protein drug design by artificial intelligence and classical algorithm.,waddaica,,,drug_compound,1
29762724,"AAI-profiler: fast proteome-wide exploratory analysis reveals taxonomic identity, misclassification and contamination.",,aai-profiler,,"analysis_studies, discovery_findings",2
34038408,PRER: A patient representation with pairwise relative expression of proteins on biological networks.,prer,,0.70279443,gene_function,1
28274758,GFD-Net: A novel semantic similarity methodology for the analysis of gene networks.,,gfd-net,,analysis_studies,1
22913485,NetiNeti: discovery of scientific names from text using machine learning methods.,,netineti,,discovery_findings,1
22761559,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,,proteinhistorian,,analysis_studies,1
21496247,CDAO-store: ontology-driven data integration for phylogenetic analysis.,,cdao-store,,analysis_studies,1
32611389,Proteus: An algorithm for proposing stabilizing mutation pairs based on interactions observed in known protein 3D structures.,,proteus,,variants_mutations,1
31443733,Variant Interpretation for Cancer (VIC): a computational tool for assessing clinical impacts of somatic variants.,vic,,,"clinical_disease, variants_mutations",2
31427293,Validating the AMRFinder Tool and Resistance Gene Database by Using Antimicrobial Resistance Genotype-Phenotype Correlations in a Collection of Isolates.,,amrfinder,,variants_mutations,1
21982513,Snat: a SNP annotation tool for bovine by integrating various sources of genomic information.,snat,,0.7140945,variants_mutations,1
31796060,Text-mining clinically relevant cancer biomarkers for curation into the CIViC database.,civic,,,clinical_disease,1
23051646,CloudMap: a cloud-based pipeline for analysis of mutant genome sequences.,,cloudmap,,analysis_studies,1
28640810,LASSIM-A network inference toolbox for genome-wide mechanistic modeling.,lassim,,,analysis_studies,1
22465851,Enhancing a Pathway-Genome Database (PGDB) to capture subcellular localization of metabolites and enzymes: the nucleotide-sugar biosynthetic pathways of Populus trichocarpa.,pgdb,,0.7250424,pathway_mechanism,1
21898158,GazeAlyze: a MATLAB toolbox for the analysis of eye movement data.,,gazealyze,0.7200716,analysis_studies,1
26504853,FluKB: A Knowledge-Based System for Influenza Vaccine Target Discovery and Analysis of the Immunological Properties of Influenza Viruses.,flukb,,0.71143806,analysis_studies,1
32082281,FeGenie: A Comprehensive Tool for the Identification of Iron Genes and Iron Gene Neighborhoods in Genome and Metagenome Assemblies.,,fegenie,,gene_function,1
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,,refplantnlr,0.7123422,clinical_disease,1
30843052,PhenoPro: a novel toolkit for assisting in the diagnosis of Mendelian disease.,,phenopro,,clinical_disease,1
23116482,CooVar: co-occurring variant analyzer.,coovar,,,variants_mutations,1
29888066,CATCH-KB: Establishing a Pharmacogenomics Variant Repository for Chemotherapy-Induced Cardiotoxicity.,catch-kb,,0.6565752,variants_mutations,1
