pmid,title,primary_entity_short,matched_categories,pattern_count
34184738,DeepIPs: comprehensive assessment and computational identification of phosphorylation sites of SARS-CoV-2 infection using a deep learning-based approach.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration, using_phrases",5
21410990,AnyExpress: integrated toolkit for analysis of cross-platform gene expression data using a fast interval matching algorithm.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration, using_phrases",5
26015273,A statistical framework to predict functional non-coding regions in the human genome through integrated analysis of annotation data.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration, using_phrases",5
"23088274, 26268340",Computational tools and resources for metabolism-related property predictions. 2. Application to prediction of half-life time in human liver microsomes.,,"workflow_pipeline, computational_ml, using_phrases, validation_study",4
28529081,"SysFinder: A customized platform for search, comparison and assisted design of appropriate animal models based on systematic similarity.",,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
22230096,ProFASTA: a pipeline web server for fungal protein scanning with integration of cell surface prediction software.,,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
28789639,CIPHER: a flexible and extensive workflow platform for integrative next-generation sequencing data analysis and genomic regulatory element prediction.,cipher,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
30054214,The DrugPattern tool for drug set enrichment analysis and its prediction for beneficial effects of oxLDL on type 2 diabetes.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
34798231,WeBrain: A web-based brainformatics platform of computational ecosystem for EEG big data analysis.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
34484220,RAPID: A Rep-Seq Dataset Analysis Platform With an Integrated Antibody Database.,rapid,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
33660783,"iLearnPlus: a comprehensive and automated machine-learning platform for nucleic acid and protein sequence analysis, prediction and visualization.",,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
29947803,Quokka: a comprehensive tool for rapid and accurate prediction of kinase family-specific phosphorylation sites in the human proteome.,quokka,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
31067315,"iLearn: an integrated platform and meta-learner for feature engineering, machine-learning analysis and modeling of DNA, RNA and protein sequence data.",ilearn,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
24503186,"CoreFlow: a computational platform for integration, analysis and modeling of complex biological data.",,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
24953454,VANESA - a software application for the visualization and analysis of networks in system biology applications.,vanesa,"workflow_pipeline, comparison_benchmark, using_phrases, validation_study",4
32898474,SYLARAS: A Platform for the Statistical Analysis and Visual Display of Systemic Immunoprofiling Data and Its Application to Glioblastoma.,sylaras,"workflow_pipeline, comparison_benchmark, computational_ml, validation_study",4
23895370,Confero: an integrated contrast data and gene set platform for computational analysis and biological interpretation of omics data.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
29272359,"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches.",,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
31395072,MLMDA: a machine learning approach to predict and validate MicroRNA-disease associations by integrating of heterogenous information sources.,mlmda,"workflow_pipeline, computational_ml, data_integration, validation_study",4
21375730,"MIR@NT@N: a framework integrating transcription factors, microRNAs and their targets to identify sub-network motifs in a meta-regulation network model.",mir@nt@n,"workflow_pipeline, computational_ml, data_integration, using_phrases",4
28472340,"MiSTIC, an integrated platform for the analysis of heterogeneity in large tumour transcriptome datasets.",mistic,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
34625425,"The Mutational Signature Comprehensive Analysis Toolkit (musicatk) for the Discovery, Prediction, and Exploration of Mutational Signatures.",,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
28336542,"Seten: a tool for systematic identification and comparison of processes, phenotypes, and diseases associated with RNA-binding proteins from condition-specific CLIP-seq profiles.",seten,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31504851,"BioSeq-Analysis2.0: an updated platform for analyzing DNA, RNA and protein sequences at sequence level and residue level based on machine learning approaches.",,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
24564732,The Risa R/Bioconductor package: integrative data analysis from experimental metadata and back again.,risa,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
27348712,The Perseus computational platform for comprehensive analysis of (prote)omics data.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
33179738,OncoVar: an integrated database and analysis platform for oncogenic driver variants in cancers.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
27153000,RVTESTS: an efficient and comprehensive tool for rare variant association analysis using sequence data.,rvtests,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31608948,KOFFI and Anabel 2.0-a new binding kinetics database and its integration in an open-source binding analysis software.,koffi,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
31649733,CEPICS: A Comparison and Evaluation Platform for Integration Methods in Cancer Subtyping.,cepics,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
24493591,CellGeo: a computational platform for the analysis of shape changes in cells with complex geometries.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
28449106,"MicrobiomeAnalyst: a web-based tool for comprehensive statistical, visual and meta-analysis of microbiome data.",,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
24289158,wKinMut: an integrated tool for the analysis and interpretation of mutations in human protein kinases.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
28025344,GeneBase 1.1: a tool to summarize data from NCBI gene datasets and its application to an update of human gene statistics.,,"workflow_pipeline, using_phrases, validation_study, database_update",4
26840129,"MutAid: Sanger and NGS Based Integrated Pipeline for Mutation Identification, Validation and Annotation in Human Molecular Genetics.",mutaid,"workflow_pipeline, data_integration, using_phrases, validation_study",4
27769238,BCM: toolkit for Bayesian analysis of Computational Models using samplers.,bcm,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
21992029,Genome-wide prediction of splice-modifying SNPs in human genes using a new analysis pipeline called AASsites.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
31305071,WinProphet: A User-Friendly Pipeline Management System for Proteomics Data Analysis Based on Trans-Proteomic Pipeline.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
32315327,"Dataflow programming for the analysis of molecular dynamics with AViS, an analysis and visualization software application.",avis,"workflow_pipeline, comparison_benchmark, using_phrases, validation_study",4
31106372,Yvis: antibody high-density alignment visualization and analysis platform with an integrated database.,yvis,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
30908487,"Searching algorithm for Type IV effector proteins (S4TE) 2.0: Improved tools for Type IV effector prediction, analysis and comparison in proteobacteria.",s4te,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
22800180,AMDA 2.13: A major update for automated cross-platform microarray data analysis.,amda,"workflow_pipeline, comparison_benchmark, data_integration, database_update",4
33978743,InterEvDock3: a combined template-based and free docking server with increased performance through explicit modeling of complex homologs and integration of covariation-based contact maps.,,"comparison_benchmark, computational_ml, data_integration, using_phrases",4
34478499,Peptipedia: a user-friendly web application and a comprehensive database for peptide research supported by Machine Learning approach.,,"workflow_pipeline, computational_ml, data_integration, validation_study",4
30789283,CuMiDa: An Extensively Curated Microarray Database for Benchmarking and Testing of Machine Learning Approaches in Cancer Research.,cumida,"comparison_benchmark, computational_ml, using_phrases, validation_study",4
25119676,Improvements to pairwise sequence comparison (PASC): a genome-based web tool for virus classification.,pasc,"workflow_pipeline, comparison_benchmark, computational_ml, database_update",4
29942087,Pan4Draft: A Computational Tool to Improve the Accuracy of Pan-Genomic Analysis Using Draft Genomes.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
32623772,EpigenCentral: Portal for DNA methylation data analysis and classification in rare diseases.,,"comparison_benchmark, computational_ml, data_integration, using_phrases",4
29943074,ADMETlab: a platform for systematic ADMET evaluation based on a comprehensively collected ADMET database.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
25886982,"GREGOR: evaluating global enrichment of trait-associated variants in epigenomic features using a systematic, data-driven approach.",gregor,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
26571275,"CentiServer: A Comprehensive Resource, Web-Based Application and R Package for Centrality Analysis.",,"workflow_pipeline, comparison_benchmark, data_integration, validation_study",4
21882083,"Graphical model based multivariate analysis (GAMMA): an open-source, cross-platform neuroimaging data analysis software package.",gamma,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
33126862,"NBZIMM: negative binomial and zero-inflated mixed models, with application to microbiome/metagenomics data analysis.",nbzimm,"comparison_benchmark, data_integration, using_phrases, validation_study",4
27907142,IBiSA_Tools: A Computational Toolkit for Ion-Binding State Analysis in Molecular Dynamics Trajectories of Ion Channels.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
31885044,BioMedR: an R/CRAN package for integrated data analysis pipeline in biomedical study.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
23896518,PepBind: a comprehensive database and computational tool for analysis of protein-peptide interactions.,,"workflow_pipeline, comparison_benchmark, computational_ml, data_integration",4
32196032,PRESCIENT: platform for the rapid evaluation of antibody success using integrated microfluidics enabled technology.,prescient,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
23497219,REGSTATTOOLS: freeware statistical tools for the analysis of disease population databases used in health and social studies.,regstattools,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
32226594,NanoSolveIT Project: Driving nanoinformatics research to develop innovative and integrated tools for <i>in silico</i> nanosafety assessment.,,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
28177064,CPSS 2.0: a computational platform update for the analysis of small RNA sequencing data.,cpss,"workflow_pipeline, comparison_benchmark, computational_ml, database_update",4
33907838,Demetra Application: An integrated genotype analysis web server for clinical genomics in endometriosis.,,"comparison_benchmark, data_integration, using_phrases, validation_study",4
22689388,synbreed: a framework for the analysis of genomic prediction data using R.,,"workflow_pipeline, comparison_benchmark, computational_ml, using_phrases",4
33894945,SIGNAL: A web-based iterative analysis platform integrating pathway and network approaches optimizes hit selection from genome-scale assays.,signal,"workflow_pipeline, comparison_benchmark, data_integration, using_phrases",4
33407074,mixIndependR: a R package for statistical independence testing of loci in database of multi-locus genotypes.,,"workflow_pipeline, computational_ml, using_phrases, validation_study",4
