pmid,title,entity,false_positive_reason,pattern_categories,num_patterns
24210098,Metadata-driven comparative analysis tool for sequences (meta-CATS): an automated process for identifying significant sequence variations that correlate with virus attributes.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (4 categories),"using_with, reveals_identifies, analysis_study, tool_for",4
26400040,Xtalk: a path-based approach for identifying crosstalk between signaling pathways.,xtalk,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"reveals_identifies, based_approach, tool_for",3
23802613,Rainbow: a tool for large-scale whole-genome sequencing data analysis using cloud computing.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
25512689,PubstractHelper: A Web-based Text-Mining Tool for Marking Sentences in Abstracts from PubMed Using Multiple User-Defined Keywords.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
21324190,Meta-analysis of muscle transcriptome data using the MADMuscle database reveals biologically relevant gene patterns.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, reveals_identifies, analysis_study",3
27153000,RVTESTS: an efficient and comprehensive tool for rare variant association analysis using sequence data.,rvtests,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
32631222,iPNHOT: a knowledge-based approach for identifying protein-nucleic acid interaction hot spots.,ipnhot,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"reveals_identifies, based_approach, tool_for",3
24928667,OutbreakTools: a new platform for disease outbreak analysis using the R software.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
33833745,Forensic Microbiome Database: A Tool for Forensic Geolocation Meta-Analysis Using Publicly Available 16S rRNA Microbiome Sequencing.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
30509188,Full-length title: NRPPUR database search and in vitro analysis identify an NRPS-PKS biosynthetic gene cluster with a potential antibiotic effect.,nrppur,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, reveals_identifies, mining_data",3
27736972,ODMSummary: A Tool for Automatic Structured Comparison of Multiple Medical Forms Based on Semantic Annotation with the Unified Medical Language System.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"using_with, based_approach, tool_for",3
22291167,Mining Arabidopsis thaliana RNA-seq data with Integrated Genome Browser reveals stress-induced alternative splicing of the putative splicing regulator SR45a.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, reveals_identifies, mining_data",3
33008309,PALMER: improving pathway annotation based on the biomedical literature mining with a constrained latent block model.,palmer,Uses resource as analysis tool; Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, based_approach, mining_data",3
25712693,GlycanAnalysis Plug-in: a database search tool for N-glycan structures using mass spectrometry.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
23740747,Pathway Processor 2.0: a web resource for pathway-based analysis of high-throughput data.,,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (3 categories),"analysis_study, based_approach, tool_for",3
31468964,Method for Systematic Analogue Search Using the Mega SAR Matrix Database.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
27787818,Predicting Protein Secondary Structure Using Consensus Data Mining (CDM) Based on Empirical Statistics and Evolutionary Information.,cdm,Uses resource as analysis tool; Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, based_approach, mining_data",3
31045205,MRPrimerW2: an enhanced tool for rapid design of valid high-quality primers with multiple search modes for qPCR experiments.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, mining_data, tool_for",3
23162086,Visualization and Phospholipid Identification (VaLID): online integrated search engine capable of identifying and visualizing glycerophospholipids with given mass.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (3 categories),"using_with, reveals_identifies, mining_data",3
33486591,IHEC_RAAC: a online platform for identifying human enzyme classes via reduced amino acid cluster strategy.,ihec_raac,Uses resource as analysis tool; Multiple usage indicators (3 categories),"using_with, reveals_identifies, tool_for",3
24493591,CellGeo: a computational platform for the analysis of shape changes in cells with complex geometries.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (3 categories),"using_with, analysis_study, tool_for",3
