pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count,in_baseline_pmid,in_baseline_entity,in_baseline
"22110037, 23487186, 26631132, 27252399, 28365727, 28451979, 30715277, 31612944, 32128557",Saccharomyces Genome Database: the genomics resource of budding yeast.,"The Saccharomyces Genome Database (SGD, http://www.yeastgenome.org) is the community resource for the budding yeast Saccharomyces cerevisiae. The SGD project provides the highest-quality manually curated information from peer-reviewed literature. The experimental results reported in the literature are extracted and integrated within a well-developed database. These data are combined with quality high-throughput results and provided through Locus Summary pages, a powerful query engine and rich genome browser. The acquisition, integration and retrieval of these data allow SGD to facilitate experimental design and analysis by providing an encyclopedia of the yeast genome, its chromosomal features, their functions and interactions. Public access to these data is provided to researchers and educators via web pages designed for optimal ease of use.",False,True,,0.69303304,saccharomyces genome database,,22.99723005,ok,sgd | saccharomyces genome database,saccharomyces,sgd,spacy+v2,0.99723005,Saccharomyces Genome Database,True,True,True,,http://www.yeastgenome.org,http://www.yeastgenome.org,True,"The Saccharomyces Genome Database (SGD, http://www.yeastgenome.org) is the community resource for the budding yeast...",9,False,False,False
"23180793, 25048120, 25414341, 26826444, 29858800, 31641782, 31667505",IPD--the Immuno Polymorphism Database.,"The Immuno Polymorphism Database (IPD), http://www.ebi.ac.uk/ipd/ is a set of specialist databases related to the study of polymorphic genes in the immune system. The IPD project works with specialist groups or nomenclature committees who provide and curate individual sections before they are submitted to IPD for online publication. The IPD project stores all the data in a set of related databases. IPD currently consists of four databases: IPD-KIR, contains the allelic sequences of killer-cell immunoglobulin-like receptors, IPD-MHC, a database of sequences of the major histocompatibility complex of different species; IPD-HPA, alloantigens expressed only on platelets; and IPD-ESTDAB, which provides access to the European Searchable Tumour Cell-Line Database, a cell bank of immunologically characterized melanoma cell lines. The data is currently available online from the website and FTP directory. This article describes the latest updates and additional tools added to the IPD project.",False,True,,0.69928855,,ipd,35.9991292,ok,ipd | immuno polymorphism database,the immuno polymorphism database | immuno polymorphism database,ipd-estdab | hpa | ipd-imgt | kir | imgt | ipd-imgt/hla | ipd--t | he | ipd-kir,spacy+v2,0.9991292,IPD and IMGT/HLA database,True,False,False,IPD,http://www.ebi.ac.uk/ipd/,http://www.ebi.ac.uk/ipd/,True,"The Immuno Polymorphism Database (IPD), http://www.ebi.ac.uk/ipd/ is a set of specialist databases related to the s...",7,True,True,True
"23093600, 23144783, 23613709, 25326323, 27651457, 29351546, 30247620",The Comparative Toxicogenomics Database: update 2013.,"The Comparative Toxicogenomics Database (CTD; http://ctdbase.org/) provides information about interactions between environmental chemicals and gene products and their relationships to diseases. Chemical-gene, chemical-disease and gene-disease interactions manually curated from the literature are integrated to generate expanded networks and predict many novel associations between different data types. CTD now contains over 15 million toxicogenomic relationships. To navigate this sea of data, we added several new features, including DiseaseComps (which finds comparable diseases that share toxicogenomic profiles), statistical scoring for inferred gene-disease and pathway-chemical relationships, filtering options for several tools to refine user analysis and our new Gene Set Enricher (which provides biological annotations that are enriched for gene sets). To improve data visualization, we added a Cytoscape Web view to our ChemComps feature, included color-coded interactions and created a 'slim list' for our MEDIC disease vocabulary (allowing diseases to be grouped for meta-analysis, visualization and better data management). CTD continues to promote interoperability with external databases by providing content and cross-links to their sites. Together, this wealth of expanded chemical-gene-disease data, combined with novel ways to analyze and view content, continues to help users generate testable hypotheses about the molecular mechanisms of environmental diseases.",False,True,,0.71878636,comparative toxicogenomics database,,22.996929,ok,ctd | comparative toxicogenomics database,chemcomps,ctd,spacy+v2,0.996929,Comparative Toxicogenomics Database,True,True,True,,http://ctdbase.org/,http://ctdbase.org/,True,The Comparative Toxicogenomics Database (CTD; http://ctdbase.org/) provides information about interactions between...,7,False,False,False
"21321022, 22434847, 23603846, 23794737, 23881287, 25355511, 31713623","The Rat Genome Database curation tool suite: a set of optimized software tools enabling efficient acquisition, organization, and presentation of biological data.","The Rat Genome Database (RGD) is the premier repository of rat genomic and genetic data and currently houses over 40,000 rat gene records as well as human and mouse orthologs, 1771 rat and 1911 human quantitative trait loci (QTLs) and 2209 rat strains. Biological information curated for these data objects includes disease associations, phenotypes, pathways, molecular functions, biological processes and cellular components. A suite of tools has been developed to aid curators in acquiring and validating data objects, assigning nomenclature, attaching biological information to objects and making connections among data types. The software used to assign nomenclature, to create and edit objects and to make annotations to the data objects has been specifically designed to make the curation process as fast and efficient as possible. The user interfaces have been adapted to the work routines of the curators, creating a suite of tools that is intuitive and powerful. Database URL: http://rgd.mcw.edu.",False,True,,0.7218183,rat genome database,,22.9965059,ok,rgd | rat genome database,mouse genome informatics | of the rat | rat genome database at 20,rgd | david,spacy+v2,0.9965059,Rat Genome Database curation tool suite,True,False,False,,http://rgd.mcw.edu,http://rgd.mcw.edu,True,...ols that is intuitive and powerful. Database URL: http://rgd.mcw.edu.,7,False,False,False
"22110025, 23180790, 24194602, 26578571, 30357349, 33156332","The DNA Data Bank of Japan launches a new resource, the DDBJ Omics Archive of functional genomics experiments.","The DNA Data Bank of Japan (DDBJ; http://www.ddbj.nig.ac.jp) maintains and provides archival, retrieval and analytical resources for biological information. The central DDBJ resource consists of public, open-access nucleotide sequence databases including raw sequence reads, assembly information and functional annotation. Database content is exchanged with EBI and NCBI within the framework of the International Nucleotide Sequence Database Collaboration (INSDC). In 2011, DDBJ launched two new resources: the 'DDBJ Omics Archive' (DOR; http://trace.ddbj.nig.ac.jp/dor) and BioProject (http://trace.ddbj.nig.ac.jp/bioproject). DOR is an archival database of functional genomics data generated by microarray and highly parallel new generation sequencers. Data are exchanged between the ArrayExpress at EBI and DOR in the common MAGE-TAB format. BioProject provides an organizational framework to access metadata about research projects and the data from the projects that are deposited into different databases. In this article, we describe major changes and improvements introduced to the DDBJ services, and the launch of two new resources: DOR and BioProject.",False,True,,0.7141804,,ddbj,28.99896586,ok,insdc | international nucleotide sequence database collaboration,international nucleotide sequence database collaboration | dna data bank of japan | dbj omics archive | japanese genotype-phenotype archive | ddbj center | arrayexpress | dna data bank of japan center | dna data bank of | bioproject | nucleotide sequence | genomic expression archive | ddbj omics archive,i | insdc | dor | gea | sra | jga,spacy+v2,0.99907064,DDBJ progress report,True,False,False,DDBJ,http://www.ddbj.nig.ac.jp | http://trace.ddbj.nig.ac.jp/dor | http://trace.ddbj.nig.ac.jp/bioproject,http://www.ddbj.nig.ac.jp,True,"The DNA Data Bank of Japan (DDBJ; http://www.ddbj.nig.ac.jp) maintains and provides archival, retrieval and a...",6,False,True,True
"25313157, 25380782, 29059324, 29761462, 31733057","Xenbase, the Xenopus model organism database; new virtualized system, data types and genomes.","Xenbase (http://www.xenbase.org), the Xenopus frog model organism database, integrates a wide variety of data from this biomedical model genus. Two closely related species are represented: the allotetraploid Xenopus laevis that is widely used for microinjection and tissue explant-based protocols, and the diploid Xenopus tropicalis which is used for genetics and gene targeting. The two species are extremely similar and protocols, reagents and results from each species are often interchangeable. Xenbase imports, indexes, curates and manages data from both species; all of which are mapped via unique IDs and can be queried in either a species-specific or species agnostic manner. All our services have now migrated to a private cloud to achieve better performance and reliability. We have added new content, including providing full support for morpholino reagents, used to inhibit mRNA translation or splicing and binding to regulatory microRNAs. New genomes assembled by the JGI for both species and are displayed in Gbrowse and are also available for searches using BLAST. Researchers can easily navigate from genome content to gene page reports, literature, experimental reagents and many other features using hyperlinks. Xenbase has also greatly expanded image content for figures published in papers describing Xenopus research via PubMedCentral.",False,True,,0.7126472,xenbase,,28.9963331,ok,xao | xenopus anatomy ontology,ensembl | xenopus anatomy ontology | gene expression database | xenopus model organism | gene expression omnibus | uniprotkb,xao | sra | geo,spacy+v2,0.9984808,Virtual Xenbase,True,False,False,Xenbase,http://www.xenbase.org,http://www.xenbase.org,True,"Xenbase (http://www.xenbase.org), the Xenopus frog model organism database, integ...",5,False,True,True
"20931385, 24217918, 26553803, 27987178, 29165610",Gramene database: a hub for comparative plant genomics.,"The rich collection of known genetic information and the recent completion of rice genome sequencing project provided the cereal plant researchers a useful tool to investigate the roles of genes and genomic organization that contribute to numerous agronomic traits. Gramene ( http://www.gramene.org ) is a unique database where users are allowed to query and explore the power of genomic colinearity and comparative genomics for genetic and genomic studies on plant genomes. Gramene presents a wholesome perspective by assimilating data from a broad range of publicly available data sources for cereals like rice, sorghum, maize, wild rice, wheat, oats, barley, and other agronomically important crop plants such as poplar and grape, and the model plant Arabidopsis. As part of the process, it preserves the original data, but also reanalyzes for integration into several knowledge domains of maps, markers, genes, proteins, pathways, phenotypes, including Quantitative Trait Loci (QTL) and genetic diversity/natural variation. This allows researchers to use this information resource to decipher the known and predicted interactions between the components of biological systems, and how these interactions regulate plant development. Using examples from rice, this article describes how the database can be helpful to researchers representing an array of knowledge domains ranging from plant biology, plant breeding, molecular biology, genomics, biochemistry, genetics, bioinformatics, and phylogenomics.",False,True,,0.7268369,gramene,,27.9571688,ok,,ensembl | gramene database | reactome,,spacy+v2,0.9712587,Gramene database,True,False,False,Gramene,http://www.gramene.org,http://www.gramene.org,True,...ontribute to numerous agronomic traits. Gramene ( http://www.gramene.org ) is a unique database where users are allowed to...,5,False,True,True
"23161694, 25361968, 26842383, 27799471, 30304474",Genenames.org: the HGNC resources in 2013.,"The HUGO Gene Nomenclature Committee situated at the European Bioinformatics Institute assigns unique symbols and names to human genes. Since 2011, the data within our database has expanded largely owing to an increase in naming pseudogenes and non-coding RNA genes, and we now have >33,500 approved symbols. Our gene families and groups have also increased to nearly 500, with ∼45% of our gene entries associated to at least one family or group. We have also redesigned the HUGO Gene Nomenclature Committee website http://www.genenames.org creating a constant look and feel across the site and improving usability and readability for our users. The site provides a public access portal to our database with no restrictions imposed on access or the use of the data. Within this article, we review our online resources and data with particular emphasis on the updates to our website.",False,True,,0.6677566,,hgnc,22.7880223,ok,hgnc | hugo gene nomenclature committee,hugo gene nomenclature committee,,spacy,0.7880223,Genenames.org,True,False,False,HGNC,http://www.genenames.org,http://www.genenames.org,True,...gned the HUGO Gene Nomenclature Committee website http://www.genenames.org creating a constant look and feel across the site...,5,False,True,True
"23203884, 26527724, 26980514, 29220462","RegulonDB v8.0: omics data sets, evolutionary conservation, regulatory phrases, cross-validated gold standards and more.","This article summarizes our progress with RegulonDB (http://regulondb.ccg.unam.mx/) during the past 2 years. We have kept up-to-date the knowledge from the published literature regarding transcriptional regulation in Escherichia coli K-12. We have maintained and expanded our curation efforts to improve the breadth and quality of the encoded experimental knowledge, and we have implemented criteria for the quality of our computational predictions. Regulatory phrases now provide high-level descriptions of regulatory regions. We expanded the assignment of quality to various sources of evidence, particularly for knowledge generated through high-throughput (HT) technology. Based on our analysis of most relevant methods, we defined rules for determining the quality of evidence when multiple independent sources support an entry. With this latest release of RegulonDB, we present a new highly reliable larger collection of transcription start sites, a result of our experimental HT genome-wide efforts. These improvements, together with several novel enhancements (the tracks display, uploading format and curational guidelines), address the challenges of incorporating HT-generated knowledge into RegulonDB. Information on the evolutionary conservation of regulatory elements is also available now. Altogether, RegulonDB version 8.0 is a much better home for integrating knowledge on gene regulation from the sources of information currently available.",False,True,,0.7168106,regulondb,,28.99775213,ok,,egulondb,,spacy+v2,0.9991554,RegulonDB,True,True,True,RegulonDB,http://regulondb.ccg.unam.mx/,http://regulondb.ccg.unam.mx/,True,...s article summarizes our progress with RegulonDB (http://regulondb.ccg.unam.mx/) during the past 2 years. We have kept up-to-date...,4,True,True,True
"22086951, 23155063, 25428374, 26590259",The UCSC Genome Browser database: extensions and updates 2011.,"The University of California Santa Cruz Genome Browser (http://genome.ucsc.edu) offers online public access to a growing database of genomic sequence and annotations for a wide variety of organisms. The Browser is an integrated tool set for visualizing, comparing, analyzing and sharing both publicly available and user-generated genomic data sets. In the past year, the local database has been updated with four new species assemblies, and we anticipate another four will be released by the end of 2011. Further, a large number of annotation tracks have been either added, updated by contributors, or remapped to the latest human reference genome. Among these are new phenotype and disease annotations, UCSC genes, and a major dbSNP update, which required new visualization methods. Growing beyond the local database, this year we have introduced 'track data hubs', which allow the Genome Browser to provide access to remotely located sets of annotations. This feature is designed to significantly extend the number and variety of annotation tracks that are publicly available for visualization and analysis from within our site. We have also introduced several usability features including track search and a context-sensitive menu of options available with a right-click anywhere on the Browser's image.",False,True,,0.72333884,ucsc genome browser,,23.78192204,ok,,clinvar | genome browser | genome browser in | clingen,dbsnp | genome | gencode | gbib | csc,spacy,0.78192204,UCSC Genome Browser database,True,False,False,UCSC Genome Browser,http://genome.ucsc.edu,http://genome.ucsc.edu,True,...iversity of California Santa Cruz Genome Browser (http://genome.ucsc.edu) offers online public access to a growing databas...,4,False,True,True
