pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count
"24316579, 26740669, 29316735, 30626175, 31906604, 33396976",The 2014 Nucleic Acids Research Database Issue and an updated NAR online Molecular Biology Database Collection.,"The 2014 Nucleic Acids Research Database Issue includes descriptions of 58 new molecular biology databases and recent updates to 123 databases previously featured in NAR or other journals. For convenience, the issue is now divided into eight sections that reflect major subject categories. Among the highlights of this issue are six databases of the transcription factor binding sites in various organisms and updates on such popular databases as CAZy, Database of Genomic Variants (DGV), dbGaP, DrugBank, KEGG, miRBase, Pfam, Reactome, SEED, TCDB and UniProt. There is a strong block of structural databases, which includes, among others, the new RNA Bricks database, updates on PDBe, PDBsum, ArchDB, Gene3D, ModBase, Nucleic Acid Database and the recently revived iPfam database. An update on the NCBI's MMDB describes VAST+, an improved tool for protein structure comparison. Two articles highlight the development of the Structural Classification of Proteins (SCOP) database: one describes SCOPe, which automates assignment of new structures to the existing SCOP hierarchy; the other one describes the first version of SCOP2, with its more flexible approach to classifying protein structures. This issue also includes a collection of articles on bacterial taxonomy and metagenomics, which includes updates on the List of Prokaryotic Names with Standing in Nomenclature (LPSN), Ribosomal Database Project (RDP), the Silva/LTP project and several new metagenomics resources. The NAR online Molecular Biology Database Collection, http://www.oxfordjournals.org/nar/database/c/, has been expanded to 1552 databases. The entire Database Issue is freely available online on the Nucleic Acids Research website (http://nar.oxfordjournals.org/).",True,False,,,,s,16.70774275,ok,scop | structural classification of proteins ; rdp | ribosomal database project,disprot | drugbank | ensembl | interpro | list of prokaryotic names with standing in nomenclature | lncrna2target | microscope | mirbase | mirtarbase | nucleic acids | pophumanscan | prokaryotic names | reactome | ribosomal database project | rnacentral | rnarchitecture | stcrdab | structural classification of proteins | ucsc genome browser | uniprot | uniprotkb,3div | abcd | afnd | archdb | cazy | cdd | cosmic | dbgap | dgv | elm | encode | gencode | gene3d | gpcrdb | hmdb | human | ipd | ipfam | iprox | kegg | lpsn | merops | mirdb | mmdb | ogrdb | omim | patric | pdbe | pfam | puldb | rdp | scop | scope | seed | smart | string | tcdb | wwpdb,v2,0.70774275,,True,False,False,,http://www.oxfordjournals.org/nar/database/c/ | http://nar.oxfordjournals.org/,http://www.oxfordjournals.org/nar/database/c/,True,"...NAR online Molecular Biology Database Collection, http://www.oxfordjournals.org/nar/database/c/, has been expanded to 1552 databases. The entire...",6
"22140104, 25398906, 26615191, 29140470, 33095870",Database resources of the National Center for Biotechnology Information.,"In addition to maintaining the GenBank® nucleic acid sequence database, the National Center for Biotechnology Information (NCBI) provides analysis and retrieval resources for the data in GenBank and other biological data made available through the NCBI Website. NCBI resources include Entrez, the Entrez Programming Utilities, MyNCBI, PubMed, PubMed Central (PMC), Gene, the NCBI Taxonomy Browser, BLAST, BLAST Link (BLink), Primer-BLAST, COBALT, Splign, RefSeq, UniGene, HomoloGene, ProtEST, dbMHC, dbSNP, dbVar, Epigenomics, Genome and related tools, the Map Viewer, Model Maker, Evidence Viewer, Trace Archive, Sequence Read Archive, BioProject, BioSample, Retroviral Genotyping Tools, HIV-1/Human Protein Interaction Database, Gene Expression Omnibus (GEO), Probe, Online Mendelian Inheritance in Animals (OMIA), the Molecular Modeling Database (MMDB), the Conserved Domain Database (CDD), the Conserved Domain Architecture Retrieval Tool (CDART), Biosystems, Protein Clusters and the PubChem suite of small molecule databases. Augmenting many of the Web applications are custom implementations of the BLAST program optimized to search specialized data sets. All of these resources can be accessed through the NCBI home page at www.ncbi.nlm.nih.gov.",True,False,3.0,,mendelian inheritance in,,10.7327669,ok,geo | gene expression omnibus ; cdd | conserved domain database,bioproject | bookshelf | clinvar | conserved domain database | domain architecture | genbank | gene expression omnibus | pubchem | sequence read archive | testing registry,cdd | dbgap | dbsnp | geo | mmdb | refseq | sra,spacy+v2,0.873996,,True,False,False,,http://www.ncbi.nlm.nih.gov,http://www.ncbi.nlm.nih.gov,True,,5
"23203883, 24214989, 27899630, 31722421",Facing growth in the European Nucleotide Archive.,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena/) collects, maintains and presents comprehensive nucleic acid sequence and related information as part of the permanent public scientific record. Here, we provide brief updates on ENA content developments and major service enhancements in 2012 and describe in more detail two important areas of development and policy that are driven by ongoing growth in sequencing technologies. First, we describe the ENA data warehouse, a resource for which we provide a programmatic entry point to integrated content across the breadth of ENA. Second, we detail our plans for the deployment of CRAM data compression technology in ENA.",True,False,4.0,,european nucleotide archive,,22.99201834,ok,ena | european nucleotide archive,,ena,spacy+v2,0.99201834,,True,False,False,,http://www.ebi.ac.uk/ena/,http://www.ebi.ac.uk/ena/,True,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena/) collects, maintains and presents comprehensive n...",4
"24265222, 28365719, 29140510",Saccharomyces genome database provides new regulation data.,"The Saccharomyces Genome Database (SGD; http://www.yeastgenome.org) is the community resource for genomic, gene and protein information about the budding yeast Saccharomyces cerevisiae, containing a variety of functional information about each yeast gene and gene product. We have recently added regulatory information to SGD and present it on a new tabbed section of the Locus Summary entitled 'Regulation'. We are compiling transcriptional regulator-target gene relationships, which are curated from the literature at SGD or imported, with permission, from the YEASTRACT database. For nearly every S. cerevisiae gene, the Regulation page displays a table of annotations showing the regulators of that gene, and a graphical visualization of its regulatory network. For genes whose products act as transcription factors, the Regulation page also shows a table of their target genes, accompanied by a Gene Ontology enrichment analysis of the biological processes in which those genes participate. We additionally synthesize information from the literature for each transcription factor in a free-text Regulation Summary, and provide other information relevant to its regulatory function, such as DNA binding site motifs and protein domains. All of the regulation data are available for querying, analysis and download via YeastMine, the InterMine-based data warehouse system in use at SGD.",True,False,3.0,,saccharomyces genome database,,22.99671406,ok,sgd | saccharomyces genome database,yeastmine | saccharomyces,sgd | yeastract,spacy+v2,0.99731356,,True,False,False,,http://www.yeastgenome.org,http://www.yeastgenome.org,True,"The Saccharomyces Genome Database (SGD; http://www.yeastgenome.org) is the community resource for genomic, gene and...",3
"23221299, 27171405, 34458863",Targeted journal curation as a method to improve data currency at the Comparative Toxicogenomics Database.,"The Comparative Toxicogenomics Database (CTD) is a public resource that promotes understanding about the effects of environmental chemicals on human health. CTD biocurators read the scientific literature and manually curate a triad of chemical-gene, chemical-disease and gene-disease interactions. Typically, articles for CTD are selected using a chemical-centric approach by querying PubMed to retrieve a corpus containing the chemical of interest. Although this technique ensures adequate coverage of knowledge about the chemical (i.e. data completeness), it does not necessarily reflect the most current state of all toxicological research in the community at large (i.e. data currency). Keeping databases current with the most recent scientific results, as well as providing a rich historical background from legacy articles, is a challenging process. To address this issue of data currency, CTD designed and tested a journal-centric approach of curation to complement our chemical-centric method. We first identified priority journals based on defined criteria. Next, over 7 weeks, three biocurators reviewed 2425 articles from three consecutive years (2009-2011) of three targeted journals. From this corpus, 1252 articles contained relevant data for CTD and 52 752 interactions were manually curated. Here, we describe our journal selection process, two methods of document delivery for the biocurators and the analysis of the resulting curation metrics, including data currency, and both intra-journal and inter-journal comparisons of research topics. Based on our results, we expect that curation by select journals can (i) be easily incorporated into the curation pipeline to complement our chemical-centric approach; (ii) build content more evenly for chemicals, genes and diseases in CTD (rather than biasing data by chemicals-of-interest); (iii) reflect developing areas in environmental health and (iv) improve overall data currency for chemicals, genes and diseases. Database URL: http://ctdbase.org/",True,False,4.0,,comparative toxicogenomics database,,22.99531394,ok,ctd | comparative toxicogenomics database,,ctd,spacy+v2,0.99531394,,True,False,False,,http://ctdbase.org/,http://ctdbase.org/,True,"...for chemicals, genes and diseases. Database URL: http://ctdbase.org/",3
"24680503, 25753703, 26337239",Expansion of coverage of Carbohydrate Structure Database (CSDB).,"The Bacterial Carbohydrate Structure Database (BCSDB), which has been maintained since 2005, was expanded to cover glycans from plants and fungi. The current coverage on plant and fungal glycans includes several thousands of the CarbBank records, as well as data published before 1996 but not deposited in CarbBank. Prior to deposition, the data were verified against the original publications and supplemented with additional information, such as NMR spectra. Both the Bacterial and Plant and Fungal Carbohydrate Structure Databases are freely available at http://csdb.glycoscience.ru.",True,False,4.0,,carbohydrate structure database,,22.93815786,ok,,bacterial carbohydrate structure database | bacterial csdb,bcsdb | csdb,spacy+v2,0.93815786,"Bacterial, plant, and fungal carbohydrate structure databases",True,False,False,,http://csdb.glycoscience.ru,http://csdb.glycoscience.ru,True,...drate Structure Databases are freely available at http://csdb.glycoscience.ru.,3
"23920826, 26868052, 29295221",Analyses of medical data models - identifying common concepts and items in a repository of medical forms.,"One year ago the portal of Medical Data Models (http://medical-data-models.org) was presented as a resource for the scientific community. As of November 2012 there are approximately 3,300 forms with 102,000 items available in the CDISC ODM format. First descriptive analyses regarding form metadata demonstrate the capability of such a repository to identify commonly used medical concepts. Most common items are administrative attributes which indicates that more clinical information are needed to increase the secondary use of data documented within these forms.",True,False,3.0,,,,16.9244772,no_entities,,,dm | mdm,,0.9244772,,True,False,False,,http://medical-data-models.org,http://medical-data-models.org,True,One year ago the portal of Medical Data Models (http://medical-data-models.org) was presented as a resource for the scientific c...,3
"23193293, 29121237",Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,"The Human Ageing Genomic Resources (HAGR, http://genomics.senescence.info) is a freely available online collection of research databases and tools for the biology and genetics of ageing. HAGR features now several databases with high-quality manually curated data: (i) GenAge, a database of genes associated with ageing in humans and model organisms; (ii) AnAge, an extensive collection of longevity records and complementary traits for >4000 vertebrate species; and (iii) GenDR, a newly incorporated database, containing both gene mutations that interfere with dietary restriction-mediated lifespan extension and consistent gene expression changes induced by dietary restriction. Since its creation about 10 years ago, major efforts have been undertaken to maintain the quality of data in HAGR, while further continuing to develop, improve and extend it. This article briefly describes the content of HAGR and details the major updates since its previous publications, in terms of both structure and content. The completely redesigned interface, more intuitive and more integrative of HAGR resources, is also presented. Altogether, we hope that through its improvements, the current version of HAGR will continue to provide users with the most comprehensive and accessible resources available today in the field of biogerontology.",True,False,3.0,,human ageing genomic resources,,22.9967323,ok,hagr | human ageing genomic resources,drugage | longevitymap,hagr | anage | gendr | genage,spacy+v2,0.9967323,Human Ageing Genomic Resources,True,True,True,,http://genomics.senescence.info,http://genomics.senescence.info,True,"The Human Ageing Genomic Resources (HAGR, http://genomics.senescence.info) is a freely available online collection of resea...",2
"29136208, 31696236",Mouse Phenome Database: an integrative database and analysis suite for curated empirical phenotype data from laboratory mice.,"The Mouse Phenome Database (MPD; https://phenome.jax.org) is a widely used resource that provides access to primary experimental trait data, genotypic variation, protocols and analysis tools for mouse genetic studies. Data are contributed by investigators worldwide and represent a broad scope of phenotyping endpoints and disease-related traits in naïve mice and those exposed to drugs, environmental agents or other treatments. MPD houses individual animal data with detailed, searchable protocols, and makes these data available to other resources via API. MPD provides rigorous curation of experimental data and supporting documentation using relevant ontologies and controlled vocabularies. Most data in MPD are from inbreds and other reproducible strains such that the data are cumulative over time and across laboratories. The resource has been expanded to include the QTL Archive and other primary phenotype data from mapping crosses as well as advanced high-diversity mouse populations including the Collaborative Cross and Diversity Outbred mice. Furthermore, MPD provides a means of assessing replicability and reproducibility across experimental conditions and protocols, benchmarking assays in users' own laboratories, identifying sensitized backgrounds for making new mouse models with genome editing technologies, analyzing trait co-inheritance, finding the common genetic basis for multiple traits and assessing sex differences and sex-by-genotype interactions.",True,False,3.0,,mouse phenome database,,22.9966752,ok,mpd | mouse phenome database,,mpd,spacy+v2,0.9966752,Mouse Phenome Database,True,True,True,,https://phenome.jax.org,https://phenome.jax.org,True,The Mouse Phenome Database (MPD; https://phenome.jax.org) is a widely used resource that provides access t...,2
"23175610, 24285300","The mouse genome database: genotypes, phenotypes, and models of human disease.","The laboratory mouse is the premier animal model for studying human biology because all life stages can be accessed experimentally, a completely sequenced reference genome is publicly available and there exists a myriad of genomic tools for comparative and experimental research. In the current era of genome scale, data-driven biomedical research, the integration of genetic, genomic and biological data are essential for realizing the full potential of the mouse as an experimental model. The Mouse Genome Database (MGD; http://www.informatics.jax.org), the community model organism database for the laboratory mouse, is designed to facilitate the use of the laboratory mouse as a model system for understanding human biology and disease. To achieve this goal, MGD integrates genetic and genomic data related to the functional and phenotypic characterization of mouse genes and alleles and serves as a comprehensive catalog for mouse models of human disease. Recent enhancements to MGD include the addition of human ortholog details to mouse Gene Detail pages, the inclusion of microRNA knockouts to MGD's catalog of alleles and phenotypes, the addition of video clips to phenotype images, providing access to genotype and phenotype data associated with quantitative trait loci (QTL) and improvements to the layout and display of Gene Ontology annotations.",True,False,3.0,,mouse genome database,,22.99660313,ok,mgd | mouse genome database,database | ensembl,mgd,spacy+v2,0.99691236,mouse genome database,True,True,True,,http://www.informatics.jax.org,http://www.informatics.jax.org,True,"...perimental model. The Mouse Genome Database (MGD; http://www.informatics.jax.org), the community model organism database for the l...",2
