publication_id,title,abstract,predicted_label,confidence,v2_positive,pycaret_prediction,pycaret_score,pycaret_positive,union_positive,pmid,ling_score,ling_evidence,ling_has_intro_pattern,ling_has_title_pattern,ling_has_url,ling_impl_keywords,ling_usage_keywords,setfit_prediction,setfit_confidence,confidence_tier,prediction_label,inclusion_reason
39314060.0,Hyperspectral Imaging Database of Human Facial Skin.,"The perceived color of human skin is the result of the interaction of environmental lighting with the skin. Only by resorting to human skin spectral reflectance, it is possible to obtain physical outcomes of this interaction. The purpose of this work was to provide a cured and validated database of hyperspectral images of human faces, useful for several applications, such as psychophysics-based research, object recognition, and material modeling. The hyperspectral imaging data from 29 human faces with different skin tones and sexes, under constant lighting and controlled movements, were described and characterized. Each hyperspectral image, which comprised spectral reflectance of the whole face from 400 to 720 nm in 10 nm steps at each pixel, was analyzed between and within nine facial positions located at different areas of the face. Simultaneously, spectral measurements at the same nine facial positions using conventional local point and/or contact devices were used to ascertain the data. It was found that the spectral reflectance profile changed between skin tones, subjects, and facial locations. Important local variations of the spectral reflectance profile showed that extra care is needed when considering average values from conventional devices at the same area of measurement.",bio-resource,0.99256426,1,0,0.5867,0,1,39314060,1.0,title_pattern,False,True,False,0,0,0,0.49950823,low,USAGE,v2_classifier_positive
38684624.0,TACO: A Turkish database for abstract concepts.,"The organization of abstract concepts reflects different dimensions, grounded in the brain regions coding for the corresponding experience. Normative measures of linguistic stimuli offer noteworthy insights into the organization of conceptual knowledge, but studies differ in the dimensions and classes of concepts considered. Additionally, most of the available information has been collected in English, without considering possible linguistic and cultural differences. Here, we aimed to create a comprehensive Turkish database for abstract concepts (TACO), including rarely investigated classes such as political concepts. We included 503 words-78 concrete (fruits, animals, tools) and 425 abstract (emotions, social, mental states, theoretical, quantity, space, political)-rated by 134 Turkish speakers for familiarity, imageability, age of acquisition, valence, arousal, quantity, space, theoretical, social, mental state, and political dimensions. We calculated dominance and exclusivity, indicating the dimension receiving the highest mean score for each word, and the position of the word along the unidimensional-multidimensional continuum, respectively. A principal component analysis (PCA) was conducted on the semantic dimensions. The results showed that mental state was the dominant dimension for most concepts. Moderate to low levels of exclusivity indicated that the concepts were multidimensional. PCA revealed three components: Component 1 captured the juxtaposition between social/mental state and magnitude polarities, Component 2 highlighted affective components, and Component 3 grouped together political and theoretical dimensions. The introduction of political concepts provided insights into the multidimensional nature of this unexplored class, closely intertwined with the theoretical dimension. TACO constitutes the first comprehensive Turkish database covering several abstract dimensions, paving the way for cross-linguistic and cross-cultural studies of semantic representations.",bio-resource,0.99802774,1,1,0.7466,1,1,38684624,0.5,title_pattern; usage_kw=1,False,True,False,0,1,0,0.49922884,low,USAGE,v2_classifier_positive
36613506.0,Full-Length Transcriptome of <i>Myotis pilosus</i> as a Reference Resource and Mining of Auditory and Immune Related Genes.,"Rickett's big-footed bat, <i>Myotis pilosus</i>, which belongs to the family Vespertilionida, is the only known piscivorous bat in East Asia. Accurate whole genome and transcriptome annotations are essential for the study of bat biological evolution. The lack of a whole genome for <i>M. pilosus</i> has limited our understanding of the molecular mechanisms underlying the species' evolution, echolocation, and immune response. In the present work, we sequenced the entire transcriptome using error-corrected PacBio single-molecule real-time (SMRT) data. Then, a total of 40 GB of subreads were generated, including 29,991 full-length non-chimeric (FLNC) sequences. After correction by Illumina short reads and de-redundancy, we obtained 26,717 error-corrected isoforms with an average length of 3018.91 bp and an N50 length of 3447 bp. A total of 1528 alternative splicing (AS) events were detected by transcriptome structural analysis. Furthermore, 1032 putative transcription factors (TFs) were identified, with additional identification of several long non-coding RNAs (lncRNAs) with high confidence. Moreover, several key genes, including <i>PRL-2</i>, <i>DPP4</i>, <i>Glul</i>, and <i>ND1</i> were also identified as being associated with metabolism, immunity, nervous system processes, and auditory perception. A multitude of pattern recognition receptors was identified, including NLR, RLR, SRCR, the antiviral molecule IRF3, and the IFN receptor subunit IFNAR1. High-quality reference genomes at the transcriptome level may be used to quantify gene or transcript expression, evaluate alternative splicing levels, identify novel transcripts, and enhance genome annotation in bats.",bio-resource,0.9837954,1,1,0.7466,1,1,36613506,1.0,title_pattern,False,True,False,0,0,0,0.49913707,low,USAGE,v2_classifier_positive
37551357.0,Central resources of variant discovery and annotation and its role in precision medicine.,"Rapid technological advancement in high-throughput genomics, microarray, and deep sequencing technologies has accelerated the possibility of more complex precision medicine research using large amounts of heterogeneous health-related data from patients, including genomic variants. Genomic variants can be identified and annotated based on the reference human genome either within the sequence as a whole or in a putative functional genomic element. The American College of Medical Genetics and Genomics (ACMG) and the Association for Molecular Pathology (AMP) mutually created standards and guidelines for the appraisal of proof to expand consistency and straightforwardness in clinical variation interpretations. Various efforts toward precision medicine have been facilitated by many national and international public databases that classify and annotate genomic variation. In the present study, several resources are highlighted with recognition and data spreading of clinically important genetic variations.",bio-resource,0.99780256,1,0,0.5867,0,1,37551357,0.5,impl_kw=1,False,False,False,1,0,0,0.49857482,low,USAGE,v2_classifier_positive
38269719.0,An International Standard RWD Database Designed - Taiwan Experience.,"The use of Real-World Data (RWD) in medical data analysis is nowadays required. RWD may come from electronic health records (EHRs), insurance claims, medical products, Internet of Things sensors, health screenings, etc. The goal of RWD is that the data used for analysis should not be affected by environmental variables, experimental control, research context settings, etc. RWD can effectively reduce the cost and improve the accuracy of medical research. The clinical data and patient self-report are integrated, cleaned and pre-processed, and the data format is unified and standardized by international standard formats to provide a structured database for clinical research by this study. An international standard real-world research database was established through the breast cancer database of a medical center in Taipei.",bio-resource,0.913087,1,1,0.7466,1,1,38269719,1.5,title_pattern; impl_kw=1,False,True,False,1,0,0,0.49854857,low,USAGE,v2_classifier_positive
36402876.0,UK Biobank: a globally important resource for cancer research.,"UK Biobank is a large-scale prospective study with deep phenotyping and genomic data. Its open-access policy allows researchers worldwide, from academia or industry, to perform health research in the public interest. Between 2006 and 2010, the study recruited 502,000 adults aged 40-69 years from the general population of the United Kingdom. At enrolment, participants provided information on a wide range of factors, physical measurements were taken, and biological samples (blood, urine and saliva) were collected for long-term storage. Participants have now been followed up for over a decade with more than 52,000 incident cancer cases recorded. The study continues to be enhanced with repeat assessments, web-based questionnaires, multi-modal imaging, and conversion of the stored biological samples to genomic and other '-omic' data. The study has already demonstrated its value in enabling research into the determinants of cancer, and future planned enhancements will make the resource even more valuable to cancer researchers. Over 26,000 researchers worldwide are currently using the data, performing a wide range of cancer research. UK Biobank is uniquely placed to transform our understanding of the causes of cancer development and progression, and drive improvements in cancer treatment and prevention over the coming decades.",bio-resource,0.9951072,1,1,0.7466,1,1,36402876,1.0,title_pattern,False,True,False,0,0,0,0.49829742,low,USAGE,v2_classifier_positive
36074108.0,Building a Comprehensive Biopsychosocial Database to Identify Underlying Causes of Suicide and Improve Suicide Prevention.,"In June, 2022, the United States Department of Veterans Affairs (VA) announced an initiative to reduce death due to suicide in US Veterans. This column is based on a proposal written for that initiative, as well as on an earlier psychopharmacology column in this journal that reviewed the statistics and the genetics of suicide, and the US medicolegal death investigation system. This system is composed of 3137 county coroner or medical examiner offices across the country that are responsible under state and local law for investigating deaths that are not explained by natural causes and are suspicious and/or unattended. Thus, this system gathers data concerning all deaths due to suicide. Currently this death investigation system costs US taxpayers ∼$660 million per year, and it has determined that ∼45,000 Americans die from suicide each year. In the conduct of these investigations, a large amount of data is collected, including biological samples. While the demographic data are reported to the Centers for Disease Control (CDC), little-if anything-is done with the collected biological material beyond its use in determining the cause of death of the individual. The earlier column on this topic advocated for the establishment of a central database to retain and utilize this information to further understand the biopsychosocial causes of suicide, with the goal of preventing suicides. This column describes a proposal submitted to the VA system for how such a system could initially be piloted in a small group of VA medical centers and then expanded to the entire system. This initial effort could then, in turn, serve as a model for expanding such data gathering to the entire US medicolegal death investigation system.",bio-resource,0.7989455,1,0,0.5867,0,1,36074108,1.0,title_pattern,False,True,False,0,0,0,0.49773058,low,USAGE,v2_classifier_positive
40544559.0,A comparison of the Abraham and Wayne state university compound descriptor databases for use with the solvation parameter model.,"The solvation parameter model employs six fixed descriptors (seven for compounds that exhibit variable hydrogen-bond basicity) to characterize the contribution of intermolecular interactions to equilibrium distribution properties. McGowan's characteristic volume (V) and excess molar refraction (E) for liquids at 20 °C can be calculated from structure and a refractive index value in the case of E. The remaining descriptors identified as dipolarity/polarizability (S), overall hydrogen-bond acidity (A), overall hydrogen-bond basicity (B or B°), the gas-liquid partition constant at 25 °C (L), and E for solids at 20 °C are experimental quantities more likely to vary when taken from different sources. There are two large, curated descriptor databases, known as the Abraham and Wayne State University (WSU-2025) databases that facilitate applications of the solvation parameter model to separation systems. These databases were developed independently using different experimental data. In some cases, this has led to significantly different descriptor assignments for the same compound. In this report, descriptor quality for over 300 compounds sourced from the above curated databases are compared using a generalized compound classification scheme and filters for descriptor difference values. For n-alkanes and monofunctional n-alkanes there are only small differences in descriptor values. Significantly larger differences are observed for multifunctional compounds including systematic differences in at least one descriptor for polycyclic aromatic hydrocarbons, phthalate esters, phenols, amides, and compounds of variable hydrogen-bond basicity. Partition constants for octanol-water, n-heptane-2,2,2-trifluoroethanol, and n-heptane-formamide biphasic systems, and gas chromatographic retention factors on a poly(3-cyanopropylphenyldimethylsiloxane) stationary phase are used to verify descriptor quality. The WSU-2025 database shows a significant improvement in model quality with better precision than the Abraham database descriptors as well as facilitating the identification of compounds likely to have misassigned descriptors in the Abraham database.",bio-resource,0.5656734,1,1,0.7466,1,1,40544559,0.0,none,False,False,False,0,0,0,0.4974924,low,USAGE,v2_classifier_positive
38438840.0,De novo assembly and annotation of the Patagonian toothfish (Dissostichus eleginoides) genome.,"<h4>Background</h4>Patagonian toothfish (Dissostichus eleginoides) is an economically and ecologically important fish species in the family Nototheniidae. Juveniles occupy progressively deeper waters as they mature and grow, and adults have been caught as deep as 2500 m, living on or in just above the southern shelves and slopes around the sub-Antarctic islands of the Southern Ocean. As apex predators, they are a key part of the food web, feeding on a variety of prey, including krill, squid, and other fish. Despite its importance, genomic sequence data, which could be used for more accurate dating of the divergence between Patagonian and Antarctic toothfish, or establish whether it shares adaptations to temperature with fish living in more polar or equatorial climes, has so far been limited.<h4>Results</h4>A high-quality D. eleginoides genome was generated using a combination of Illumina, PacBio and Omni-C sequencing technologies. To aid the genome annotation, the transcriptome derived from a variety of toothfish tissues was also generated using both short and long read sequencing methods. The final genome assembly was 797.8 Mb with a N50 scaffold length of 3.5 Mb. Approximately 31.7% of the genome consisted of repetitive elements. A total of 35,543 putative protein-coding regions were identified, of which 50% have been functionally annotated. Transcriptomics analysis showed that approximately 64% of the predicted genes (22,617 genes) were found to be expressed in the tissues sampled. Comparative genomics analysis revealed that the anti-freeze glycoprotein (AFGP) locus of D. eleginoides does not contain any AFGP proteins compared to the same locus in the Antarctic toothfish (Dissostichus mawsoni). This is in agreement with previously published results looking at hybridization signals and confirms that Patagonian toothfish do not possess AFGP coding sequences in their genome.<h4>Conclusions</h4>We have assembled and annotated the Patagonian toothfish genome, which will provide a valuable genetic resource for ecological and evolutionary studies on this and other closely related species.",bio-resource,0.67169523,1,1,0.7466,1,1,38438840,-0.5,usage_kw=1,False,False,False,0,1,0,0.4974387,low,USAGE,v2_classifier_positive
40800421.0,A database of the healthy human spinal cord morphometry in the PAM50 template space.,"Measures of spinal cord morphometry computed from magnetic resonance images serve as relevant prognostic biomarkers for a range of spinal cord pathologies, including traumatic and non-traumatic spinal cord injury and neurodegenerative diseases. However, interpreting these imaging biomarkers is difficult due to considerable intra- and inter-subject variability. Yet, there is no clear consensus on a normalization method that would help reduce this variability and more insights into the distribution of these morphometrics are needed. In this study, we computed a database of normative values for six commonly used measures of spinal cord morphometry: cross-sectional area, anteroposterior diameter, transverse diameter, compression ratio, eccentricity, and solidity. Normative values were computed from a large open-access dataset of healthy adult volunteers (N = 203) and were brought to the common space of the PAM50 spinal cord template using a newly proposed normalization method based on linear interpolation. Compared to traditional image-based registration, the proposed normalization approach does not involve image transformations and, therefore, does not introduce distortions of spinal cord anatomy. This is a crucial consideration in preserving the integrity of the spinal cord anatomy in conditions such as spinal cord injury. This new morphometric database allows researchers to normalize based on sex and age, thereby minimizing inter-subject variability associated with demographic and biological factors. The proposed methodology is open-source and accessible through the Spinal Cord Toolbox (SCT) v6.0 and higher.",bio-resource,0.9821844,1,0,0.5867,0,1,40800421,1.0,title_pattern,False,True,False,0,0,0,0.4971265,low,USAGE,v2_classifier_positive
