entity_text,paper_count,pmids,entity_type,sources,mean_confidence
a large-scale,148,"34133301,34606616,34751401,34762062,34850920,34965209,34978816,34995810,35061704,35115730,35148686,35266814,35322042,35361129,35414083,35418686,35476708,35524165,35551187,35560102,35614129,35672420,35701428,35804309,35871305,35891459,36002623,36138192,36206939,36217209,36240175,36290362,36305606,36402876,36435886,36460664,36462373,36550122,36572655,36609528,36658144,36695636,36849466,36862304,36997553,36997558,37085533,37095326,37114803,37127590,37254048,37260770,37270525,37276105,37316673,37346615,37369643,37369770,37391755,37401369,37414795,37566336,37604823,37608227,37612327,37672078,37696845,37864541,37897352,37932332,37947586,37951952,37986215,38020426,38049850,38137911,38146309,38168493,38175665,38190692,38194403,38262912,38460190,38524309,38548995,38557696,38717988,38760409,38787331,38887841,38982288,38997427,39018385,39098889,39117342,39127730,39143093,39175133,39179613,39253773,39295118,39300134,39333468,39366993,39395021,39402640,39472552,39474508,39475123,39516209,39588755,39733351,39833831,39874126,39875412,39892777,39911793,39929845,39934999,39956814,39996155,40031432,40038328,40050312,40050377,40057526,40057530,40068681,40100670,40103760,40113206,40169596,40176120,40193364,40234567,40253396,40295551,40341999,40348739,40379686,40389829,40464151,40494666,40503884,40523877,40552981,40661340,40996719",FUL,ruler,1.0
PDB,132,"34606614,34643709,34718717,34747480,34755867,34791357,34850923,34864908,34865074,34986599,34999124,35013238,35150231,35230424,35289616,35301752,35318851,35403696,35420129,35503204,35507259,35589837,35609995,35674373,35695435,35763362,35809063,35883018,36071074,36137552,36173162,36259946,36269348,36300618,36304304,36305870,36321230,36329825,36453831,36464767,36532870,36545703,36555254,36846730,36853343,36950105,37010520,37045837,37052532,37123530,37207333,37232507,37316673,37340457,37522378,37625584,37750380,37768271,37791887,37833838,37876810,37881887,37889074,37933859,37941148,37953312,37956324,37977136,38015436,38042830,38109881,38160287,38166563,38177162,38218937,38491248,38548261,38552946,38587206,38597878,38619046,38630617,38665640,38665834,38682667,38686803,38711584,38718922,38783102,38787331,38803272,38844754,38894604,38936693,38984796,38995731,39019896,39053174,39066515,39171462,39402214,39402285,39470701,39475178,39497074,39506806,39544627,39565196,39565206,39607707,39630291,39657158,39700856,39876062,39894387,39906132,39947281,39961523,40029615,40036758,40054813,40100137,40133783,40133792,40133793,40338521,40348330,40349368,40400345,40402563,40588511,41171287",COM,ruler,1.0
KEGG,132,"32877338,34718748,34755844,34792145,34792158,34849572,34864890,34890150,34986599,34991451,35066208,35069236,35277961,35353641,35356545,35380657,35422973,35495109,35609982,35639928,35641095,35646087,35658913,35670335,35689503,35750913,35806459,36011344,36156625,36205845,36209090,36227552,36232367,36240205,36243962,36300620,36304333,36350646,36350663,36394420,36399505,36525367,36570897,36630461,36710017,36759759,36760999,36776551,36846778,36847572,36851706,37016293,37144459,37181657,37236669,37260078,37291174,37402625,37437088,37443790,37461161,37530223,37535671,37556429,37589022,37680201,37749380,37823598,37846038,37881892,37897343,37974081,37986230,38015957,38218959,38262929,38304337,38336614,38341646,38371639,38406264,38426351,38517778,38568768,38596315,38603733,38606287,38650009,38707541,38733902,38747283,38855325,38886444,38886663,38926513,38979651,38984674,38994817,39041916,39048957,39094712,39095899,39155985,39188114,39227781,39230701,39363510,39417505,39436594,39458342,39468922,39508840,39602824,39623009,39658041,39660842,39724366,39766814,39826711,39875845,39898450,39985759,40005591,40052362,40089661,40170166,40221653,40259421,40367087,40413228,40543694,40606672",COM,ruler,1.0
AlphaFold,126,"34718717,34755885,34791371,34791415,34999124,35149212,35412635,35445695,35481632,35489057,35503204,35513443,35561203,35603711,35609987,35609995,35610055,35883523,35995382,36012140,36108094,36169226,36208126,36243970,36256779,36269348,36304325,36318249,36382391,36399499,36408920,36419248,36499138,36532870,36624665,36624667,36755109,36853343,36917599,36920090,36933822,36960558,36961332,37093842,37112801,37127596,37140053,37144951,37207333,37243202,37296383,37401369,37435612,37464277,37562062,37589594,37686347,37704037,37781674,37889074,37933859,37956324,37977136,38015436,38016694,38018911,38038927,38043216,38148272,38160287,38166563,38324566,38329168,38385879,38416793,38548261,38552697,38552946,38569935,38603611,38738618,38781500,38783158,38842945,38844754,38979784,39053174,39148455,39171834,39237198,39243017,39283314,39413799,39424937,39436044,39441796,39500192,39504465,39530217,39535052,39540428,39558158,39565196,39565202,39592652,39672676,39693348,39700856,39894387,39947281,39961523,39977327,40015271,40133783,40133787,40133792,40326701,40338521,40400345,40411413,40424178,40425816,40433759,40526044,40677242,40728616",COM,ruler,1.0
UniProt,104,"34586352,34606614,34718696,34723319,34747465,34755880,34791357,34850820,34986599,34999124,35269930,35286768,35380657,35411389,35441674,35531270,35580044,35604553,35609995,35610035,35656322,35772910,36074804,36124803,36174933,36243970,36300618,36329825,36408920,36420896,36484697,36548962,36776141,36830638,36847572,36912607,36917599,37010519,37173739,37194023,37291365,37356897,37401369,37569821,37625584,37673902,37791887,37856620,37878810,37881887,37904411,37933859,37956324,37977136,37978560,37993103,37994376,37995287,38000392,38156953,38176651,38256255,38262929,38285683,38345567,38357349,38377393,38491248,38597606,38803272,38810119,38844754,39094861,39135888,39172982,39224509,39333508,39348753,39396964,39402285,39413799,39436044,39494541,39526405,39552041,39565206,39574394,39588754,39658041,39794252,39910485,39910777,39916697,39935019,40036758,40115771,40133793,40268234,40271025,40327749,40351053,40484097,40700252,41171287",COM,ruler,1.0
An open,94,"34636883,35073880,35152286,35217206,35313008,35332182,35469089,35651694,35652743,35731837,35858929,35945534,35998814,36002623,36126638,36148054,36208224,36441743,36513714,36535208,36595180,36621552,36693874,36745610,36934538,36963395,36991458,37031247,37053159,37100784,37253748,37261395,37369715,37384809,37450287,37468455,37474522,37498959,37507650,37555578,37612297,37620744,37689815,37787899,37851613,37925080,37930430,37965610,37990068,38044749,38054369,38082113,38181731,38233793,38253535,38326377,38351064,38362943,38424105,38469247,38605048,38635686,38663430,38774631,38860632,38906878,38976678,39071807,39100771,39117154,39242622,39257683,39283002,39304703,39349958,39382461,39386138,39406785,39466768,39521490,39628627,39813900,39986376,39999707,40062614,40099873,40188135,40229307,40239204,40263371,40355463,40527877,40800752,40996719",FUL,ruler,1.0
TCGA,94,"34469540,34500460,34554251,34647978,34718410,34718715,34791419,34850125,34927666,34985769,35078134,35266505,35284049,35388171,35414795,35561185,35561191,35595235,35640384,35642895,35715150,35743803,35760813,35789547,35801909,35950764,36002797,36263784,36267181,36287286,36305828,36321857,36330496,36350671,36454018,36477791,36568962,36675137,36695636,36760999,36812605,36861131,36911403,36922546,36924495,37112833,37227514,37260078,37491302,37540443,37587359,37678708,37707574,37843123,37870463,37897359,37990302,38160311,38206988,38244574,38303722,38436570,38487800,38517778,38596315,38717988,38770717,38824087,38828478,38940127,39009815,39053644,39085735,39128019,39137906,39143966,39192052,39227745,39289237,39386942,39476302,39530087,39558172,39558175,39588754,39656775,39897104,39952993,40033050,40082829,40225790,40423244,40432836,40447627",COM,ruler,1.0
CNN,93,"34996997,35042894,35165358,35281798,35290901,35378437,35443040,35459273,35484318,35688892,35698617,35845738,35999235,36124251,36175557,36203144,36289312,36404909,36564412,36696455,36738650,37079543,37168598,37323471,37369770,37397449,37697022,37822886,37880351,38012574,38083135,38274998,38277376,38285683,38370413,38409608,38431179,38431619,38585647,38598468,38625866,38641811,38649677,38660008,38664511,38679191,38775887,38781811,38805433,38865373,38889117,38893304,38901188,38910179,39044911,39111154,39134567,39198542,39312678,39333289,39361557,39389998,39391372,39496680,39539960,39550455,39556563,39557738,39564076,39625972,39714579,39721046,39738808,39747232,39757669,39809785,39875392,39890898,39930026,39956802,40038324,40065042,40113206,40148406,40160527,40221608,40234485,40251192,40355699,40368970,40380921,40389708,40601258",COM,statistical,1.0
GenBank,77,"34606614,34643715,34747487,34850161,34850941,34850943,34907805,35066390,35193498,35230423,35245325,35352997,35402671,35419039,35561186,35739750,35801940,35804320,35850574,35900347,36258067,36304333,36350640,36370100,36748495,36847572,36896476,36932341,37014908,37093820,37140037,37208388,37324662,37351774,37387170,37623730,37889039,37956405,37962425,37965601,37994677,38033626,38034874,38173983,38284937,38327367,38337869,38413941,38469226,38668652,38683333,38683336,38755321,38795067,38843230,38913867,39043393,39297389,39339826,39448688,39480818,39523951,39526373,39558184,39619293,39623597,39673069,39896240,39910485,39968379,39977364,40262134,40375280,40411446,40413396,40503051,40996718",COM,ruler,1.0
The Cancer Genome Atlas,75,"33226952,34469540,34500460,34850139,34927666,34985769,35078134,35138907,35164854,35284049,35438783,35512388,35524475,35561185,35561191,35640384,35662462,35715150,35789547,35801909,35950764,35972351,36002797,36069866,36095221,36173247,36263784,36267181,36330496,36473963,36568962,36637211,36675137,36695636,36760999,36812605,36911403,36924495,37112833,37227514,37260078,37387181,37454191,37491302,37540443,37548539,37587359,37707574,37843123,37870463,38023732,38091511,38206988,38300514,38436570,38487800,38629623,38717988,38824087,38840833,39009815,39128019,39178387,39213211,39219717,39223350,39227745,39289237,39386942,39656775,39704703,40050282,40447627,40448503,40971591",FUL,ruler,1.0
