pmid,title,url,domain,intro_source
32070994,A Refined 3-in-1 Fused Protein Similarity Measure: Application in Threshold-Free Hub Detection.,http://csse.szu.edu.cn/staff/cuilz/eng/index.html,csse.szu.edu.cn,high_linguistic_score
33237866,SEDA: A Desktop Tool Suite for FASTA Files Processing.,https://github.com/sing-group/seda,github.com,high_linguistic_score
33237866,SEDA: A Desktop Tool Suite for FASTA Files Processing.,https://www.sing-group.org/seda/,www.sing-group.org,high_linguistic_score
34255632,TNet: Transmission Network Inference Using Within-Host Strain Diversity and its Application to Geographical Tracking of COVID-19 Spread.,https://compbio.engr.uconn.edu/software/TNet/,compbio.engr.uconn.edu,high_linguistic_score
34297061,miRAnno-network-based functional microRNA annotation.,https://ophid.utoronto.ca/miRAnno/,ophid.utoronto.ca,high_linguistic_score
34302483,piRNAclusterDB 2.0: update and expansion of the piRNA cluster database.,https://www.smallrnagroup.uni-mainz.de/piRNAclusterDB,www.smallrnagroup.uni-mainz.de,high_linguistic_score
34320637,rPanglaoDB: an R package to download and merge labeled single-cell RNA-seq data from the PanglaoDB database.,https://CRAN.R-project.org/package=rPanglaoDB,cran.r-project.org,high_linguistic_score
34322854,"lab.js: A free, open, online study builder.",https://lab.js.org/,lab.js.org,high_linguistic_score
34387689,EVAtlas: a comprehensive database for ncRNA expression in human extracellular vesicles.,http://bioinfo.life.hust.edu.cn/EVAtlas,bioinfo.life.hust.edu.cn,high_linguistic_score
34390348,DRAMP 3.0: an enhanced comprehensive data repository of antimicrobial peptides.,http://dramp.cpu-bioinfor.org/,dramp.cpu-bioinfor.org,high_linguistic_score
34396391,T-CoV: a comprehensive portal of HLA-peptide interactions affected by SARS-CoV-2 mutations.,https://t-cov.hse.ru,t-cov.hse.ru,high_linguistic_score
34403477,POSTAR3: an updated platform for exploring post-transcriptional regulation coordinated by RNA-binding proteins.,http://postar.ncrnalab.org,postar.ncrnalab.org,high_linguistic_score
34415321,"GAMMA: a tool for the rapid identification, classification and annotation of translated gene matches from sequencing data.",https://bioconda.github.io/recipes/gamma/README.html,bioconda.github.io,high_linguistic_score
