row_num,best_name,paper_titles,best_name_updated,full_name_updated,confidence,notes
1,MINTbase,MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments. | MINTbase v2.0: a comprehensive database for tRNA-derived fragments that includes nuclear and mitoch...,MINTbase,MINTbase,HIGH,No expansion in title - using short name
2,NCBI,Fungal genome resources at NCBI. | Database Resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resour...,NCBI,NCBI,HIGH,No expansion in title - using short name
3,DEG,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements. | Gene essentiality analysis based on DEG 10, an updated database of essent...",DEG,DEG,HIGH,No expansion in title - using short name
4,pHLA3D,"pHLA3D: An online database of predicted three-dimensional structures of HLA molecules. | pHLA3D: Updating the database of predicted three-dimensional structures of HLA with HLA-DR, HLA-DQ and HLA-DP m...",pHLA3D,pHLA3D,HIGH,No expansion in title - using short name
5,zfRegeneration,zfRegeneration: a database for gene expression profiling during regeneration. | zfRegeneration: a database for gene expression profiling during regeneration.,zfRegeneration,zfRegeneration,HIGH,No expansion in title - using short name
6,EMBL-EBI,The European Bioinformatics Institute's data resources 2014. | The EMBL-EBI search and sequence analysis tools APIs in 2019.,EMBL-EBI,EMBL-EBI,HIGH,No expansion in title - using short name
7,LC-MS,"Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803. | Integrated approach using multistep enzyme digestion, TiO2 enrichment, and database search...",LC-MS,LC-MS,HIGH,No expansion in title - using short name
8,braingraph.org ,The braingraph.org database of high resolution structural connectomes and the brain graph tools. | Mapping correlations of psychological and structural connectome properties of the dataset of the huma...,braingraph.org,braingraph.org,HIGH,No expansion in title - using short name
9,CSCS,CSCS: a chromatin state interface for Chinese Spring bread wheat.,CSCS,CSCS,HIGH,No expansion in title - using short name
10,ORFik,ORFik: a comprehensive R toolkit for the analysis of translation.,ORFik,ORFik,HIGH,No expansion in title - using short name
11,SAROTUP,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,SAROTUP,SAROTUP,HIGH,No expansion in title - using short name
12,OncoPaD,Rational design of cancer gene panels with OncoPaD.,OncoPaD,OncoPaD,HIGH,No expansion in title - using short name
13,Proxl,"Proxl (Protein Cross-Linking Database): A Public Server, QC Tools, and Other Major Updates.",Proxl,Protein Cross-Linking,HIGH,Explicit expansion: NAME (Full Name)
14,UGENE,Shared bioinformatics databases within the Unipro UGENE platform. | Flexible design of multiple metagenomics classification pipelines with UGENE.,UGENE,UGENE,HIGH,No expansion in title - using short name
15,LIVECAT,Introduction to the LIVECAT web-based computerized adaptive testing platform.,LIVECAT,LIVECAT,HIGH,No expansion in title - using short name
16,PSICQUIC,A new reference implementation of the PSICQUIC web service.,PSICQUIC,PSICQUIC,HIGH,No expansion in title - using short name
17,OASIS,Introducing the Open Affective Standardized Image Set (OASIS).,OASIS,Open Affective Standardized Image Set,HIGH,Explicit expansion: Full Name (NAME)
18,ProteinHistorian,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,ProteinHistorian,ProteinHistorian,HIGH,No expansion in title - using short name
19,CDAO-store,CDAO-store: ontology-driven data integration for phylogenetic analysis.,CDAO-store,CDAO-store,HIGH,No expansion in title - using short name
20,MetaboAnalyst,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,MetaboAnalyst,MetaboAnalyst,HIGH,No expansion in title - using short name
21,AusTraits,"AusTraits, a curated plant trait database for the Australian flora.",AusTraits,AusTraits,HIGH,No expansion in title - using short name
22,GloNAF,The Global Naturalized Alien Flora (GloNAF) database.,GloNAF,Global Naturalized Alien Flora,HIGH,Explicit expansion: Full Name (NAME)
23,ORIO,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,ORIO,Online Resource for Integrative Omics,HIGH,Explicit expansion: NAME (Full Name)
24,ConnecTF,ConnecTF: A platform to integrate transcription factor-gene interactions and validate regulatory networks.,ConnecTF,ConnecTF,HIGH,No expansion in title - using short name
25,MaizeSNPDB,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,MaizeSNPDB,MaizeSNPDB,HIGH,No expansion in title - using short name
26,APICURON,APICURON: a database to credit and acknowledge the work of biocurators.,APICURON,APICURON,HIGH,No expansion in title - using short name
27,SolRgene,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,SolRgene,SolRgene,HIGH,No expansion in title - using short name
28,RegenBase,RegenBase: a knowledge base of spinal cord injury biology for translational research.,RegenBase,RegenBase,HIGH,No expansion in title - using short name
29,Ontobee,"Ontobee: A linked ontology data server to support ontology term dereferencing, linkage, query and integration.",Ontobee,Ontobee,HIGH,No expansion in title - using short name
30,Vaxvec,Vaxvec: The first web-based recombinant vaccine vector database and its data analysis.,Vaxvec,Vaxvec,HIGH,No expansion in title - using short name
31,WHONDRS,WHONDRS: a Community Resource for Studying Dynamic River Corridors.,WHONDRS,WHONDRS,HIGH,No expansion in title - using short name
32,BADERI,BADERI: an online database to coordinate handsearching activities of controlled clinical trials for their potential inclusion in systematic reviews.,BADERI,BADERI,HIGH,No expansion in title - using short name
33,FishNET,FishNET: An automated relational database for zebrafish colony management.,FishNET,FishNET,HIGH,No expansion in title - using short name
34,BindingDB,"BindingDB in 2015: A public database for medicinal chemistry, computational chemistry and systems pharmacology.",BindingDB,BindingDB,HIGH,No expansion in title - using short name
35,PINOT,PINOT: an intuitive resource for integrating protein-protein interactions.,PINOT,PINOT,HIGH,No expansion in title - using short name
36,HAMAP,"HAMAP in 2013, new developments in the protein family classification and annotation system. | HAMAP in 2015: updates to the protein family classification and annotation system.",HAMAP,HAMAP,HIGH,No expansion in title - using short name
37,Colil,Colil: a database and search service for citation contexts in the life sciences domain.,Colil,Colil,HIGH,No expansion in title - using short name
38,CDEK,CDEK: Clinical Drug Experience Knowledgebase.,CDEK,CDEK,HIGH,No expansion in title - using short name
39,circ2GO,circ2GO: A Database Linking Circular RNAs to Gene Function.,circ2GO,circ2GO,HIGH,No expansion in title - using short name
40,ZEBrA,ZEBrA: Zebra finch Expression Brain Atlas-A resource for comparative molecular neuroanatomy and brain evolution studies.,ZEBrA,ZEBrA,HIGH,No expansion in title - using short name
41,SEAweb,SEAweb: the small RNA Expression Atlas web application.,SEAweb,SEAweb,HIGH,No expansion in title - using short name
42,HIPPIE,HIPPIE v2.0: enhancing meaningfulness and reliability of protein-protein interaction networks.,HIPPIE,HIPPIE,HIGH,No expansion in title - using short name
