row_num,best_name,paper_titles,best_name_updated,full_name_updated,confidence,notes
2,DRUMS,DRUMS: Disk Repository with Update Management and Select option for high throughput sequencing data.,DRUMS,Disk Repository with Update Management and Select option,HIGH,Explicit expansion: 'DRUMS: Disk Repository with Update Management and Select option'
3,Pathos,Pathos: a web facility that uses metabolic maps to display experimental changes in metabolites identified by mass spectrometry.,Pathos,Pathos,HIGH,No explicit expansion in title
4,ChromoZoom,"ChromoZoom: a flexible, fluid, web-based genome browser.",ChromoZoom,ChromoZoom,HIGH,No explicit expansion in title
5,SIDER,The SIDER database of drugs and side effects.,SIDER,SIDER,HIGH,No explicit expansion in title
6,RaptorX,RaptorX server: a resource for template-based protein structure modeling.,RaptorX,RaptorX,HIGH,No explicit expansion in title
7,EDGAR,EDGAR 2.0: an enhanced software platform for comparative gene content analyses.,EDGAR,EDGAR,HIGH,No explicit expansion in title
8,BioMart,"The BioMart community portal: an innovative alternative to large, centralized data repositories.",BioMart,BioMart,HIGH,No explicit expansion in title
9,RDmap,RDmap: a map for exploring rare diseases.,RDmap,RDmap,HIGH,No explicit expansion in title
10,ConsRM,"ConsRM: collection and large-scale prediction of the evolutionarily conserved RNA methylation sites, with implications for the functional epitranscriptome.",ConsRM,ConsRM,HIGH,No explicit expansion in title
11,InteractoMIX,Galaxy InteractoMIX: An Integrated Computational Platform for the Study of Protein-Protein Interaction Data.,InteractoMIX,InteractoMIX,HIGH,No explicit expansion in title
12,RDMLdb,RDML-Ninja and RDMLdb for standardized exchange of qPCR data.,RDMLdb,RDMLdb,HIGH,No explicit expansion in title
13,Kakila,"Kakila database: Towards a FAIR community approved database of cetacean presence in the waters of the Guadeloupe Archipelago, based on citizen science.",Kakila,Kakila,HIGH,No explicit expansion in title
14,lycositeAtlas,<i>N</i>-GlycositeAtlas: a database resource for mass spectrometry-based human N-linked glycoprotein and glycosylation site mapping.,lycositeAtlas,lycositeAtlas,HIGH,No explicit expansion in title
15,Metabolomics Workbench,"Metabolomics Workbench: An international repository for metabolomics data and metadata, metabolite standards, protocols, tutorials and training, and analysis tools.",Metabolomics Workbench,Metabolomics Workbench,HIGH,No explicit expansion in title
16,CHRS,"The CHRS Data Portal, an easily accessible public repository for PERSIANN global satellite precipitation data.",CHRS,CHRS,HIGH,No explicit expansion in title
17,EnhancerDB,EnhancerDB: a resource of transcriptional regulation in the context of enhancers.,EnhancerDB,EnhancerDB,HIGH,No explicit expansion in title
18,MalarImDB,MalarImDB: an open-access literature-based malaria immunology database.,MalarImDB,MalarImDB,HIGH,No explicit expansion in title
