row_num,best_name,paper_titles,best_name_updated,full_name_updated,confidence,notes
1,StreptomycesInforSys,StreptomycesInforSys: A web-enabled information repository.,StreptomycesInforSys,StreptomycesInforSys,HIGH,No expansion in title
2,World Spider Trait,The World Spider Trait database: a centralized global open repository for curated data on spider traits.,World Spider Trait,World Spider Trait,HIGH,Full name explicitly in title
3,Cell-culture Database,Cell-culture Database: Literature-based reference tool for human and mammalian experimentallybased cell culture applications.,Cell-culture Database,Cell-culture Database,HIGH,No expansion in title
4,CR10,CR10-A PUBLIC DATABASE OF COSMIC RADIATION MEASUREMENTS AT AVIATION ALTITUDES OF ABOUT 10 KM.,CR10,CR10,HIGH,No expansion in title
5,GETC,An informatics research platform to make public gene expression time-course datasets reusable for more scientific discoveries.,GETC,GETC,HIGH,No expansion in title
6,Icpagdb,An atlas connecting shared genetic architecture of human diseases and molecular phenotypes provides insight into COVID-19 susceptibility.,Icpagdb,Icpagdb,HIGH,No expansion in title
7,Cancercellnet,Evaluating the transcriptional fidelity of cancer models.,Cancercellnet,Cancercellnet,HIGH,No expansion in title
8,Deepfri,Structure-based protein function prediction using graph convolutional networks.,Deepfri,Deepfri,HIGH,No expansion in title
9,Cocomac,Hundreds of brain maps in one atlas: registering coordinate-independent primate neuro-anatomical data to a standard brain.,Cocomac,Cocomac,HIGH,No expansion in title
10,SEEK,Targeted exploration and analysis of large cross-platform human transcriptomic compendia.,SEEK,SEEK,HIGH,No expansion in title
11,Orfeome,Generating genomic platforms to study Candida albicans pathogenesis.,Orfeome,Orfeome,HIGH,No expansion in title
12,K-scd,Database of synesthetic color associations for Japanese kanji.,K-scd,K-scd,HIGH,No expansion in title
13,RENIS,"Patients with advanced and metastatic renal cell carcinoma treated with targeted therapy in the Czech Republic: twenty cancer centres, six agents, one database.",RENIS,RENIS,HIGH,No expansion in title
14,Meta-inventory,A deep database of medical abbreviations and acronyms for natural language processing.,Meta-inventory,Meta-inventory,HIGH,No expansion in title
15,CCTOP,The human transmembrane proteome.,CCTOP,CCTOP,HIGH,No expansion in title
16,Gotrack,Monitoring changes in the Gene Ontology and their impact on genomic data analysis.,Gotrack,Gotrack,HIGH,No expansion in title
17,FUSION,A Genome-wide Functional Signature Ontology Map and Applications to Natural Product Mechanism of Action Discovery.,FUSION,FUSION,HIGH,No expansion in title
18,Vactarbac,A Web Resource for Designing Subunit Vaccine Against Major Pathogenic Species of Bacteria.,Vactarbac,Vactarbac,HIGH,No expansion in title
19,Vertion,Integrated querying and version control of context-specific biological networks.,Vertion,Vertion,HIGH,No expansion in title
20,Harvestmen,"Harvestmen occurrence database (Arachnida, Opiliones) of the Museu Paraense Emílio Goeldi, Brazil.",Harvestmen,Harvestmen,HIGH,No expansion in title
21,GEMSE,Explorative visual analytics on interval-based genomic data and their metadata.,GEMSE,GEMSE,HIGH,No expansion in title
