"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"1","ioArchLinux","BioArchLinux: community-driven fresh reproducible software repository for life sciences.","BioArchLinux","BioArchLinux","HIGH","No expansion in title"
"2","DLiP","DLiP-PPI library: An integrated chemical database of small-to-medium-sized molecules targeting protein-protein interactions.","DLiP","DLiP","HIGH","No expansion in title"
"3","Ontoavida","Ontology for the Avida digital evolution platform.","Ontoavida","Ontoavida","HIGH","No expansion in title"
"4","FL-circAS","FL-circAS: an integrative resource and analysis for full-length sequences and alternative splicing of circular RNAs with nanopore sequencing.","FL-circAS","FL-circAS","HIGH","No expansion in title"
"5","ENTRAF","ENcyclopedia of TRAnscription Factors in Bacteria and Archaea genomes (ENTRAF) version 2.0.","ENTRAF","ENcyclopedia of TRAnscription Factors","HIGH","Expansion explicit before acronym in parentheses"
"6","LiPBD","Data resource profile: Scottish Linked Pregnancy and Baby Dataset (SLiPBD).","SLiPBD","Scottish Linked Pregnancy and Baby Dataset","HIGH","Expansion explicit before acronym in parentheses"
"7","GDP","Generic Diagramming Platform (GDP): a comprehensive database of high-quality biomedical graphics.","GDP","Generic Diagramming Platform","HIGH","Expansion explicit before acronym in parentheses"
"8","Polarity-JaM","Polarity-JaM: an image analysis toolbox for cell polarity, junction and morphology quantification.","Polarity-JaM","Polarity-JaM","HIGH","No expansion in title"
"9","SG-ML-PLAP","SG-ML-PLAP: A structure-guided machine learning-based scoring function for protein-ligand binding affinity prediction.","SG-ML-PLAP","SG-ML-PLAP","HIGH","No expansion in title"
"10","penVariant","OpenVariant: a toolkit to parse and operate multiple input file formats.","OpenVariant","OpenVariant","HIGH","No expansion in title"
"11","-LacFamPred","β-LacFamPred: An online tool for prediction and classification of β-lactamase class, subclass, and family.","β-LacFamPred","β-LacFamPred","HIGH","No expansion in title"
"12","ynBioTools","SynBioTools: a one-stop facility for searching and selecting synthetic biology tools.","SynBioTools","SynBioTools","HIGH","No expansion in title"
"13","IResist","HIResist: a database of HIV-1 resistance to broadly neutralizing antibodies.","HIResist","HIResist","HIGH","No expansion in title"
"14","EPREP","GEPREP: A comprehensive data atlas of RNA-seq-based gene expression profiles of exercise responses.","GEPREP","GEPREP","HIGH","No expansion in title"
"15","FAIR","The FAIR database: facilitating access to public health research literature.","FAIR","FAIR","HIGH","No expansion in title"
"16","SFKIT","sfkit: a web-based toolkit for secure and federated genomic analysis.","sfkit","sfkit","HIGH","No expansion in title"
"17","g:Profiler","g:Profiler-interoperable web service for functional enrichment analysis and gene identifier mapping (2023 update).","g:Profiler","g:Profiler","HIGH","No expansion in title"
"18","Localpdb","localpdb-a Python package to manage protein structures and their annotations.","localpdb","localpdb","HIGH","No expansion in title"
"19","miRNATissueAtlas","miRNATissueAtlas 2025: an update to the uniformly processed and annotated human and mouse non-coding RNA tissue atlas.","miRNATissueAtlas","miRNATissueAtlas","HIGH","No expansion in title"
"20","EGO-CSM","LEGO-CSM: a tool for functional characterization of proteins.","LEGO-CSM","LEGO-CSM","HIGH","No expansion in title"
"21","Fungtion","Fungtion: A Server for Predicting and Visualizing Fungal Effector Proteins.","Fungtion","Fungtion","HIGH","No expansion in title"
"22","Nmix","Nmix: a hybrid deep learning model for precise prediction of 2'-O-methylation sites based on multi-feature fusion and ensemble learning.","Nmix","Nmix","HIGH","No expansion in title"
"23","Pf-HaploAtlas","Pf-HaploAtlas: an interactive web app for spatiotemporal analysis of Plasmodium falciparum genes.","Pf-HaploAtlas","Pf-HaploAtlas","HIGH","No expansion in title"
"24","PneumoBrowse 2","PneumoBrowse 2: an integrated visual platform for curated genome annotation and multiomics data analysis of Streptococcus pneumoniae.","PneumoBrowse 2","PneumoBrowse 2","HIGH","No expansion in title"
"25","MULEA","mulea: An R package for enrichment analysis using multiple ontologies and empirical false discovery rate.","mulea","mulea","HIGH","No expansion in title"
"26","NMPID","rNMPID: a database for riboNucleoside MonoPhosphates in DNA.","rNMPID","rNMPID","HIGH","No expansion in title"
"27","xpOmics","ExpOmics: a comprehensive web platform empowering biologists with robust multi-omics data analysis capabilities.","ExpOmics","ExpOmics","HIGH","No expansion in title"
"28","econdary Metabolite Transcriptomic Pipeline","Secondary Metabolite Transcriptomic Pipeline (SeMa-Trap), an expression-based exploration tool for increased secondary metabolite production in bacteria.","SeMa-Trap","Secondary Metabolite Transcriptomic Pipeline","HIGH","Expansion explicit before acronym in parentheses"
"29","2CDB","C2CDB: an advanced platform integrating comprehensive information and analysis tools of cancer-related circRNAs.","C2CDB","C2CDB","HIGH","No expansion in title"
"30","PlantFUN","PlantFUNCO: Integrative Functional Genomics Database Reveals Clues into Duplicates Divergence Evolution.","PlantFUNCO","PlantFUNCO","HIGH","No expansion in title"
"31","ellTrackVis","CellTrackVis: interactive browser-based visualization for analyzing cell trajectories and lineages.","CellTrackVis","CellTrackVis","HIGH","No expansion in title"
"32","pLM-BLAST","pLM-BLAST: distant homology detection based on direct comparison of sequence representations from protein language models.","pLM-BLAST","pLM-BLAST","HIGH","No expansion in title"
"33","MRtist","NMRtist: an online platform for automated biomolecular NMR spectra analysis.","NMRtist","NMRtist","HIGH","No expansion in title"
"34","NP-TCMtarget","NP-TCMtarget: a network pharmacology platform for exploring mechanisms of action of traditional Chinese medicine.","NP-TCMtarget","NP-TCMtarget","HIGH","No expansion in title"
"35","GATOM","Shiny GATOM: omics-based identification of regulated metabolic modules in atom transition networks.","GATOM","GATOM","HIGH","No expansion in title"
"36","SysteMHC Atlas","The SysteMHC Atlas v2.0, an updated resource for mass spectrometry-based immunopeptidomics.","SysteMHC Atlas","SysteMHC Atlas","HIGH","No expansion in title"
"37","AMICA","amica: an interactive and user-friendly web-platform for the analysis of proteomics data.","amica","amica","HIGH","No expansion in title"
"38","PragMeta","Meta-research on pragmatism of randomized trials: rationale and design of the PragMeta database.","PragMeta","PragMeta","HIGH","No expansion in title"
"39","MI-System","Multi-ethnic Imputation System (MI-System): A genotype imputation server for high-dimensional data.","MI-System","Multi-ethnic Imputation System","HIGH","Expansion explicit before acronym in parentheses"
"40","BMC Caller","BMC Caller: a webtool to identify and analyze bacterial microcompartment types in sequence data.","BMC Caller","BMC Caller","HIGH","No expansion in title"
"41","CYCLOPEp Builder","CYCLOPEp Builder: Facilitating cyclic peptide and nanotube research through a user-friendly web platform.","CYCLOPEp Builder","CYCLOPEp Builder","HIGH","No expansion in title"
"42","Multiomix","Multiomix: a cloud-based platform to infer cancer genomic and epigenomic events associated with gene expression modulation.","Multiomix","Multiomix","HIGH","No expansion in title"
"43","HADDOCK2","The HADDOCK2.4 web server for integrative modeling of biomolecular complexes.","HADDOCK2.4","HADDOCK2.4","HIGH","No expansion in title"
"44","Graph Theoretical Analysis Of Task-related Functional Dynamics","GAT-FD: An integrated MATLAB toolbox for graph theoretical analysis of task-related functional dynamics.","GAT-FD","GAT-FD","HIGH","No expansion in title"
"45","Emoji-SP","Emoji-SP, the Spanish emoji database: Visual complexity, familiarity, frequency of use, clarity, and emotional valence and arousal norms for 1031 emojis.","Emoji-SP","Emoji-SP","HIGH","No expansion in title"
"46","RED-LD","PRED-LD: efficient imputation of GWAS summary statistics.","PRED-LD","PRED-LD","HIGH","No expansion in title"
"47","Rice Online Expression Profiles Array Database Version","The Rice Online Expression Profiles Array Database Version 2 (ROADv2): An Interactive Atlas for Rice Functional Genomics.","ROADv2","Rice Online Expression Profiles Array Database Version 2","HIGH","Expansion explicit before acronym in parentheses"
"48","PDCM Finder","PDCM Finder: an open global research platform for patient-derived cancer models.","PDCM Finder","PDCM Finder","HIGH","No expansion in title"
