"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"1","Eventer","Reproducible supervised learning-assisted classification of spontaneous synaptic waveforms with Eventer.","Eventer","Eventer","HIGH","No expansion in title"
"2","Rice Genome Annotation Project","The rice genome annotation project: an updated database for mining the rice genome.","Rice Genome Annotation Project","Rice Genome Annotation Project","HIGH","Already descriptive name"
"3","MarpolBase Expression","MarpolBase Expression: A Web-Based, Comprehensive Platform for Visualization and Analysis of Transcriptomes in the Liverwort Marchantia polymorpha.","MarpolBase Expression","MarpolBase Expression","HIGH","No expansion in title"
"4","RodentGPOmics","The RodentGPOmics Atlas: a comprehensive database of rodent biology for genomes and pathogens.","RodentGPOmics","RodentGPOmics","HIGH","No expansion in title"
"5","Lion Localizer","Lion Localizer: A software tool for inferring the provenance of lions (Panthera leo) using mitochondrial DNA.","Lion Localizer","Lion Localizer","HIGH","No expansion in title"
"6","Bioinformatics","Bioinformatics for Dentistry: A secondary database for the genetics of tooth development.","Bioinformatics for Dentistry","Bioinformatics for Dentistry","HIGH","No expansion in title"
"7","AutoMCS Navigator","Mapping autophagy-related membrane contact site proteins and complexes with AutoMCS Navigator.","AutoMCS Navigator","AutoMCS Navigator","HIGH","No expansion in title"
"8","huggingface","Mutual annotation-based prediction of protein domain functions with Domain2GO.","Domain2GO","Domain2GO","HIGH","No expansion in title"
"9","Simple Standard for Sharing","A Simple Standard for Sharing Ontological Mappings (SSSOM).","SSSOM","Simple Standard for Sharing Ontological Mappings","HIGH","Expansion explicit before acronym in parentheses"
"10","Survival Genie","Survival Genie, a web platform for survival analysis across pediatric and adult cancers.","Survival Genie","Survival Genie","HIGH","No expansion in title"
"11","CIG","PCIG: a web-based application to explore immune-genomics interactions across cancer types.","PCIG","PCIG","HIGH","No expansion in title"
"12","ERITS","MERITS: a web-based integrated Mycobacterial PE/PPE protein database.","MERITS","MERITS","HIGH","No expansion in title"
"13","SRplot","SRplot: A free online platform for data visualization and graphing.","SRplot","SRplot","HIGH","No expansion in title"
"14","TPCN","A terpenoids database with the chemical content as a novel agronomic trait.","TPCN","TPCN","HIGH","No expansion in title"
"15","CMM-","CMM-An enhanced platform for interactive validation of metal binding sites.","CMM","CMM","HIGH","No expansion in title"
"16","NPM","NPM: latent batch effects correction of omics data by nearest-pair matching.","NPM","NPM","HIGH","No expansion in title"
"17","Metapone","Metapone: a Bioconductor package for joint pathway testing for untargeted metabolomics data.","Metapone","Metapone","HIGH","No expansion in title"
