"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"1","GelFAP","GelFAP v2.0: an improved platform for Gene functional analysis in Gastrodia elata.","GelFAP","GelFAP","HIGH","No expansion in title"
"2","PPGR","PPGR: a comprehensive perennial plant genomes and regulation database.","PPGR","PPGR","HIGH","No expansion in title"
"3","AntiBody Sequence Database","AntiBody Sequence Database.","AntiBody Sequence Database","AntiBody Sequence Database","HIGH","Already descriptive name"
"4","AgeMeta","AgeMeta: Quantitative Gene Expression Database of Mammalian Aging.","AgeMeta","AgeMeta","HIGH","No expansion in title"
"5","TCM-Suite","TCM-Suite: A comprehensive and holistic platform for Traditional Chinese Medicine component identification and network pharmacology analysis.","TCM-Suite","TCM-Suite","HIGH","No expansion in title"
"6","MassKG","Knowledge-based in silico fragmentation and annotation of mass spectra for natural products with MassKG.","MassKG","MassKG","HIGH","No expansion in title"
"7","BCMA","BCMA: An integrative and versatile database for multi-scale and multi-omics molecular atlas of breast cancer.","BCMA","BCMA","HIGH","No expansion in title"
"8","RBAD","RBAD: the first database dedicated alterations of blood RNA in individuals with Alzheimer's disease and their clinical relevance.","RBAD","RBAD","HIGH","No expansion in title"
"9","PatternLab","Simple, efficient and thorough shotgun proteomic analysis with PatternLab V.","PatternLab","PatternLab","HIGH","No expansion in title"
"10","GSEApy","GSEApy: a comprehensive package for performing gene set enrichment analysis in Python.","GSEApy","GSEApy","HIGH","No expansion in title"
"11","OrthoVenn3","OrthoVenn3: an integrated platform for exploring and visualizing orthologous data across genomes.","OrthoVenn3","OrthoVenn3","HIGH","No expansion in title"
"12","CropMetabolome","CropMetabolome: a comprehensive metabolome database for major crops cross eight categories.","CropMetabolome","CropMetabolome","HIGH","No expansion in title"
"13","GENECI","GENECI: A novel evolutionary machine learning consensus-based approach for the inference of gene regulatory networks.","GENECI","GENECI","HIGH","No expansion in title"
"14","dbMisLoc","dbMisLoc: A Manually Curated Database of Conditional Protein Mis-localization Events.","dbMisLoc","dbMisLoc","HIGH","No expansion in title"
"15","AllerCatPro","AllerCatPro 2.0: a web server for predicting protein allergenicity potential.","AllerCatPro","AllerCatPro","HIGH","No expansion in title"
"16","SourceFinder","SourceFinder: a Machine-Learning-Based Tool for Identification of Chromosomal, Plasmid, and Bacteriophage Sequences from Assemblies.","SourceFinder","SourceFinder","HIGH","No expansion in title"
"17","Genomics 2 Proteins portal","Genomics 2 Proteins portal: a resource and discovery tool for linking genetic screening outputs to protein sequences and structures.","Genomics 2 Proteins portal","Genomics 2 Proteins portal","HIGH","Already descriptive name"
"18","PharMeBINet","The heterogeneous pharmacological medical biochemical network PharMeBINet.","PharMeBINet","PharMeBINet","HIGH","No expansion in title"
"19","CropGS-Hub","CropGS-Hub: a comprehensive database of genotype and phenotype resources for genomic prediction in major crops.","CropGS-Hub","CropGS-Hub","HIGH","No expansion in title"
"20","CoSFISH","CoSFISH: a comprehensive reference database of COI and 18S rRNA barcodes for fish.","CoSFISH","CoSFISH","HIGH","No expansion in title"
"21","SesamumGDB","SesamumGDB: a comprehensive platform for Sesamum genetics and genomics analysis.","SesamumGDB","SesamumGDB","HIGH","No expansion in title"
"22","OrganogenesisDB","OrganogenesisDB: A Comprehensive Database Exploring the Cell-Type Identities and Gene Expression Dynamics during Organogenesis.","OrganogenesisDB","OrganogenesisDB","HIGH","No expansion in title"
"23","MariClus","MariClus: Your One-Stop Platform for Information on Marine Natural Products, Their Gene Clusters and Producing Organisms.","MariClus","MariClus","HIGH","No expansion in title"
"24","CobVar","CobVar-a comprehensive resource of vitamin B12-associated genomic variants.","CobVar","CobVar","HIGH","No expansion in title"
"25","VISTA","VISTA: A Tool for Fast Taxonomic Assignment of Viral Genome Sequences.","VISTA","VISTA","HIGH","No expansion in title"
"26","dbEBV","dbEBV: A database of Epstein-Barr virus variants and their correlations with human health.","dbEBV","dbEBV","HIGH","No expansion in title"
"27","Sound-Swapped Video","Development and Evaluation of a Sound-Swapped Video Database for Misophonia.","Sound-Swapped Video Database","Sound-Swapped Video Database","HIGH","No expansion in title"
"28","sCentInDB","sCentInDB: a database of essential oil chemical profiles of Indian medicinal plants.","sCentInDB","sCentInDB","HIGH","No expansion in title"
"29","VariantHunter","VariantHunter: a method and tool for fast detection of emerging SARS-CoV-2 variants.","VariantHunter","VariantHunter","HIGH","No expansion in title"
"30","CropGF","CropGF: a comprehensive visual platform for crop gene family mining and analysis.","CropGF","CropGF","HIGH","No expansion in title"
"31","ddinter","DDInter 2.0: an enhanced drug interaction resource with expanded data coverage, new interaction types, and improved user interface.","DDInter","DDInter","HIGH","No expansion in title"
"32","sc2MeNetDrug","sc2MeNetDrug: A computational tool to uncover inter-cell signaling targets and identify relevant drugs based on single cell RNA-seq data.","sc2MeNetDrug","sc2MeNetDrug","HIGH","No expansion in title"
"33","iPhylo","The iPhylo suite: an interactive platform for building and annotating biological and chemical taxonomic trees.","iPhylo","iPhylo","HIGH","No expansion in title"
"34","3DVizSNP","3DVizSNP: a tool for rapidly visualizing missense mutations identified in high throughput experiments in iCn3D.","3DVizSNP","3DVizSNP","HIGH","No expansion in title"
"35","FerroLigandDB","FerroLigandDB: A Ferroptosis Ligand Database of Structure-Activity Relations.","FerroLigandDB","FerroLigandDB","HIGH","No expansion in title"
"36","ccTCM","ccTCM: A quantitative component and compound platform for promoting the research of traditional Chinese medicine.","ccTCM","ccTCM","HIGH","No expansion in title"
"37","ProfhEX","ProfhEX: AI-based platform for small molecules liability profiling.","ProfhEX","ProfhEX","HIGH","No expansion in title"
"38","RIscoper","RIscoper 2.0: A deep learning tool to extract RNA biomedical relation sentences from literature.","RIscoper","RIscoper","HIGH","No expansion in title"
"39","TSCRE","TSCRE: a comprehensive database for tumor-specific cis-regulatory elements.","TSCRE","TSCRE","HIGH","No expansion in title"
"40","sRNAminer","sRNAminer: A multifunctional toolkit for next-generation sequencing small RNA data mining in plants.","sRNAminer","sRNAminer","HIGH","No expansion in title"
"41","PMTPred","PMTPred: machine-learning-based prediction of protein methyltransferases using the composition of k-spaced amino acid pairs.","PMTPred","PMTPred","HIGH","No expansion in title"
"42","SAXS","Visualizing and accessing correlated SAXS data sets with Similarity Maps and Simple Scattering web resources.","SAXS","SAXS","HIGH","No expansion in title"
"43","AlgicideDB","AlgicideDB: a comprehensive database enhanced by large language models for algicide management and discovery.","AlgicideDB","AlgicideDB","HIGH","No expansion in title"
"44","Maize Feature Store","Maize Feature Store: a centralized resource to manage and analyze curated maize multi-omics features for machine learning applications.","Maize Feature Store","Maize Feature Store","HIGH","Already descriptive name"
"45","AMIR","AMIR: a multi-omics data platform for Asteraceae plants genetics and breeding research.","AMIR","AMIR","HIGH","No expansion in title"
"46","PerturBase","PerturBase: a comprehensive database for single-cell perturbation data analysis and visualization.","PerturBase","PerturBase","HIGH","No expansion in title"
"47","BioPhi","BioPhi: A platform for antibody design, humanization, and humanness evaluation based on natural antibody repertoires and deep learning.","BioPhi","BioPhi","HIGH","No expansion in title"
"48","PredictONCO","PredictONCO: a web tool supporting decision-making in precision oncology by extending the bioinformatics predictions with advanced computing and machine learning.","PredictONCO","PredictONCO","HIGH","No expansion in title"
"49","siRNAEfficacyDB","siRNAEfficacyDB: An experimentally supported small interfering RNA efficacy database.","siRNAEfficacyDB","siRNAEfficacyDB","HIGH","No expansion in title"
"50","PROSCA","PROSCA: an online platform for humanized scaffold mining facilitating rational protein engineering.","PROSCA","PROSCA","HIGH","No expansion in title"
"51","scDiffCom","scDiffCom: a tool for differential analysis of cell-cell interactions provides a mouse atlas of aging changes in intercellular communication.","scDiffCom","scDiffCom","HIGH","No expansion in title"
"52","CanMethdb","CanMethdb: a database for genome-wide DNA methylation annotation in cancers.","CanMethdb","CanMethdb","HIGH","No expansion in title"
"53","HALL","HALL: a comprehensive database for human aging and longevity studies.","HALL","HALL","HIGH","No expansion in title"
"54","M2OR","M2OR: a database of olfactory receptor-odorant pairs for understanding the molecular mechanisms of olfaction.","M2OR","M2OR","HIGH","No expansion in title"
"55","HervD Atlas","HervD Atlas: a curated knowledgebase of associations between human endogenous retroviruses and diseases.","HervD Atlas","HervD Atlas","HIGH","No expansion in title"
