"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"1","mirTarCLASH","mirTarCLASH: a comprehensive miRNA target database based on chimeric read-based experiments.","mirTarCLASH","mirTarCLASH","HIGH","No expansion in title"
"2","ncStem","ncStem: a comprehensive resource of curated and predicted ncRNAs in cancer stemness.","ncStem","ncStem","HIGH","No expansion in title"
"3","LoniComp","LoniComp: a platform for gene function comparison and analysis between Lonicera japonica and Lonicera macranthoides.","LoniComp","LoniComp","HIGH","No expansion in title"
"4","scCompass","scCompass: An Integrated Multi-Species scRNA-seq Database for AI-Ready.","scCompass","scCompass","HIGH","No expansion in title"
"5","CarbDisMut","CarbDisMut: database on neutral and disease-causing mutations in human carbohydrate-binding proteins.","CarbDisMut","CarbDisMut","HIGH","No expansion in title"
"6","Altered States Database","The Altered States Database: Psychometric data from a systematic literature review.","Altered States Database","Altered States Database","HIGH","Already descriptive name"
"7","SiteMine","SiteMine: Large-scale binding site similarity searching in protein structure databases.","SiteMine","SiteMine","HIGH","No expansion in title"
"8","CannSeek","CannSeek? Yes we Can! An open-source single nucleotide polymorphism database and analysis portal for Cannabis sativa.","CannSeek","CannSeek","HIGH","No expansion in title"
"9","MiCId","Identification of Antibiotic Resistance Proteins via MiCId's Augmented Workflow. A Mass Spectrometry-Based Proteomics Approach.","MiCId","MiCId","HIGH","No expansion in title"
"10","African Human Microbiome Portal","The African Human Microbiome Portal: a public web portal of curated metagenomic metadata.","African Human Microbiome Portal","African Human Microbiome Portal","HIGH","Already descriptive name"
"11","GAUDIE","GAUDIE: Development, validation, and exploration of a naturalistic German AUDItory Emotional database.","GAUDIE","GAUDIE","HIGH","No expansion in title"
"12","TLSEA","TLSEA: a tool for lncRNA set enrichment analysis based on multi-source heterogeneous information fusion.","TLSEA","TLSEA","HIGH","No expansion in title"
"13","PrimerEvalPy","PrimerEvalPy: a tool for in-silico evaluation of primers for targeting the microbiome.","PrimerEvalPy","PrimerEvalPy","HIGH","No expansion in title"
"14","NetMe","NetMe 2.0: a web-based platform for extracting and modeling knowledge from biomedical literature as a labeled graph.","NetMe","NetMe","HIGH","No expansion in title"
"15","MyxoPortal","MyxoPortal: a database of myxobacterial genomic features.","MyxoPortal","MyxoPortal","HIGH","No expansion in title"
"16","PMechDB","PMechDB: A Public Database of Elementary Polar Reaction Steps.","PMechDB","PMechDB","HIGH","No expansion in title"
"17","CanVaxKB","CanVaxKB: a web-based cancer vaccine knowledgebase.","CanVaxKB","CanVaxKB","HIGH","No expansion in title"
"18","Aging2Cancer","Aging2Cancer: an integrated resource for linking aging to tumor multi-omics data.","Aging2Cancer","Aging2Cancer","HIGH","No expansion in title"
