global_row,chunk,best_name,paper_titles,best_name_updated,full_name_updated,confidence,notes
1,1,MINTbase,MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments. | MINTbase v2.0: a comprehensive database for tRNA-derived fragments that includes nuclear and mitoch...,MINTbase,MINTbase,HIGH,No expansion in title - using short name
2,1,NCBI,Fungal genome resources at NCBI. | Database Resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resour...,NCBI,NCBI,HIGH,No expansion in title - using short name
3,1,DEG,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements. | Gene essentiality analysis based on DEG 10, an updated database of essent...",DEG,DEG,HIGH,No expansion in title - using short name
4,1,pHLA3D,"pHLA3D: An online database of predicted three-dimensional structures of HLA molecules. | pHLA3D: Updating the database of predicted three-dimensional structures of HLA with HLA-DR, HLA-DQ and HLA-DP m...",pHLA3D,pHLA3D,HIGH,No expansion in title - using short name
5,1,zfRegeneration,zfRegeneration: a database for gene expression profiling during regeneration. | zfRegeneration: a database for gene expression profiling during regeneration.,zfRegeneration,zfRegeneration,HIGH,No expansion in title - using short name
6,1,EMBL-EBI,The European Bioinformatics Institute's data resources 2014. | The EMBL-EBI search and sequence analysis tools APIs in 2019.,EMBL-EBI,EMBL-EBI,HIGH,No expansion in title - using short name
7,1,LC-MS,"Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803. | Integrated approach using multistep enzyme digestion, TiO2 enrichment, and database search...",LC-MS,LC-MS,HIGH,No expansion in title - using short name
8,1,braingraph.org ,The braingraph.org database of high resolution structural connectomes and the brain graph tools. | Mapping correlations of psychological and structural connectome properties of the dataset of the huma...,braingraph.org,braingraph.org,HIGH,No expansion in title - using short name
9,1,CSCS,CSCS: a chromatin state interface for Chinese Spring bread wheat.,CSCS,CSCS,HIGH,No expansion in title - using short name
10,1,ORFik,ORFik: a comprehensive R toolkit for the analysis of translation.,ORFik,ORFik,HIGH,No expansion in title - using short name
11,1,SAROTUP,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,SAROTUP,SAROTUP,HIGH,No expansion in title - using short name
12,1,OncoPaD,Rational design of cancer gene panels with OncoPaD.,OncoPaD,OncoPaD,HIGH,No expansion in title - using short name
13,1,Proxl,"Proxl (Protein Cross-Linking Database): A Public Server, QC Tools, and Other Major Updates.",Proxl,Protein Cross-Linking,HIGH,Explicit expansion: NAME (Full Name)
14,1,UGENE,Shared bioinformatics databases within the Unipro UGENE platform. | Flexible design of multiple metagenomics classification pipelines with UGENE.,UGENE,UGENE,HIGH,No expansion in title - using short name
15,1,LIVECAT,Introduction to the LIVECAT web-based computerized adaptive testing platform.,LIVECAT,LIVECAT,HIGH,No expansion in title - using short name
16,1,PSICQUIC,A new reference implementation of the PSICQUIC web service.,PSICQUIC,PSICQUIC,HIGH,No expansion in title - using short name
17,1,OASIS,Introducing the Open Affective Standardized Image Set (OASIS).,OASIS,Open Affective Standardized Image Set,HIGH,Explicit expansion: Full Name (NAME)
18,1,ProteinHistorian,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,ProteinHistorian,ProteinHistorian,HIGH,No expansion in title - using short name
19,1,CDAO-store,CDAO-store: ontology-driven data integration for phylogenetic analysis.,CDAO-store,CDAO-store,HIGH,No expansion in title - using short name
20,1,MetaboAnalyst,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,MetaboAnalyst,MetaboAnalyst,HIGH,No expansion in title - using short name
21,1,AusTraits,"AusTraits, a curated plant trait database for the Australian flora.",AusTraits,AusTraits,HIGH,No expansion in title - using short name
22,1,GloNAF,The Global Naturalized Alien Flora (GloNAF) database.,GloNAF,Global Naturalized Alien Flora,HIGH,Explicit expansion: Full Name (NAME)
23,1,ORIO,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,ORIO,Online Resource for Integrative Omics,HIGH,Explicit expansion: NAME (Full Name)
